,background,source,skills,background FR,source FR,tools,languages,equipement text,description,tools FR,languages FR,equipement text FR,description FR
0,Acolyte,Shelter of the Faithful ,"[' Insight', 'Religion']",Acolyte,Refuge des fidèles,None,Two of your choice,"A Holy Symbol (a gift to you when you entered the priesthood), a Prayer Book or Prayer Wheel, 5 sticks of Incense, Vestments, a set of Common Clothes, and a belt pouch containing 15 gp","
You have spent your life in the service of a temple to a specific god or pantheon of gods. You act as an intermediary between the realm of the holy and the mortal world, performing sacred rites and offering sacrifices in order to conduct worshipers into the presence of the divine. You are not necessarily a cleric – performing sacred rites is not the same thing as channeling divine power.
Choose a god, a pantheon of gods, or some other quasi-divine being, and work with your DM to detail the nature of your religious service. Were you a lesser functionary in a temple, raised from childhood to assist the priests in the sacred rites? Or were you a high priest who suddenly experienced a call to serve your god in a different way? Perhaps you were the leader of a small cult outside of any established temple structure, or even an occult group that served a fiendish master that you now deny.
",Aucun,Deux de votre choix,"Un symbole sacré (un cadeau qui vous est offert lorsque vous êtes entré dans la prêtrise), un livre de prières ou une roue de prières, 5 bâtons d'encens, des vêtements, un ensemble de vêtements communs et une pochette de ceinture contenant 15 po","Vous avez passé votre vie au service d'un temple dédié à un dieu ou à un panthéon de dieux spécifique. Vous agissez comme intermédiaire entre le royaume du sacré et le monde des mortels, accomplissant des rites sacrés et offrant des sacrifices afin de conduire les fidèles en présence du divin. Vous n'êtes pas nécessairement un clerc - accomplir des rites sacrés n'est pas la même chose que canaliser le pouvoir divin. 
Choisissez un dieu, un panthéon de dieux ou un autre être quasi divin, et travaillez avec votre MD pour détailler la nature de votre service religieux. Étiez-vous un fonctionnaire subalterne dans un temple, élevé depuis l'enfance pour aider les prêtres dans les rites sacrés ? Ou étiez-vous un grand prêtre qui a soudainement ressenti l'appel à servir votre dieu d'une manière différente ? Peut-être étiez-vous le chef d'une petite secte en dehors de toute structure de temple établie, ou même d'un groupe occulte qui servait un maître diabolique que vous reniez maintenant."
1,Acolyte Baldur’s Gate,Shelter of the Faithful ,"[' Insight', 'Religion']",La porte de l'acolyte Baldur,Refuge des fidèles,None,Two of your choice,"A Holy Symbol (a gift to you when you entered the priesthood), a Prayer Book or Prayer Wheel, 5 sticks of Incense, Vestments, a set of Common Clothes, and a belt pouch containing 15 gp","
It's said that every faith in the world has a believer in Baldur's Gate. Not only are most established faiths tolerated- even if some of them, including most of the openly evil faiths, are relegated to the Outer City's Twin Songs neighborhood- but new ones arrive constantly, carried by travelers and proselytizers from far-flung lands. A character with this background might aspire to greater things, not for themselves, but for their faith.
",Aucun,Deux de votre choix,"Un symbole sacré (un cadeau qui vous est offert lorsque vous êtes entré dans la prêtrise), un livre de prières ou une roue de prières, 5 bâtons d'encens, des vêtements, un ensemble de vêtements communs et une pochette de ceinture contenant 15 po","On dit que chaque religion du monde a un croyant à Baldur's Gate. Non seulement la plupart des religions établies sont tolérées - même si certaines d'entre elles, y compris la plupart des religions ouvertement mauvaises, sont reléguées dans le quartier Twin Songs de la Cité Extérieure - mais de nouvelles arrivent constamment, portées par des voyageurs et des prosélytes venus de pays lointains. Un personnage avec ce passé pourrait aspirer à de plus grandes choses, non pas pour lui-même, mais pour sa foi."
2,Acolyte Luxonborn,Shelter of the Faithful ,"[' Insight', 'Religion']",Acolyte Luxonborn,Refuge des fidèles,None,Two of your choice,"A Holy Symbol (a gift to you when you entered the priesthood), a Prayer Book or Prayer Wheel, 5 sticks of Incense, Vestments, a set of Common Clothes, and a belt pouch containing 15 gp","
Every acolyte is a servant of some god. But you serve the Luxon, a being that you believe transcends godhood and created the cosmos. No mere priest, you are a student of potential, for the Luxon is potentiality incarnate. Your Shelter of the Faithful feature applies to all who venerate the Luxon, and to all who practice the art of dunamancy that the Luxon bestowed upon the world.
",Aucun,Deux de votre choix,"Un symbole sacré (un cadeau qui vous est offert lorsque vous êtes entré dans la prêtrise), un livre de prières ou une roue de prières, 5 bâtons d'encens, des vêtements, un ensemble de vêtements communs et une pochette de ceinture contenant 15 po","Chaque acolyte est le serviteur d'un dieu. Mais vous servez le Luxon, un être qui, selon vous, transcende la divinité et a créé le cosmos. Vous n'êtes pas un simple prêtre, vous êtes un étudiant du potentiel, car le Luxon est la potentialité incarnée. Votre caractéristique Refuge des fidèles s'applique à tous ceux qui vénèrent le Luxon, et à tous ceux qui pratiquent l'art de la dunamancie que le Luxon a conféré au monde."
3,Anthropologist,Adept Linguist ,"[' Insight', 'Religion']",Anthropologiste,Linguiste expert,None,Two of your choice,"A leather-bound diary, a Bottle of Ink, an Ink pen, a set of Traveler's Clothes, one trinket of special significance, and a pouch containing 10 gp","
You have always been fascinated by other cultures, from the most ancient and primeval lost lands to the most modern civilizations. By studying other cultures' customs, philosophies, laws, rituals, religious beliefs, languages, and art, you have learned how tribes, empires, and all forms of society in between craft their own destinies and doom. This knowledge came to you not only through books and scrolls, but also through firsthand observation – by visiting far-flung settlements and exploring local histories and customs.
",Aucun,Deux de votre choix,"Un journal relié en cuir, une bouteille d'encre, un stylo à encre, un ensemble de vêtements de voyageur, un bibelot d'une signification particulière et une bourse contenant 10 po","Vous avez toujours été fasciné par les autres cultures, des terres perdues les plus anciennes et primitives aux civilisations les plus modernes. En étudiant les coutumes, les philosophies, les lois, les rituels, les croyances religieuses, les langues et l'art d'autres cultures, vous avez appris comment les tribus, les empires et toutes les formes de société entre les deux façonnent leur propre destin et leur propre destin. Ces connaissances vous sont parvenues non seulement par le biais de livres et de parchemins, mais aussi par l'observation directe, en visitant des colonies éloignées et en explorant l'histoire et les coutumes locales."
4,Archaeologist,Historical Knowledge ,"[' History', 'Survival']",Archéologue,Connaissances historiques,Cartographer's tools or navigator's tools,One of your choice,"A wooden case containing a map to a ruin or dungeon, a Bullseye Lantern, a Miner's Pick, a set of Traveler's Clothes, a Shovel, a Two-Person Tent, a Trinket recovered from a dig site, and a pouch containing 25 gp","
An archaeologist learns about the long-lost and fallen cultures of the past by studying their remains – their bones, their ruins, their surviving masterworks, and their tombs. Those who practice archaeology travel to the far corners of the world to root through crumbled cities and lost dungeons, digging in search of artifacts that might tell the stories of monarchs and high priests, wars and cataclysms.
",Les outils du cartographe ou du navigateur,Un de vos choix,"Un coffret en bois contenant une carte d'une ruine ou d'un donjon, une lanterne Bullseye, une pioche de mineur, un ensemble de vêtements de voyageur, une pelle, une tente pour deux personnes, un bibelot récupéré sur un site de fouilles et une bourse contenant 25 po","Un archéologue étudie les vestiges des cultures disparues et disparues du passé : leurs ossements, leurs ruines, leurs chefs-d’œuvre et leurs tombeaux. Ceux qui pratiquent l’archéologie voyagent aux quatre coins du monde pour fouiller des villes en ruine et des donjons perdus, à la recherche d’artefacts susceptibles de raconter l’histoire de monarques et de grands prêtres, de guerres et de cataclysmes."
5,Ashari,Elemental History ,"[' Nature', 'Arcana', 'Survival']",Ashari,Histoire élémentaire,Herbalism Kit,"Primordial (Aquan, Auran, Ignan, or Terran, depending on the elemental affinity of your tribe)","A set of traveler's clothes, a staff carved with symbols of your tribe, an herbalism kit, and a belt pouch containing 10 gp","
Isolated from the political struggles of urban Tal'Dorei, you are a member of the Ashari people—a society bound to an ancient covenant protecting the Material Plane from the chaos of the primordial elements. You've been raised to revere and protect the natural world, and to shepherd the tumultuous elemental forces that give it life. When the elements threaten to overwhelm the delicate balance of nature, it is the role of the Ashari to restore harmony.
You grew up in a tight-knit society, bound to a leader who successfully returned from the traditional journey to the Elemental Planes known as an Aramante. By contrast, you might well have never traveled more than a few days from your home, and thus have closer bonds with your family and neighbors than many people of Tal'Dorei.
In your early life, you likely took up one of the many roles that make up your society, whether homemaker, hunter, explorer, or protector. If you have the ability to use elemental magic, you might have had one of the most important duties of all: protecting and soothing the elemental rift at the heart of your home. And even as an adventurer now traveling far beyond that home, your loyalties still lie with the continued safety of your order. Whatever else you do as you learn about the new world around you, you're conscious of the need to gather allies to your cause.
Each Ashari is tethered to one of the four elemental orders and their settlements. You must select Pyrah (fire), Vesrah (water), Terrah (earth), or Zephrah (wind). The rifts of earth and air are both in Tal'Dorei. If you live or lived among your people, then you are familiar with the remarkable sights of Air Ashari on skysails above the Summit Peaks, or Earth Ashari erupting from the solid stone of the Cliffkeep Mountains on their earthboards.
",Kit d'herboristerie,"Primordial (Aquan, Auran, Ignan ou Terran, selon l'affinité élémentaire de votre tribu)","Un ensemble de vêtements de voyage, un bâton gravé avec des symboles de votre tribu, un kit d'herboristerie et une pochette de ceinture contenant 10 po","Isolé des luttes politiques des Tal'Dorei urbains, vous êtes membre du peuple Ashari, une société liée à une ancienne alliance protégeant le plan matériel du chaos des éléments primordiaux. Vous avez été élevé pour vénérer et protéger le monde naturel, et pour guider les forces élémentaires tumultueuses qui lui donnent vie. Lorsque les éléments menacent de submerger l'équilibre délicat de la nature, c'est le rôle des Ashari de rétablir l'harmonie. 
Vous avez grandi dans une société soudée, liée à un chef qui est revenu avec succès du voyage traditionnel vers les plans élémentaires connu sous le nom d'Aramante. En revanche, vous n'avez peut-être jamais voyagé plus de quelques jours depuis chez vous, et vous avez donc des liens plus étroits avec votre famille et vos voisins que de nombreux habitants de Tal'Dorei. 
Au début de votre vie, vous avez probablement assumé l'un des nombreux rôles qui composent votre société, que ce soit celui de femme au foyer, de chasseur, d'explorateur ou de protecteur. Si vous avez la capacité d'utiliser la magie élémentaire, vous avez peut-être eu l'une des tâches les plus importantes de toutes : protéger et apaiser la faille élémentaire au cœur de votre foyer. Et même en tant qu'aventurier voyageant désormais bien au-delà de ce foyer, votre loyauté repose toujours sur la sécurité continue de votre ordre. Quoi que vous fassiez d'autre pour en apprendre davantage sur le nouveau monde qui vous entoure, vous êtes conscient de la nécessité de rassembler des alliés pour votre cause. 
Chaque Ashari est lié à l'un des quatre ordres élémentaires et à leurs colonies. Vous devez choisir Pyrah (feu), Vesrah (eau), Terrah (terre) ou Zephrah (vent). Les failles de la terre et de l'air se trouvent toutes deux à Tal'Dorei. Si vous vivez ou avez vécu parmi votre peuple, vous connaissez alors les vues remarquables des Ashari de l'Air sur des voiles célestes au-dessus des sommets, ou des Ashari de la Terre surgissant de la pierre solide des montagnes Cliffkeep sur leurs plateaux terrestres."
6,Astral Drifter,Divine Contact ,"[' Insight', 'Religion']",Vagabond astral,Contact Divin,,Two of your choice (Celestial or Gith recommended),"A set of traveler's clothes, a diary, an ink pen, a bottle of ink, and a pouch containing 10 gp","
For longer than you can remember, you have traversed the Astral Sea. There, you experienced firsthand the wonders of the Silver Void: you stopped aging and no longer felt hunger or thirst. Driven by wanderlust, you drifted from one part of the Astral Sea to another, like a mote of dust on the wind. You have lost count of the decades that have passed since you arrived here.
In your travels, you have camped on the petrified hulks of dead gods and narrowly escaped the psychic winds that sweep across the Astral Sea while also avoiding prolonged contact with the plane's most dangerous denizens.
",,Deux de votre choix (Celestial ou Gith recommandé),"Un ensemble de vêtements de voyage, un journal, un stylo à encre, une bouteille d'encre et une bourse contenant 10 po","Depuis des temps immémoriaux, vous avez traversé la mer Astrale. Là, vous avez expérimenté de première main les merveilles du Vide d'Argent : vous avez cessé de vieillir et n'avez plus ressenti la faim ou la soif. Poussé par l'envie de voyager, vous avez dérivé d'une partie de la mer Astrale à une autre, comme un grain de poussière emporté par le vent. Vous avez perdu le compte des décennies qui se sont écoulées depuis votre arrivée ici.
Au cours de vos voyages, vous avez campé sur les carcasses pétrifiées de dieux morts et échappé de justesse aux vents psychiques qui balayent la mer Astrale tout en évitant tout contact prolongé avec les habitants les plus dangereux du plan."
7,Athlete,Echoes of Victory ,"[' Athletics', 'Acrobatics']",Athlète,Échos de la victoire,Vehicles (land),One of your choice,"A bronze discus or leather ball, a lucky charm or past trophy, a set of Traveler's Clothes, and a pouch containing 10 gp","
You strive to perfect yourself physically and in execution of everything you do. The thrill of competition lights fire in your blood, and the roar of the crowd drives you forward. Tales of your exploits precede you and might open doors or loosen tongues.
Whether in one of the poleis, between them, or among the nonhuman peoples of Theros, physical contests and those who pursue them command respect bordering on reverence. Athletes arise from all walks of life and all cultures and quite often cross paths with one another.
",Véhicules (terrestres),Un de vos choix,"Un disque en bronze ou une balle en cuir, un porte-bonheur ou un trophée du passé, un ensemble de vêtements de voyageur et une bourse contenant 10 po","Vous vous efforcez de vous perfectionner physiquement et dans l'exécution de tout ce que vous faites. Le frisson de la compétition allume le feu dans votre sang et le rugissement de la foule vous pousse en avant. Les récits de vos exploits vous précèdent et peuvent ouvrir des portes ou délier les langues.
Que ce soit dans l'une des poleis, entre elles ou parmi les peuples non humains de Theros, les compétitions physiques et ceux qui les pratiquent imposent un respect proche de la révérence. Les athlètes viennent de tous les horizons et de toutes les cultures et se croisent assez souvent."
8,Azorius Functionary,Legal Authority ,"[' Insight', 'Intimidation']",Fonctionnaire Azorius,Autorité légale,None,Two of your choice,"An Azorius insignia, a scroll containing the text of a law important to you, a Bottle of Blue Ink, a Pen, a set of Fine Clothes, and a belt pouch containing 10 gp (Azorius-minted 1-zino coins)","
Bringing order from chaos — that is the mission of the Azorius Senate. Without the extensive legal code crafted and enforced by the Azorius, society would crumble, transforming Ravnica into a field of rubble where the Gruul and the Rakdos do whatever they please. The Azorius carry this weighty responsibility with stoic pride, and they perform their work of legislation, investigation, and enforcement with steely determination.
The first guild master of the Azorius Senate was a sphinx named Azor. He was the author of the original Guildpact, as well as the creator of the elaborate contingency plan that resulted in the creation of the Living Guildpact. The Azorius Senate was meant to carry on his legacy by serving as the legislative body of Ravnica.
Alignment: Usually lawful, often neutral
Suggested Races: Human, Vedalken
Suggested Classes: Bard, Cleric, Fighter, Paladin, Wizard
You might enjoy playing a character who belongs to the Azorius Senate if one or more of the following statements are true:

You're drawn to the idea of a hard-bitten police officer trying to impose order on a chaotic world.
You like the idea of using magic to control enemies.
You like playing enchanter wizards, clerics of law, or unbending paladins.

The brutes are at the gate, chaos is looming, and the only thing standing in the way of disaster is the foundation of law and order — as embodied in the Azorius Senate. You're a proud member of the Azorius guild, which both enacts and enforces the laws that make Ravnican society function smoothly and safely.
",Aucun,Deux de votre choix,"Un insigne d'Azorius, un parchemin contenant le texte d'une loi importante pour vous, une bouteille d'encre bleue, un stylo, un ensemble de beaux vêtements et une pochette de ceinture contenant 10 po (pièces de 1 zino frappées par Azorius)","Faire revenir l'ordre dans le chaos, telle est la mission du Sénat d'Azorius. Sans le vaste code juridique élaboré et appliqué par les Azorius, la société s'effondrerait, transformant Ravnica en un champ de décombres où les Gruul et les Rakdos font ce qu'ils veulent. Les Azorius assument cette lourde responsabilité avec une fierté stoïque et accomplissent leur travail de législation, d'enquête et d'application de la loi avec une détermination d'acier.
Le premier maître de guilde du Sénat d'Azorius était un sphinx nommé Azor. Il était l'auteur du Pacte des Guildes original, ainsi que le créateur du plan d'urgence élaboré qui a abouti à la création du Pacte des Guildes vivant. Le Sénat d'Azorius était censé perpétuer son héritage en servant d'organe législatif de Ravnica.
Alignement : généralement loyal, souvent neutre
Races suggérées : Humain, Vedalken
Classes suggérées : Barde, Clerc, Combattant, Paladin, Sorcier
Vous aimerez peut-être jouer un personnage appartenant au Sénat d'Azorius si une ou plusieurs des affirmations suivantes sont vraies :

Vous êtes attiré par l'idée d'un policier coriace essayant d'imposer l'ordre dans un monde chaotique.
Vous aimez l'idée d'utiliser la magie pour contrôler les ennemis.
Vous aimez jouer des sorciers enchanteurs, des clercs de la loi ou des paladins inflexibles.

Les brutes sont aux portes, le chaos se profile et la seule chose qui se dresse sur le chemin du désastre est le fondement de la loi et de l'ordre, incarné par le Sénat d'Azorius. Vous êtes un fier membre de la guilde Azorius, qui promulgue et applique les lois qui permettent à la société Ravnican de fonctionner sans heurts et en toute sécurité."
9,Bandit Defector,Bandit Routes ,"[' Deception', 'Survival']",Bandit transfuge,Routes des bandits,"Disguise Kit, one type of Gaming Set or Musical Instrument",,"A knife, a cooking pot, a winter blanket, an object you received as your cut from a successful robbery, a set of common clothes, and a pouch containing 10 gp","
You were once a member of the Bandit Coalition, moving from place to place, ambushing and robbing passing merchants. Something made you decide that path was no longer worth pursuing, and you left that life behind. But quitting the Bandit Coalition isn’t so easy.
","Kit de déguisement, un type d'ensemble de jeu ou d'instrument de musique",,"Un couteau, une marmite, une couverture d'hiver, un objet que vous avez reçu en guise de récompense lors d'un vol réussi, un ensemble de vêtements ordinaires et une bourse contenant 10 po","Vous étiez autrefois membre de la Coalition des bandits, vous vous déplaciez d'un endroit à un autre, tendant des embuscades et dévalisant les marchands de passage. Quelque chose vous a fait décider que cette voie ne valait plus la peine d'être suivie, et vous avez laissé cette vie derrière vous. Mais quitter la Coalition des bandits n'est pas si facile."
