,Level,Proficiency Bonus,Features,Cantrips Known,1st,2nd,3rd,4th,5th,6th,7th,8th,9th
0,1st,2,"Spellcasting, Divine Domain",3,2,—,—,—,—,—,—,—,—
1,2nd,2,"Channel Divinity (1/rest), Divine Domain Feature",3,3,—,—,—,—,—,—,—,—
2,3rd,2,—,3,4,2,—,—,—,—,—,—,—
3,4th,2,"Ability Score Improvement, Cantrip Versatility",4,4,3,—,—,—,—,—,—,—
4,5th,3,Destroy Undead Destroy Undead (CR 1/2),4,4,3,2,—,—,—,—,—,—
5,6th,3,"Channel Divinity (2/rest), Divine Domain Feature",4,4,3,3,—,—,—,—,—,—
6,7th,3,—,4,4,3,3,1,—,—,—,—,—
7,8th,3,"Ability Score Improvement, Destroy Undead (CR 1), Divine Domain Feature, Blessed Strikes",4,4,3,3,2,—,—,—,—,—
8,9th,4,—,4,4,3,3,3,1,—,—,—,—
9,10th,4,Divine Intervention,5,4,3,3,3,2,—,—,—,—
10,11th,4,Destroy Undead (CR 2),5,4,3,3,3,2,1,—,—,—
11,12th,4,Ability Score Improvement,5,4,3,3,3,2,1,—,—,—
12,13th,5,—,5,4,3,3,3,2,1,1,—,—
13,14th,5,Destroy Undead (CR 3),5,4,3,3,3,2,1,1,—,—
14,15th,5,—,5,4,3,3,3,2,1,1,1,—
15,16th,5,Ability Score Improvement,5,4,3,3,3,2,1,1,1,—
16,17th,6,"Destroy Undead (CR 4), Divine Domain Feature",5,4,3,3,3,2,1,1,1,1
17,18th,6,Channel Divinity (3/rest),5,4,3,3,3,3,1,1,1,1
18,19th,6,Ability Score Improvement,5,4,3,3,3,3,2,1,1,1
19,20th,6,Divine Intervention Improvement,5,4,3,3,3,3,2,2,1,1
