,Level,Proficiency Bonus,Features,Cantrips Known,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Features Texts,Capacites,Capacites Texts
0,1,2,Druidic,2,2,—,—,—,—,—,—,—,—,"You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message’s presence with a successful DC 15 Wisdom (Perception) check but can’t decipher it without magic.",Druidique,"Vous connaissez le druidisme, la langue secrète des druides. Vous pouvez parler cette langue et l'utiliser pour laisser des messages cachés. Vous et les autres personnes qui connaissent cette langue détectez automatiquement un tel message. D'autres détectent la présence du message en réussissant un test de Sagesse (Perception) DD 15 mais ne peuvent le déchiffrer sans magie."
1,1,2,Spellcasting,2,2,—,—,—,—,—,—,—,—,"Drawing on the divine essence of nature itself, you can cast spells to shape that essence to your will. See Spells Rules for the general rules of spellcasting and the Spells Listing for the druid spell list.CantripsAt 1st level, you know two cantrips of your choice from the druid spell list. You learn additional druid cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Druid table.Preparing and Casting SpellsThe Druid table shows how many spell slots you have to cast your druid spells of 1st level and higher. To cast one of these druid spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.You prepare the list of druid spells that are available for you to cast, choosing from the druid spell list. When you do so, choose a number of druid spells equal to your Wisdom modifier + your druid level (minimum of one spell). The spells must be of a level for which you have spell slots.For example, if you are a 3rd-level druid, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell cure wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn’t remove it from your list of prepared spells.You can also change your list of prepared spells when you finish a long rest. Preparing a new list of druid spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.Spellcasting AbilityWisdom is your spellcasting ability for your druid spells, since your magic draws upon your devotion and attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast and when making an attack roll with one.Spell save DC = 8 + your proficiency bonus + your Wisdom modifierSpell attack modifier = your proficiency bonus + your Wisdom modifierRitual CastingYou can cast a druid spell as a ritual if that spell has the ritual tag and you have the spell prepared.Spellcasting FocusYou can use a druidic focus (see the Adventuring Gear section) as a spellcasting focus for your druid spells.",Lancer des sorts,"En puisant dans l'essence divine de la nature elle-même, vous pouvez lancer des sorts pour façonner cette essence à votre guise. Consultez les règles des sorts pour connaître les règles générales de lancement de sorts et la liste des sorts pour connaître la liste des sorts de druide. Tours de passe-passeAu niveau 1, vous connaissez deux tours de passe-passe de votre choix dans la liste des sorts de druide. Vous apprenez des tours de passe-passe de druide supplémentaires de votre choix aux niveaux supérieurs, comme indiqué dans la colonne Tours de passe-passe connus de la table des druides. Préparation et lancement de sortsLa table des druides indique le nombre d'emplacements de sorts dont vous disposez pour lancer vos sorts de druide de niveau 1 et supérieur. Pour lancer l'un de ces sorts de druide, vous devez dépenser un emplacement du niveau du sort ou supérieur. Vous récupérez tous les emplacements de sorts dépensés lorsque vous terminez un repos long. Vous préparez la liste des sorts de druide que vous pouvez lancer, en choisissant dans la liste des sorts de druide. Lorsque vous faites cela, choisissez un nombre de sorts de druide égal à votre modificateur de Sagesse + votre niveau de druide (minimum d'un sort). Les sorts doivent être d'un niveau pour lequel vous avez des emplacements de sort. Par exemple, si vous êtes un druide de niveau 3, vous avez quatre emplacements de sort de niveau 1 et deux de niveau 2. Avec une Sagesse de 16, votre liste de sorts préparés peut inclure six sorts de niveau 1 ou 2, dans n'importe quelle combinaison. Si vous préparez le sort de niveau 1 Soin des blessures, vous pouvez le lancer en utilisant un emplacement de niveau 1 ou 2. Lancer le sort ne le supprime pas de votre liste de sorts préparés. Vous pouvez également modifier votre liste de sorts préparés lorsque vous terminez un repos long. Préparer une nouvelle liste de sorts de druide nécessite de passer du temps à prier et à méditer : au moins 1 minute par niveau de sort pour chaque sort de votre liste.Capacité de lancer de sortsLa sagesse est votre capacité de lancer de sorts pour vos sorts de druide, car votre magie fait appel à votre dévotion et à votre harmonisation avec la nature. Vous utilisez votre sagesse chaque fois qu'un sort fait référence à votre capacité de lancer de sorts. De plus, vous utilisez votre modificateur de sagesse lorsque vous définissez le DD du jet de sauvegarde d'un sort de druide que vous lancez et lorsque vous effectuez un jet d'attaque avec un sort.DD de sauvegarde des sorts = 8 + votre bonus de maîtrise + votre modificateur de SagesseModificateur d'attaque des sorts = votre bonus de maîtrise + votre modificateur de SagesseLancement de rituelsVous pouvez lancer un sort de druide en tant que rituel si ce sort a l'étiquette rituel et que vous avez préparé le sort.Focus de lancer de sortsVous pouvez utiliser un focus druidique (voir la section Équipement d'aventure) comme focus de lancer de sorts pour vos sorts de druide."
2,2,2,Wild Shape,2,3,—,—,—,—,—,—,—,—,"Starting at 2nd level, you can use your action to magically assume the shape of a beast that you have seen before. You can use this feature twice. You regain expended uses when you finish a short or long rest.Your druid level determines the beasts you can transform into, as shown in the Beast Shapes table. At 2nd level, for example, you can transform into any beast that has a challenge rating of 1/4 or lower that doesn’t have a flying or swimming speed.Beast Shapes

Level
Max CR
Limitations
Example


2nd
1/4
No flying or swimming speed
Wolf


4th
1/2
No flying speed
Crocodile


8th
1
—
Giant Eagle

You can stay in a beast shape for a number of hours equal to half your druid level (rounded down). You then revert to your normal form unless you expend another use of this feature. You can revert to your normal form earlier by using a bonus action on your turn. You automatically revert if you fall unconscious, drop to 0 hit points, or die.While you are transformed, the following rules apply:Your game statistics are replaced by the statistics of the beast, but you retain your alignment, personality, and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature. If the creature has the same proficiency as you and the bonus in its stat block is higher than yours, use the creature’s bonus instead of yours. If the creature has any legendary or lair actions, you can’t use them.
When you transform, you assume the beast’s hit points and Hit Dice. When you revert to your normal form, you return to the number of hit points you had before you transformed. However, if you revert as a result of dropping to 0 hit points, any excess damage carries over to your normal form. For example, if you take 10 damage in animal form and have only 1 hit point left, you revert and take 9 damage. As long as the excess damage doesn’t reduce your normal form to 0 hit points, you aren’t knocked unconscious.
You can’t cast spells, and your ability to speak or take any action that requires hands is limited * to the capabilities of your beast form. Transforming doesn’t break your concentration on a spell you’ve already cast, however, or prevent you from taking actions that are part of a spell, such as call lightning, that you’ve already cast.
You retain the benefit of any features from your class, race, or other source and can use them if the new form is physically capable of doing so. However, you can’t use any of your special senses, such as darkvision, unless your new form also has that sense.
You choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the DM decides whether it is practical for the new form to wear a piece of equipment, based on the creature’s shape and size. Your equipment doesn’t change size or shape to match the new form, and any equipment that the new form can’t wear must either fall to the ground or merge with it. Equipment that merges with the form has no effect until you leave the form.
",Forme sauvage,"À partir du niveau 2, vous pouvez utiliser votre action pour prendre par magie la forme d'une bête que vous avez déjà vue. Vous pouvez utiliser cette capacité deux fois. Vous récupérez les utilisations dépensées lorsque vous terminez un repos court ou long. Votre niveau de druide détermine les bêtes en lesquelles vous pouvez vous transformer, comme indiqué dans le tableau des formes de bêtes. Au niveau 2, par exemple, vous pouvez vous transformer en n'importe quelle bête ayant un indice de difficulté de 1/4 ou moins et n'ayant pas de vitesse de vol ou de nage. Formes de bêtes

Niveau
CR max
Limitations
Exemple

2e
1/4
Pas de vitesse de vol ou de nage
Loup

4e
1/2
Pas de vitesse de vol
Crocodile

8e
1
—
Aigle géant

Vous pouvez rester sous une forme de bête pendant un nombre d'heures égal à la moitié de votre niveau de druide (arrondi à l'inférieur). Vous revenez ensuite à votre forme normale à moins que vous n'utilisiez à nouveau cette capacité. Vous pouvez revenir à votre forme normale plus tôt en utilisant une action bonus pendant votre tour. Vous revenez automatiquement à votre forme initiale si vous perdez connaissance, tombez à 0 point de vie ou mourez.Pendant que vous êtes transformé, les règles suivantes s'appliquent :Vos statistiques de jeu sont remplacées par celles de la bête, mais vous conservez votre alignement, votre personnalité et vos scores d'intelligence, de sagesse et de charisme. Vous conservez également toutes vos compétences et vos jets de sauvegarde, en plus de gagner celles de la créature. Si la créature a la même compétence que vous et que le bonus de son bloc de statistiques est supérieur au vôtre, utilisez le bonus de la créature au lieu du vôtre. Si la créature a des actions légendaires ou de repaire, vous ne pouvez pas les utiliser.
Lorsque vous vous transformez, vous assumez les points de vie et les dés de vie de la bête. Lorsque vous revenez à votre forme normale, vous revenez au nombre de points de vie que vous aviez avant votre transformation. Cependant, si vous revenez à votre forme initiale à la suite d'une chute à 0 point de vie, tout excédent de dégâts est reporté sur votre forme normale. Par exemple, si vous subissez 10 dégâts sous forme animale et qu'il ne vous reste qu'un point de vie, vous revenez à votre forme initiale et subissez 9 dégâts. Tant que les dégâts excédentaires ne réduisent pas votre forme normale à 0 point de vie, vous ne perdez pas connaissance.
Vous ne pouvez pas lancer de sorts et votre capacité à parler ou à effectuer toute action nécessitant l'utilisation des mains est limitée* aux capacités de votre forme bestiale. Cependant, la transformation ne rompt pas votre concentration sur un sort que vous avez déjà lancé et ne vous empêche pas d'effectuer des actions qui font partie d'un sort, comme invoquer la foudre, que vous avez déjà lancé.
Vous conservez l'avantage de toutes les caractéristiques de votre classe, de votre race ou d'une autre source et pouvez les utiliser si la nouvelle forme est physiquement capable de le faire. Cependant, vous ne pouvez utiliser aucun de vos sens spéciaux, comme la vision dans le noir, à moins que votre nouvelle forme ne possède également ce sens.
Vous choisissez si votre équipement tombe au sol dans votre espace, se fond dans votre nouvelle forme ou est porté par elle. L'équipement porté fonctionne normalement, mais le MD décide s'il est pratique pour la nouvelle forme de porter un élément d'équipement, en fonction de la forme et de la taille de la créature. Votre équipement ne change pas de taille ou de forme pour correspondre à la nouvelle forme, et tout équipement que la nouvelle forme ne peut pas porter doit soit tomber au sol, soit fusionner avec elle. L'équipement qui fusionne avec la forme n'a aucun effet jusqu'à ce que vous quittiez la forme."
3,2,2,Wild Companion,2,3,—,—,—,—,—,—,—,—,"2nd-level druid feature
Optional Class Feature
You gain the ability to summon a spirit that assumes an animal form: as an action, you can expend a use of your Wild Shape feature to cast the Find Familiar spell, without material components.When you cast the spell in this way, the familiar is a fey instead of a beast, and the familiar disappears after a number of hours equal to half your druid level.",Compagnon sauvage,"Fonctionnalité de druide de niveau 2
Fonctionnalité de classe facultative
Vous obtenez la capacité d'invoquer un esprit qui prend une forme animale : en tant qu'action, vous pouvez dépenser une utilisation de votre fonctionnalité Forme sauvage pour lancer le sort Trouver un familier, sans composants matériels. Lorsque vous lancez le sort de cette manière, le familier est une fée au lieu d'une bête, et le familier disparaît après un nombre d'heures égal à la moitié de votre niveau de druide."
4,2,2,Druid Circle,2,3,—,—,—,—,—,—,—,—,"Subclass Feature.At 2nd level, you choose to identify with a circle of druids: the Circle of the Land detailed at the end of the class description or one from the Player's Handbook or other sources. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.
Circle of Dreams
Circle of the Land
Circle of the Moon
Circle of the Shepherd

Circle of the Stars
Circle of Spores
Circle of Wildfire
.
",Cercle des druides,"Sous-classe. Au niveau 2, vous choisissez de vous identifier à un cercle de druides : le Cercle de la Terre détaillé à la fin de la description de la classe ou un cercle du Manuel du joueur ou d'autres sources. Votre choix vous accorde des caractéristiques au niveau 2 et de nouveau aux niveaux 6, 10 et 14.
Cercle des rêves
Cercle de la Terre
Cercle de la Lune
Cercle du Berger

Cercle des étoiles
Cercle des spores
Cercle du feu sauvage
."
5,3,2,—,2,4,2,—,—,—,—,—,—,—,,,
6,4,2,Wild Shape Improvement,3,4,3,—,—,—,—,—,—,—,"At 4th level, you can use your action to magically assume the shape of a beast that you have seen before of challenge rating 1/2 or lower that doesn't have a flying speed. You can use this feature twice. You regain expended uses when you finish a short or long rest.At 8th level, you can use your action to magically assume the shape of a beast that you have seen before of challenge rating 1 or lower. You can use this feature twice. You regain expended uses when you finish a short or long rest.",Amélioration de la forme sauvage,"Au niveau 4, vous pouvez utiliser votre action pour prendre par magie la forme d'une bête que vous avez déjà vue et dont le niveau de difficulté est de 1/2 ou moins et qui n'a pas de vitesse de vol. Vous pouvez utiliser cette capacité deux fois. Vous récupérez les utilisations dépensées lorsque vous terminez un repos court ou long.Au niveau 8, vous pouvez utiliser votre action pour prendre par magie la forme d'une bête que vous avez déjà vue et dont le niveau de difficulté est de 1 ou moins. Vous pouvez utiliser cette capacité deux fois. Vous récupérez les utilisations dépensées lorsque vous terminez un repos court ou long."
7,4,2,Ability Score Improvement,3,4,3,—,—,—,—,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
8,4,2,Cantrip Versatility,3,4,3,—,—,—,—,—,—,—,"4th-level druid feature
Optional Class Feature
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the druid spell list.",Polyvalence des sorts,"Fonctionnalité de druide de niveau 4
Fonctionnalité de classe facultative
Chaque fois que vous atteignez un niveau dans cette classe qui accorde la fonctionnalité Amélioration du score de caractéristique, vous pouvez remplacer un tour de passe-passe que vous avez appris grâce à la fonctionnalité Lancer de sorts de cette classe par un autre tour de passe-passe de la liste des sorts de druide."
9,5,3,—,3,4,3,2,—,—,—,—,—,—,,,
