,Level,Proficiency Bonus,Features,Spells Known,1st,2nd,3rd,4th,5th,Features Texts,Capacites,Capacites Texts
0,1s,2,Favored Enemy,—,—,—,—,—,—,"Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy.Choose a type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies.You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them.When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all.You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.At 6th level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy.Choose an additional type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies.You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them.When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all.You choose one additional favored enemy, as well as an associated language, at 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.At 14th level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy.Choose an additional type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies.You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them.When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all.",Ennemi favori,"Dès le niveau 1, vous avez acquis une expérience significative dans l'étude, la traque, la chasse et même la communication avec un certain type d'ennemi. Choisissez un type d'ennemi favori : aberrations, bêtes, célestes, créatures artificielles, dragons, élémentaires, fées, démons, géants, monstruosités, limons, plantes ou morts-vivants. Vous pouvez également sélectionner deux races d'humanoïdes (comme les gnolls et les orcs) comme ennemis favoris. Vous bénéficiez d'un avantage aux tests de Sagesse (Survie) pour traquer vos ennemis favoris, ainsi qu'aux tests d'Intelligence pour vous souvenir d'informations à leur sujet. Lorsque vous obtenez cette capacité, vous apprenez également une langue de votre choix parlée par vos ennemis favoris, s'ils en parlent une. Vous choisissez un ennemi favori supplémentaire, ainsi qu'une langue associée, aux niveaux 6 et 14. Au fur et à mesure que vous gagnez des niveaux, vos choix doivent refléter les types de monstres que vous avez rencontrés au cours de vos aventures.Au niveau 6, vous avez une expérience significative dans l'étude, la traque, la chasse et même la communication avec un certain type d'ennemi.Choisissez un type supplémentaire d'ennemi favori : aberrations, bêtes, célestes, créatures artificielles, dragons, élémentaires, fées, démons, géants, monstruosités, limons, plantes ou morts-vivants. Vous pouvez également sélectionner deux races d'humanoïdes (comme les gnolls et les orcs) comme ennemis favoris.Vous avez l'avantage aux tests de Sagesse (Survie) pour traquer vos ennemis favoris, ainsi qu'aux tests d'Intelligence pour vous souvenir d'informations à leur sujet.Lorsque vous obtenez cette capacité, vous apprenez également une langue de votre choix parlée par vos ennemis favoris, s'ils en parlent une.Vous choisissez un ennemi favori supplémentaire, ainsi qu'une langue associée, au niveau 14. Au fur et à mesure que vous gagnez des niveaux, vos choix doivent refléter les types de monstres que vous avez rencontrés au cours de vos aventures.Au niveau 14, vous avez une expérience significative dans l'étude, la traque, la chasse et même la communication avec un certain type d'ennemi.Choisissez un type supplémentaire d'ennemi favori : aberrations, bêtes, célestes, créatures artificielles, dragons, élémentaires, fées, démons, géants, monstruosités, limons, plantes ou morts-vivants. Vous pouvez également sélectionner deux races d'humanoïdes (comme les gnolls et les orcs) comme ennemis favoris.Vous bénéficiez d'un avantage aux tests de Sagesse (Survie) pour traquer vos ennemis favoris, ainsi qu'aux tests d'Intelligence pour vous souvenir d'informations à leur sujet.Lorsque vous obtenez cette capacité, vous apprenez également une langue de votre choix parlée par vos ennemis favoris, s'ils en parlent une."
1,1,2,Natural Explorer,—,—,—,—,—,—,"You are particularly familiar with one type of natural environment and are adept at traveling and surviving in such regions. Choose one type of favored terrain: arctic, coast, desert, forest, grassland, mountain, swamp, or the Underdark. When you make an Intelligence or Wisdom check related to your favored terrain, your proficiency bonus is doubled if you are using a skill that you’re proficient in.While traveling for an hour or more in your favored terrain, you gain the following benefits:
Difficult terrain doesn’t slow your group’s travel.
Your group can’t become lost except by magical means.
Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger.
If you are traveling alone, you can move stealthily at a normal pace.
When you forage, you find twice as much food as you normally would.
While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area.
You choose additional favored terrain types at 6th and 10th level.",Explorateur de la nature,"Vous connaissez particulièrement un type d'environnement naturel et vous savez voyager et survivre dans de telles régions. Choisissez un type de terrain de prédilection : arctique, littoral, désert, forêt, prairie, montagne, marais ou l'Outreterre. Lorsque vous faites un test d'Intelligence ou de Sagesse lié à votre terrain de prédilection, votre bonus de maîtrise est doublé si vous utilisez une compétence que vous maîtrisez. Lorsque vous voyagez pendant une heure ou plus dans votre terrain de prédilection, vous obtenez les avantages suivants :
Le terrain difficile ne ralentit pas le déplacement de votre groupe.
Votre groupe ne peut pas se perdre sauf par des moyens magiques.
Même lorsque vous êtes engagé dans une autre activité pendant votre voyage (comme la recherche de nourriture, la navigation ou la pistage), vous restez attentif au danger.
Si vous voyagez seul, vous pouvez vous déplacer furtivement à un rythme normal.
Lorsque vous fouillez, vous trouvez deux fois plus de nourriture que d'habitude.
En traquant d'autres créatures, vous apprenez également leur nombre exact, leur taille et la date à laquelle elles ont traversé la zone.
Vous choisissez des types de terrain favorisés supplémentaires aux niveaux 6 et 10."
2,2,2,Fighting Style,2,2,—,—,—,—,"At 2nd level, you adopt a particular style of fighting as your specialty. Choose one of the following options.You can’t take a Fighting Style option more than once, even if you later get to choose again.ArcheryYou gain a +2 bonus to attack rolls you make with ranged weapons.Blind FightingYou have blind sight with a range of 10 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature within that range, unless the creature successfully hides from you.DefenseWhile you are wearing armor, you gain a +1 bonus to AC.Druidic WarriorYou learn two cantrips of your choice from the druid spell list. They count as ranger spells for you, and Wisdom is your spellcasting ability for them. Whenever you gain a level in this class, you can replace one of these cantrips with another cantrip from the druid spell list.DuelingWhen you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.Thrown Weapon FightingYou can draw a weapon that has the thrown property as part of the attack you make with the weapon.In addition, when you hit with a ranged attack using a thrown weapon, you gain a +2 bonus to the damage roll.Two-Weapon FightingWhen you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack.",Style de combat,"Au niveau 2, vous adoptez un style de combat particulier comme spécialité. Choisissez l'une des options suivantes. Vous ne pouvez pas choisir une option de style de combat plus d'une fois, même si vous avez plus tard la possibilité de choisir à nouveau. Tir à l'arc Vous obtenez un bonus de +2 aux jets d'attaque que vous effectuez avec des armes à distance. Combat à l'aveugle Vous avez la vue aveugle avec une portée de 3 mètres. Dans cette portée, vous pouvez voir efficacement tout ce qui n'est pas derrière un abri total, même si vous êtes aveuglé ou dans l'obscurité. De plus, vous pouvez voir une créature invisible dans cette portée, à moins que la créature ne parvienne à se cacher de vous. Défense Lorsque vous portez une armure, vous obtenez un bonus de +1 à la CA. Guerrier druidique Vous apprenez deux sorts mineurs de votre choix dans la liste des sorts de druide. Ils comptent comme des sorts de rôdeur pour vous, et Sagesse est votre capacité de lancement de sorts pour eux. Chaque fois que vous gagnez un niveau dans cette classe, vous pouvez remplacer l'un de ces sorts par un autre sort de la liste des sorts de druide.DuelLorsque vous maniez une arme de mêlée dans une main et aucune autre arme, vous obtenez un bonus de +2 aux jets de dégâts avec cette arme.Combat avec une arme de jetVous pouvez piocher une arme qui a la propriété de lancer dans le cadre de l'attaque que vous effectuez avec l'arme.De plus, lorsque vous touchez avec une attaque à distance en utilisant une arme de jet, vous obtenez un bonus de +2 au jet de dégâts.Combat à deux armesLorsque vous vous engagez dans un combat à deux armes, vous pouvez ajouter votre modificateur de caractéristique aux dégâts de la deuxième attaque."
3,2,2,Spellcasting,2,2,—,—,—,—,"By the time you reach 2nd level, you have learned to use the magical essence of nature to cast spells, much as a druid does. See Spells Rules for the general rules of spellcasting and the Spells Listing for the ranger spell list.Spell SlotsThe Ranger table shows how many spell slots you have to cast your ranger spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.For example, if you know the 1st-level spell Animal Friendship and have a 1st-level and a 2nd-level spell slot available, you can cast Animal Friendship using either slot.Spells Known of 1st Level and HigherYou know two 1st-level spells of your choice from the ranger spell list.The Spells Known column of the Ranger table shows when you learn more ranger spells of your choice. Each of these spells must be of a level for which you have spell slots. For instance, when you reach 5th level in this class, you can learn one new spell of 1st or 2nd level.Additionally, when you gain a level in this class, you can choose one of the ranger spells you know and replace it with another spell from the ranger spell list, which also must be of a level for which you have spell slots.Spellcasting AbilityWisdom is your spellcasting ability for your ranger spells, since your magic draws on your attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a ranger spell you cast and when making an attack roll with one.Spell save DC = 8 + your proficiency bonus + your Wisdom modifierSpell attack modifier = your proficiency bonus + your Wisdom modifierSpellcasting Focus2nd-level ranger feature
Optional Class Feature
You can use a druidic focus as a spellcasting focus for your ranger spells. A druidic focus might be a sprig of mistletoe or holly, a wand or rod made of yew or another special wood, a staff drawn whole from a living tree, or an object incorporating feathers, fur, bones, and teeth from sacred animals.",Lancer des sorts,"Lorsque vous atteignez le niveau 2, vous avez appris à utiliser l'essence magique de la nature pour lancer des sorts, à la manière d'un druide. Consultez les règles des sorts pour connaître les règles générales de lancement de sorts et la liste des sorts pour la liste des sorts de rôdeur.Emplacements de sortsLe tableau des rôdeurs indique le nombre d'emplacements de sorts dont vous disposez pour lancer vos sorts de rôdeur de niveau 1 et supérieur. Pour lancer l'un de ces sorts, vous devez dépenser un emplacement du niveau du sort ou supérieur. Vous récupérez tous les emplacements de sorts dépensés lorsque vous terminez un repos long.Par exemple, si vous connaissez le sort de niveau 1 Amitié animale et que vous avez un emplacement de sort de niveau 1 et un emplacement de sort de niveau 2 disponibles, vous pouvez lancer Amitié animale en utilisant l'un ou l'autre emplacement.Sorts connus de niveau 1 et supérieurVous connaissez deux sorts de niveau 1 de votre choix dans la liste des sorts de rôdeur.La colonne Sorts connus du tableau des rôdeurs indique quand vous apprenez davantage de sorts de rôdeur de votre choix. Chacun de ces sorts doit être d'un niveau pour lequel vous disposez d'emplacements de sorts. Par exemple, lorsque vous atteignez le niveau 5 dans cette classe, vous pouvez apprendre un nouveau sort de niveau 1 ou 2. De plus, lorsque vous gagnez un niveau dans cette classe, vous pouvez choisir l'un des sorts de rôdeur que vous connaissez et le remplacer par un autre sort de la liste des sorts de rôdeur, qui doit également être d'un niveau pour lequel vous disposez d'emplacements de sorts. Capacité de lancer de sortsLa Sagesse est votre capacité de lancer de sorts pour vos sorts de rôdeur, car votre magie s'appuie sur votre harmonie avec la nature. Vous utilisez votre Sagesse chaque fois qu'un sort fait référence à votre capacité de lancer de sorts. De plus, vous utilisez votre modificateur de Sagesse lorsque vous définissez le DD du jet de sauvegarde d'un sort de rôdeur que vous lancez et lorsque vous effectuez un jet d'attaque avec un tel sort.DD de sauvegarde des sorts = 8 + votre bonus de maîtrise + votre modificateur de SagesseModificateur d'attaque des sorts = votre bonus de maîtrise + votre modificateur de SagesseFocalisation de sortsFonction de rôdeur de niveau 2
Fonction de classe facultative
Vous pouvez utiliser un focalisateur druidique comme focalisateur de sorts pour vos sorts de rôdeur. Un focalisateur druidique peut être un brin de gui ou de houx, une baguette ou un bâton en if ou en un autre bois spécial, un bâton entièrement tiré d'un arbre vivant ou un objet incorporant des plumes, de la fourrure, des os et des dents d'animaux sacrés."
4,3,2,Ranger Archetype,3,3,—,—,—,—,"Subclass Feature.At 3rd level, you choose an archetype that you strive to emulate: the Hunter that is detailed at the end of the class description or one from another source. Your choice grants you features at 3rd level and again at 7th, 11th, and 15th level.
Beast Master
Drakewarden
Fey Wanderer
Gloom Stalker

Horizon Walker
Hunter
Monster Slayer
Swarmkeeper
",Archétype du Ranger,"Sous-classe. Au niveau 3, vous choisissez un archétype que vous souhaitez imiter : le chasseur qui est détaillé à la fin de la description de la classe ou un archétype provenant d'une autre source. Votre choix vous confère des caractéristiques au niveau 3 et de nouveau aux niveaux 7, 11 et 15.
Maître des bêtes
Gardien des drakes
Vagabond féerique
Traqueur des ténèbres

Marcheur d'horizon
Chasseur
Tueur de monstres
Gardien d'essaim"
5,3,2,Primeval Awareness,3,3,—,—,—,—,"Beginning at 3rd level, you can use your action and expend one ranger spell slot to focus your awareness on the region around you. For 1 minute per level of the spell slot you expend, you can sense whether the following types of creatures are present within 1 mile of you (or within up to 6 miles if you are in your favored terrain): aberrations, celestials, dragons, elementals, fey, fiends, and undead. This feature doesn’t reveal the creatures’ location or number.",Conscience primitive,"À partir du niveau 3, vous pouvez utiliser votre action et dépenser un emplacement de sort de rôdeur pour concentrer votre attention sur la région qui vous entoure. Pendant 1 minute par niveau de l'emplacement de sort que vous dépensez, vous pouvez sentir si les types de créatures suivants sont présents dans un rayon de 1,6 km de vous (ou dans un rayon de 6 km si vous êtes sur votre terrain de prédilection) : aberrations, célestes, dragons, élémentaires, fées, fiélons et morts-vivants. Cette fonctionnalité ne révèle pas l'emplacement ou le nombre de créatures."
6,3,2,Primal Awareness,3,3,—,—,—,—,"3rd-level ranger feature, which replaces the Primeval Awareness feature
Optional Class Feature
You can focus your awareness through the interconnections of nature: you learn additional spells when you reach certain levels in this class if you don't already know them, as shown in the Primal Awareness Spells table. These spells don't count against the number of ranger spells you know.

Ranger Level
Spell


3rd
Speak With Animals


5th
Beast Sense


9th
Speak With Plants


13th
Locate Creature


17th
Commune With Nature

You can cast each of these spells once without expending a spell slot. Once you cast a spell in this way, you can't do so again until you finish a long rest.",Conscience primordiale,"Capacité de rôdeur de niveau 3, qui remplace la capacité Conscience primitive
Capacité de classe optionnelle
Vous pouvez concentrer votre conscience grâce aux interconnexions de la nature : vous apprenez des sorts supplémentaires lorsque vous atteignez certains niveaux dans cette classe si vous ne les connaissez pas déjà, comme indiqué dans le tableau des sorts de Conscience primitive. Ces sorts ne comptent pas dans le nombre de sorts de rôdeur que vous connaissez.

Niveau de rôdeur
Sort

3e
Parler avec les animaux

5e
Sens des bêtes

9e
Parler avec les plantes

13e
Localiser une créature

17e
Communiquer avec la nature

Vous pouvez lancer chacun de ces sorts une fois sans dépenser d'emplacement de sort. Une fois que vous avez lancé un sort de cette manière, vous ne pouvez plus le faire avant d'avoir terminé un repos long."
7,4,2,Ability Score Improvement,3,3,—,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
8,4,2,Martial Versatility,3,3,—,—,—,—,"4th-level ranger feature
Optional Class Feature
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to rangers. This replacement represents a shift of focus in your martial practice.",Polyvalence martiale,"Fonctionnalité de ranger de niveau 4
Fonctionnalité de classe optionnelle
Chaque fois que vous atteignez un niveau dans cette classe qui accorde la fonctionnalité Amélioration du score de caractéristique, vous pouvez remplacer un style de combat que vous connaissez par un autre style de combat disponible pour les rangers. Ce remplacement représente un changement d'orientation dans votre pratique martiale."
9,5,3,Extra Attack,4,4,2,—,—,—,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.",Attaque supplémentaire,"À partir du niveau 5, vous pouvez attaquer deux fois, au lieu d'une, à chaque fois que vous effectuez l'action Attaquer pendant votre tour."
