,Level,Proficiency Bonus,Features,Cantrips Known,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Features Texts,Capacites,Capacites Texts
0,1,2,Spellcasting,3,2,—,—,—,—,—,—,—,—,"As a student of arcane magic, you have a spellbook containing spells that show the first glimmerings of your true power. See Spells Rules for the general rules of spellcasting and the Spells Listing for the wizard spell list.CantripsAt 1st level, you know three cantrips of your choice from the wizard spell list. You learn additional wizard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Wizard table.SpellbookAt 1st level, you have a spellbook containing six 1st-level wizard spells of your choice. Your spellbook is the repository of the wizard spells you know, except your cantrips, which are fixed in your mind.Preparing and Casting SpellsThe Wizard table shows how many spell slots you have to cast your wizard spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.You prepare the list of wizard spells that are available for you to cast. To do so, choose a number of wizard spells from your spellbook equal to your Intelligence modifier + your wizard level (minimum of one spell). The spells must be of a level for which you have spell slots.For example, if you’re a 3rd-level wizard, you have four 1st-level and two 2nd-level spell slots. With an Intelligence of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination, chosen from your spellbook. If you prepare the 1st-level spell magic missile, you can cast it using a 1st-level or a 2nd-level slot. Casting the spell doesn’t remove it from your list of prepared spells.You can change your list of prepared spells when you finish a long rest. Preparing a new list of wizard spells requires time spent studying your spellbook and memorizing the incantations and gestures you must make to cast the spell: at least 1 minute per spell level for each spell on your list.Spellcasting AbilityIntelligence is your spellcasting ability for your wizard spells, since you learn your spells through dedicated study and memorization. You use your Intelligence whenever a spell refers to your spellcasting ability. In addition, you use your Intelligence modifier when setting the saving throw DC for a wizard spell you cast and when making an attack roll with one.Spell save DC = 8 + your proficiency bonus + your Intelligence modifierSpell attack modifier = your proficiency bonus + your Intelligence modifierRitual CastingYou can cast a wizard spell as a ritual if that spell has the ritual tag and you have the spell in your spellbook. You don’t need to have the spell prepared.Spellcasting FocusYou can use an arcane focus (see the Adventuring Gear section) as a spellcasting focus for your wizard spells.Learning Spells of 1st Level and HigherEach time you gain a wizard level, you can add two wizard spells of your choice to your spellbook for free. Each of these spells must be of a level for which you have spell slots, as shown on the Wizard table. On your adventures, you might find other spells that you can add to your spellbook (see the “Your Spellbook” sidebar).",Lancer des sorts,"En tant qu'étudiant en magie des arcanes, vous possédez un grimoire contenant des sorts qui montrent les premières lueurs de votre véritable pouvoir. Consultez les règles des sorts pour les règles générales de lancement de sorts et la liste des sorts pour la liste des sorts de magicien. Tours de magieAu niveau 1, vous connaissez trois tours de magie de votre choix dans la liste des sorts de magicien. Vous apprenez des tours de magie supplémentaires de votre choix aux niveaux supérieurs, comme indiqué dans la colonne Tours de magie connus de la table des magiciens. GrimoireAu niveau 1, vous possédez un grimoire contenant six sorts de magicien de niveau 1 de votre choix. Votre grimoire est le référentiel des sorts de magicien que vous connaissez, à l'exception de vos tours de magie, qui sont fixés dans votre esprit. Préparation et lancement de sortsLa table des magiciens indique le nombre d'emplacements de sorts dont vous disposez pour lancer vos sorts de magicien de niveau 1 et supérieur. Pour lancer l'un de ces sorts, vous devez dépenser un emplacement du niveau du sort ou supérieur. Vous récupérez tous les emplacements de sorts dépensés lorsque vous terminez un repos long. Vous préparez la liste des sorts de magicien que vous pouvez lancer. Pour cela, choisissez dans votre grimoire un nombre de sorts de magicien égal à votre modificateur d'Intelligence + votre niveau de magicien (minimum d'un sort). Les sorts doivent être d'un niveau pour lequel vous disposez d'emplacements de sorts. Par exemple, si vous êtes un magicien de niveau 3, vous disposez de quatre emplacements de sorts de niveau 1 et de deux de niveau 2. Avec une Intelligence de 16, votre liste de sorts préparés peut inclure six sorts de niveau 1 ou 2, dans n'importe quelle combinaison, choisis dans votre grimoire. Si vous préparez le sort de niveau 1 projectile magique, vous pouvez le lancer en utilisant un emplacement de niveau 1 ou 2. Lancer le sort ne le supprime pas de votre liste de sorts préparés. Vous pouvez modifier votre liste de sorts préparés lorsque vous terminez un repos long. Préparer une nouvelle liste de sorts de sorcier nécessite de passer du temps à étudier votre grimoire et à mémoriser les incantations et les gestes que vous devez faire pour lancer le sort : au moins 1 minute par niveau de sort pour chaque sort de votre liste.Capacité de lancer de sortsL'intelligence est votre capacité de lancer de sorts pour vos sorts de sorcier, car vous apprenez vos sorts grâce à une étude et une mémorisation assidues. Vous utilisez votre Intelligence chaque fois qu'un sort fait référence à votre capacité de lancer de sorts. De plus, vous utilisez votre modificateur d'Intelligence lorsque vous définissez le DD du jet de sauvegarde d'un sort de sorcier que vous lancez et lorsque vous effectuez un jet d'attaque avec un sort.DD de sauvegarde des sorts = 8 + votre bonus de maîtrise + votre modificateur d'IntelligenceModificateur d'attaque des sorts = votre bonus de maîtrise + votre modificateur d'IntelligenceLancement de rituelsVous pouvez lancer un sort de sorcier en tant que rituel si ce sort a l'étiquette rituel et que vous avez le sort dans votre grimoire. Vous n’avez pas besoin d’avoir préparé le sort. Focus d’incantationVous pouvez utiliser un focus arcanique (voir la section Équipement d’aventurier) comme focus d’incantation pour vos sorts de sorcier. Apprendre des sorts de niveau 1 et supérieurChaque fois que vous gagnez un niveau de sorcier, vous pouvez ajouter gratuitement deux sorts de sorcier de votre choix à votre grimoire. Chacun de ces sorts doit être d’un niveau pour lequel vous disposez d’emplacements de sort, comme indiqué dans le tableau des sorciers. Au cours de vos aventures, vous pourriez trouver d’autres sorts que vous pouvez ajouter à votre grimoire (voir la barre latérale « Votre grimoire »)."
1,1,2,Arcane Recovery,3,2,—,—,—,—,—,—,—,—,"You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your wizard level (rounded up), and none of the slots can be 6th level or higher.For example, if you’re a 4th-level wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots.",Récupération des arcanes,"Vous avez appris à récupérer une partie de votre énergie magique en étudiant votre grimoire. Une fois par jour, lorsque vous terminez un court repos, vous pouvez choisir les emplacements de sorts dépensés à récupérer. Les emplacements de sorts peuvent avoir un niveau combiné égal ou inférieur à la moitié de votre niveau de magicien (arrondi au supérieur), et aucun des emplacements ne peut être de niveau 6 ou supérieur. Par exemple, si vous êtes un magicien de niveau 4, vous pouvez récupérer jusqu'à deux niveaux d'emplacements de sorts. Vous pouvez récupérer soit un emplacement de sort de niveau 2, soit deux emplacements de sort de niveau 1."
2,2,2,Arcane Tradition,3,3,—,—,—,—,—,—,—,—,"Subclass Feature.When you reach 2nd level, you choose an arcane tradition, shaping your practice of magic through one of eight schools: Abjuration, Conjuration, Divination, Enchantment, Evocation, Illusion, Necromancy, or Transmutation. The School of Evocation is detailed at the end of the class description, and more choices are available in other sources.Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.
Order of Scribes
School of Abjuration
School of Bladesinging
School of Chronurgy Magic
School of Conjuration
School of Divination
School of Enchantment

School of Evocation
School of Graviturgy Magic
School of Illusion
School of Necromancy
School of Transmutation
School of War Magic
.
",Tradition arcanique,"Sous-classe de compétence.Lorsque vous atteignez le niveau 2, vous choisissez une tradition arcanique, façonnant votre pratique de la magie à travers l'une des huit écoles : Abjuration, Conjuration, Divination, Enchantement, Évocation, Illusion, Nécromancie ou Transmutation. L'école d'évocation est détaillée à la fin de la description de la classe, et d'autres choix sont disponibles dans d'autres sources.Votre choix vous accorde des compétences au niveau 2 et de nouveau aux niveaux 6, 10 et 14.
Ordre des scribes
École d'abjuration
École de chant de lame
École de magie de chronourgie
École de conjuration
École de divination
École d'enchantement

École d'évocation
École de magie de graviturgie
École d'illusion
École de nécromancie
École de transmutation
École de magie de guerre
."
3,3,2,Cantrip Formulas,3,4,2,—,—,—,—,—,—,—,"3rd-level wizard feature
Optional Class Feature
You have scribed a set of arcane formulas in your spellbook that you can use to formulate a cantrip in your mind. Whenever you finish a long rest and consult those formulas in your spellbook, you can replace one wizard cantrip you know with another cantrip from the wizard spell list.",Formules de cantrip,"Capacité de magicien de niveau 3
Capacité de classe optionnelle
Vous avez inscrit dans votre grimoire un ensemble de formules arcaniques que vous pouvez utiliser pour formuler un sort de magicien dans votre esprit. Chaque fois que vous terminez un repos long et que vous consultez ces formules dans votre grimoire, vous pouvez remplacer un sort de magicien que vous connaissez par un autre sort de la liste des sorts de magicien."
4,4,2,Ability Score Improvement,4,4,3,—,—,—,—,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
5,5,3,—,4,4,3,2,—,—,—,—,—,—,,,
6,6,3,Arcane Tradition Feature,4,4,3,3,—,—,—,—,—,—,Subclass Feature.,Fonctionnalité de la tradition arcanique,Fonctionnalité de sous-classe.
7,7,3,—,4,4,3,3,1,—,—,—,—,—,,,
8,8,3,Ability Score Improvement,4,4,3,3,2,—,—,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
9,9,4,—,4,4,3,3,3,1,—,—,—,—,,,
