,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,aarakocra,aarakocra,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom score increases by 1.",aarakocra,aarakocra,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Sagesse augmente de 1.
1,aarakocra,aarakocra,Age,"Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years.",aarakocra,aarakocra,Âge,"Les Aarakocra atteignent la maturité à l'âge de 3 ans. Comparés aux humains, les Aarakocra ne vivent généralement pas plus de 30 ans."
2,aarakocra,aarakocra,Alignment,"Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic.",aarakocra,aarakocra,Alignement,"La plupart des aarakocras sont bons et choisissent rarement leur camp lorsqu'il s'agit de la loi et du chaos. Les chefs de tribus et les guerriers peuvent être loyaux, tandis que les explorateurs et les aventuriers ont tendance à être chaotiques."
3,aarakocra,aarakocra,Size,"Aarakocra are about 5 feet tall. They have thin, lightweight bodies that weigh between 80 and 100 pounds. Your size is Medium.",aarakocra,aarakocra,Taille,"Les Aarakocra mesurent environ 1,50 m de haut. Ils ont un corps mince et léger qui pèse entre 80 et 100 livres. Votre taille est M."
4,aarakocra,aarakocra,Speed,Your base walking speed is 25 feet.,aarakocra,aarakocra,Vitesse,Votre vitesse de marche de base est de 25 pieds.
5,aarakocra,aarakocra,Flight,"You have a flying speed of 50 feet. To use this speed, you can't be wearing medium or heavy armor.",aarakocra,aarakocra,Vol,"Vous avez une vitesse de vol de 15 mètres. Pour utiliser cette vitesse, vous ne pouvez pas porter d'armure moyenne ou lourde."
6,aarakocra,aarakocra,Talons,"You are proficient with your unarmed strikes, which deal 1d4 slashing damage on a hit.",aarakocra,aarakocra,Serres,"Vous maîtrisez vos frappes à mains nues, qui infligent 1d4 dégâts tranchants à chaque coup."
7,aarakocra,aarakocra,Languages,"You can speak, read, and write Common, Aarakocra, and Auran.",aarakocra,aarakocra,Langues,"Vous pouvez parler, lire et écrire le commun, l'aarakocra et l'auran."
8,aarakocra,Aarakocra in the Forgotten Realms,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom score increases by 1.",aarakocra,Aarakocra dans les Royaumes Oubliés,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Sagesse augmente de 1.
9,aarakocra,Aarakocra in the Forgotten Realms,Age,"Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years.",aarakocra,Aarakocra dans les Royaumes Oubliés,Âge,"Les Aarakocra atteignent la maturité à l'âge de 3 ans. Comparés aux humains, les Aarakocra ne vivent généralement pas plus de 30 ans."
10,aarakocra,Aarakocra in the Forgotten Realms,Alignment,"Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic.",aarakocra,Aarakocra dans les Royaumes Oubliés,Alignement,"La plupart des aarakocras sont bons et choisissent rarement leur camp lorsqu'il s'agit de la loi et du chaos. Les chefs de tribus et les guerriers peuvent être loyaux, tandis que les explorateurs et les aventuriers ont tendance à être chaotiques."
11,aarakocra,Aarakocra in the Forgotten Realms,Size,"Aarakocra are about 5 feet tall. They have thin, lightweight bodies that weigh between 80 and 100 pounds. Your size is Medium.",aarakocra,Aarakocra dans les Royaumes Oubliés,Taille,"Les Aarakocra mesurent environ 1,50 m de haut. Ils ont un corps mince et léger qui pèse entre 80 et 100 livres. Votre taille est M."
12,aarakocra,Aarakocra in the Forgotten Realms,Speed,Your base walking speed is 25 feet.,aarakocra,Aarakocra dans les Royaumes Oubliés,Vitesse,Votre vitesse de marche de base est de 25 pieds.
13,aarakocra,Aarakocra in the Forgotten Realms,Flight,"You have a flying speed of 50 feet. To use this speed, you can't be wearing medium or heavy armor.",aarakocra,Aarakocra dans les Royaumes Oubliés,Vol,"Vous avez une vitesse de vol de 15 mètres. Pour utiliser cette vitesse, vous ne pouvez pas porter d'armure moyenne ou lourde."
14,aarakocra,Aarakocra in the Forgotten Realms,Talons,"You are proficient with your unarmed strikes, which deal 1d4 slashing damage on a hit.",aarakocra,Aarakocra dans les Royaumes Oubliés,Serres,"Vous maîtrisez vos frappes à mains nues, qui infligent 1d4 dégâts tranchants à chaque coup."
15,aarakocra,Aarakocra in the Forgotten Realms,Languages,"You can speak, read, and write Common, Aarakocra, and Auran.",aarakocra,Aarakocra dans les Royaumes Oubliés,Langues,"Vous pouvez parler, lire et écrire le commun, l'aarakocra et l'auran."
16,aarakocra,Aarakocra Backgrounds,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom score increases by 1.",aarakocra,Contexte d'Aarakocra,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Sagesse augmente de 1.
17,aarakocra,Aarakocra Backgrounds,Age,"Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years.",aarakocra,Contexte d'Aarakocra,Âge,"Les Aarakocra atteignent la maturité à l'âge de 3 ans. Comparés aux humains, les Aarakocra ne vivent généralement pas plus de 30 ans."
18,aarakocra,Aarakocra Backgrounds,Alignment,"Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic.",aarakocra,Contexte d'Aarakocra,Alignement,"La plupart des aarakocras sont bons et choisissent rarement leur camp lorsqu'il s'agit de la loi et du chaos. Les chefs de tribus et les guerriers peuvent être loyaux, tandis que les explorateurs et les aventuriers ont tendance à être chaotiques."
19,aarakocra,Aarakocra Backgrounds,Size,"Aarakocra are about 5 feet tall. They have thin, lightweight bodies that weigh between 80 and 100 pounds. Your size is Medium.",aarakocra,Contexte d'Aarakocra,Taille,"Les Aarakocra mesurent environ 1,50 m de haut. Ils ont un corps mince et léger qui pèse entre 80 et 100 livres. Votre taille est M."
20,aarakocra,Aarakocra Backgrounds,Speed,Your base walking speed is 25 feet.,aarakocra,Contexte d'Aarakocra,Vitesse,Votre vitesse de marche de base est de 25 pieds.
