,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,aasimar,aasimar,Ability Score Increase,Your Charisma score increases by 2.,aasimar,aasimar,Augmentation du score de capacité,Votre score de Charisme augmente de 2.
1,aasimar,aasimar,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,aasimar,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans."
2,aasimar,aasimar,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,aasimar,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais."
3,aasimar,aasimar,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,aasimar,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4."
4,aasimar,aasimar,Speed,Your base walking speed is 30 feet.,aasimar,aasimar,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,aasimar,aasimar,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,aasimar,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris."
6,aasimar,aasimar,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,aasimar,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.
7,aasimar,aasimar,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,aasimar,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long."
8,aasimar,aasimar,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,aasimar,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.
9,aasimar,aasimar,Languages,"You can speak, read, and write Common and Celestial.",aasimar,aasimar,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste."
10,aasimar,Angelic Guide,Ability Score Increase,Your Charisma score increases by 2.,aasimar,Guide angélique,Augmentation du score de capacité,Votre score de Charisme augmente de 2.
11,aasimar,Angelic Guide,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Guide angélique,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans."
12,aasimar,Angelic Guide,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Guide angélique,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais."
13,aasimar,Angelic Guide,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Guide angélique,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4."
14,aasimar,Angelic Guide,Speed,Your base walking speed is 30 feet.,aasimar,Guide angélique,Vitesse,Votre vitesse de marche de base est de 30 pieds.
15,aasimar,Angelic Guide,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Guide angélique,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris."
16,aasimar,Angelic Guide,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Guide angélique,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.
17,aasimar,Angelic Guide,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Guide angélique,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long."
18,aasimar,Angelic Guide,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Guide angélique,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.
19,aasimar,Angelic Guide,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Guide angélique,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste."
20,aasimar,Angelic Guide,,"
d6
Nature


1
Bookish and lecturing


2
Compassionate and hopeful


3
Practical and lighthearted


4
Fierce and vengeful


5
Stern and judgmental


6
Kind and parental

",aasimar,Guide angélique,,"d6
Nature

1
Livre et sermonneur

2
Compassionné et plein d'espoir

3
Pratique et léger

4
Féroce et vindicatif

5
Sévère et moralisateur

6
Aimant et parental"
21,aasimar,Protector,Ability Score Increase,Your Wisdom score increases by 1.,aasimar,Protecteur,Augmentation du score de capacité,Votre score de Sagesse augmente de 1.
22,aasimar,Protector,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Protecteur,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans."
23,aasimar,Protector,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Protecteur,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais."
24,aasimar,Protector,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Protecteur,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4."
25,aasimar,Protector,Speed,Your base walking speed is 30 feet.,aasimar,Protecteur,Vitesse,Votre vitesse de marche de base est de 30 pieds.
26,aasimar,Protector,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Protecteur,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris."
27,aasimar,Protector,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Protecteur,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.
28,aasimar,Protector,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Protecteur,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long."
29,aasimar,Protector,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Protecteur,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.
30,aasimar,Protector,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Protecteur,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste."
