,race,subrace,section,content,race FR,subrace FR,section FR,content FR,
0,aarakocra,Aarakocra MPMM,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom score increases by 1.",aarakocra,MPMM d'Aarakocra,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Sagesse augmente de 1.,
1,aarakocra,Aarakocra MPMM,Age,"Aarakocra reach maturity by age 3. Compared to humans, aarakocra don't usually live longer than 30 years.",aarakocra,MPMM d'Aarakocra,Âge,"Les Aarakocra atteignent la maturité à l'âge de 3 ans. Comparés aux humains, les Aarakocra ne vivent généralement pas plus de 30 ans.",
2,aarakocra,Aarakocra MPMM,Alignment,"Most aarakocra are good and rarely choose sides when it comes to law and chaos. Tribal leaders and warriors might be lawful, while explorers and adventurers might tend toward chaotic.",aarakocra,MPMM d'Aarakocra,Alignement,"La plupart des aarakocras sont bons et choisissent rarement leur camp lorsqu'il s'agit de la loi et du chaos. Les chefs de tribus et les guerriers peuvent être loyaux, tandis que les explorateurs et les aventuriers ont tendance à être chaotiques.",
3,aarakocra,Aarakocra MPMM,Size,Medium,aarakocra,MPMM d'Aarakocra,Taille,Moyen,
4,aarakocra,Aarakocra MPMM,Speed,"30 ft., fly equal to your walking speed",aarakocra,MPMM d'Aarakocra,Vitesse,"30 pieds, volez à une vitesse égale à votre vitesse de marche",
5,aarakocra,Aarakocra MPMM,Flight,"Because of your wings, you have a flying speed equal to your walking speed. You can't use this flying speed if you're wearing medium or heavy armor.",aarakocra,MPMM d'Aarakocra,Vol,"Grâce à vos ailes, vous avez une vitesse de vol égale à votre vitesse de marche. Vous ne pouvez pas utiliser cette vitesse de vol si vous portez une armure moyenne ou lourde.",
6,aarakocra,Aarakocra MPMM,Talons,"You have talons that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier slashing damage, instead of the bludgeoning damage normal for an unarmed strike.",aarakocra,MPMM d'Aarakocra,Serres,"Vous avez des serres que vous pouvez utiliser pour effectuer des attaques à mains nues. Lorsque vous frappez avec elles, l'attaque inflige 1d6 + votre modificateur de Force de dégâts tranchants, au lieu des dégâts contondants normaux pour une attaque à mains nues.",
7,aarakocra,Aarakocra MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",aarakocra,MPMM d'Aarakocra,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage.",
8,aarakocra,Aarakocra MPMM,Ability Scores,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",aarakocra,MPMM d'Aarakocra,Scores de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1.",
9,aarakocra,Aarakocra MPMM,Wind Caller,"Starting at 3rd level, you can cast the Gust of Wind spell with this trait, without requiring a material component. Once you cast the spell with this trait, you can't do so again until you finish a long rest. You can also cast the spell using any spell slots you have of 2nd level or higher.",aarakocra,MPMM d'Aarakocra,Appel du vent,"À partir du niveau 3, vous pouvez lancer le sort Rafale de vent avec ce trait, sans nécessiter de composante matérielle. Une fois que vous avez lancé le sort avec ce trait, vous ne pouvez plus le faire avant d'avoir terminé un repos long. Vous pouvez également lancer le sort en utilisant n'importe quel emplacement de sort de niveau 2 ou supérieur dont vous disposez.",
0,aasimar,aasimar,Ability Score Increase,Your Charisma score increases by 2.,aasimar,aasimar,Augmentation du score de capacité,Votre score de Charisme augmente de 2.,
1,aasimar,aasimar,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,aasimar,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans.",
2,aasimar,aasimar,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,aasimar,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais.",
3,aasimar,aasimar,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,aasimar,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4.",
4,aasimar,aasimar,Speed,Your base walking speed is 30 feet.,aasimar,aasimar,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
5,aasimar,aasimar,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,aasimar,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris.",
6,aasimar,aasimar,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,aasimar,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
7,aasimar,aasimar,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,aasimar,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
