,race,subrace,section,content
0,autognome,autognome,Ability Scores,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
1,autognome,autognome,Size,You are Small.
2,autognome,autognome,Speed,Your base walking speed is 30 feet.
3,autognome,autognome,Creature Type,You are a Construct.
4,autognome,autognome,Armored Casing,"You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier."
5,autognome,autognome,Built for Success,"You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
6,autognome,autognome,Healing Machine,"If the Mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point)."
7,autognome,autognome,Mechanical Nature,"You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don't need to eat, drink, or breathe."
8,autognome,autognome,Sentry's Rest,"When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious."
9,autognome,autognome,Specialized Design,"You gain two tool proficiencies of your choice, selected from the Player's Handbook."
10,autognome,autognome,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
11,autognome,Autognome History,Ability Scores,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
12,autognome,Autognome History,Size,You are Small.
13,autognome,Autognome History,Speed,Your base walking speed is 30 feet.
14,autognome,Autognome History,Creature Type,You are a Construct.
15,autognome,Autognome History,Armored Casing,"You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier."
16,autognome,Autognome History,Built for Success,"You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
17,autognome,Autognome History,Healing Machine,"If the Mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point)."
18,autognome,Autognome History,Mechanical Nature,"You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don't need to eat, drink, or breathe."
19,autognome,Autognome History,Sentry's Rest,"When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious."
20,autognome,Autognome History,Specialized Design,"You gain two tool proficiencies of your choice, selected from the Player's Handbook."
21,autognome,Autognome History,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
22,autognome,Autognome History,,"
d6
Story


1
Your creator gave you autonomy and urged you to follow your dreams.


2
Your creator died, leaving you to fend for yourself.


3
A glitch caused you to forget your original programming. You don't remember who made you or where you came from.


4
You didn't like how you were being treated by your creator, so you ran away from home.


5
You were built to complete a special mission.


6
You felt trapped in the role for which you were built and abandoned your creator, determined to find a greater purpose.

"
