,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,autognome,autognome,Ability Scores,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",autognome,autognome,Scores de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
1,autognome,autognome,Size,You are Small.,autognome,autognome,Taille,Tu es petit.
2,autognome,autognome,Speed,Your base walking speed is 30 feet.,autognome,autognome,Vitesse,Votre vitesse de marche de base est de 30 pieds.
3,autognome,autognome,Creature Type,You are a Construct.,autognome,autognome,Type de créature,Vous êtes une construction.
4,autognome,autognome,Armored Casing,"You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier.",autognome,autognome,Boîtier blindé,"Vous êtes enfermé dans un métal fin ou un autre matériau durable. Lorsque vous ne portez pas d'armure, votre classe d'armure de base est de 13 + votre modificateur de Dextérité."
5,autognome,autognome,Built for Success,"You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",autognome,autognome,Conçu pour réussir,"Vous pouvez ajouter un d4 à un jet d'attaque, un test de caractéristique ou un jet de sauvegarde que vous effectuez, et vous pouvez le faire après avoir vu le jet de d20 mais avant que les effets du jet ne soient résolus. Vous pouvez utiliser ce trait un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long."
6,autognome,autognome,Healing Machine,"If the Mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point).",autognome,autognome,Machine de guérison,"Si le sort de guérison est lancé sur vous, vous pouvez dépenser un dé de vie, le lancer et regagner un nombre de points de vie égal au résultat du jet plus votre modificateur de Constitution (minimum de 1 point de vie)."
7,autognome,autognome,Mechanical Nature,"You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don't need to eat, drink, or breathe.",autognome,autognome,Nature mécanique,"Vous êtes résistant aux dégâts de poison et immunisé contre les maladies, et vous bénéficiez d'un avantage aux jets de sauvegarde contre la paralysie ou l'empoisonnement. Vous n'avez pas besoin de manger, de boire ou de respirer."
8,autognome,autognome,Sentry's Rest,"When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious.",autognome,autognome,Repos de la sentinelle,"Lorsque vous prenez un repos prolongé, vous passez au moins 6 heures dans un état d'inactivité, d'immobilité, au lieu de dormir. Dans cet état, vous semblez inerte, mais vous restez conscient."
9,autognome,autognome,Specialized Design,"You gain two tool proficiencies of your choice, selected from the Player's Handbook.",autognome,autognome,Conception spécialisée,"Vous obtenez deux compétences d'outils de votre choix, sélectionnées dans le Manuel du joueur."
10,autognome,autognome,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",autognome,autognome,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
11,autognome,Autognome History,Ability Scores,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",autognome,Histoire d'Autognome,Scores de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
12,autognome,Autognome History,Size,You are Small.,autognome,Histoire d'Autognome,Taille,Tu es petit.
13,autognome,Autognome History,Speed,Your base walking speed is 30 feet.,autognome,Histoire d'Autognome,Vitesse,Votre vitesse de marche de base est de 30 pieds.
14,autognome,Autognome History,Creature Type,You are a Construct.,autognome,Histoire d'Autognome,Type de créature,Vous êtes une construction.
15,autognome,Autognome History,Armored Casing,"You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier.",autognome,Histoire d'Autognome,Boîtier blindé,"Vous êtes enfermé dans un métal fin ou un autre matériau durable. Lorsque vous ne portez pas d'armure, votre classe d'armure de base est de 13 + votre modificateur de Dextérité."
