,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,bugbear,bugbear,Ability Score Increase,"Your Strength score increases by 2, and your Dexterity score increases by 1.",épouvantail,épouvantail,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Dextérité augmente de 1.
1,bugbear,bugbear,Age,Bugbears reach adulthood at age 16 and live up to 80 years.,épouvantail,épouvantail,Âge,Les épouvantails atteignent l'âge adulte à 16 ans et vivent jusqu'à 80 ans.
2,bugbear,bugbear,Alignment,"Bugbears endure a harsh existence that demands each of them to remain self-sufficient, even at the expense of their fellows. They tend to be chaotic evil.",épouvantail,épouvantail,Alignement,"Les Bugbears endurent une existence difficile qui exige que chacun d'eux reste autonome, même au détriment de ses semblables. Ils ont tendance à être chaotiques et mauvais."
3,bugbear,bugbear,Size,"Bugbears are between 6 and 8 feet tall and weigh between 250 and 350 pounds. Your size is Medium. Your height is 6'0"" with a modifier of +2d12. Your weight is 200 lbs. with a modifier of +(height roll) x 2d6.",épouvantail,épouvantail,Taille,"Les Bugbears mesurent entre 1,80 et 2,40 mètres et pèsent entre 113 et 160 kilos. Votre taille est M. Votre taille est de 1,80 m avec un modificateur de +2d12. Votre poids est de 90 kilos avec un modificateur de +(test de taille) x 2d6."
4,bugbear,bugbear,Speed,Your base walking speed is 30 feet.,épouvantail,épouvantail,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,bugbear,bugbear,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",épouvantail,épouvantail,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,bugbear,bugbear,Long-Limbed,"When you make a melee attack on your turn, your reach for it is 5 feet greater than normal.",épouvantail,épouvantail,Long-membre,"Lorsque vous effectuez une attaque au corps à corps pendant votre tour, votre portée est supérieure de 1,50 mètre à la normale."
7,bugbear,bugbear,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",épouvantail,épouvantail,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
8,bugbear,bugbear,Sneaky,You are proficient in the Stealth skill.,épouvantail,épouvantail,Sournois,Vous maîtrisez la compétence Furtivité.
9,bugbear,bugbear,Surprise Attack,"If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat.",épouvantail,épouvantail,Attaque surprise,"Si vous surprenez une créature et la touchez avec une attaque lors de votre premier tour de combat, l'attaque lui inflige 2d6 dégâts supplémentaires. Vous ne pouvez utiliser cette aptitude qu'une seule fois par combat."
