,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,centaur,centaur,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1.",centaure,centaure,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Sagesse augmente de 1.
1,centaur,centaur,Age,Centaurs mature and age at about the same rate as humans.,centaure,centaure,Âge,Les centaures mûrissent et vieillissent à peu près au même rythme que les humains.
2,centaur,centaur,Size,"Centaurs stand between 6 and 7 feet tall, with their equine bodies reaching about 4 feet at the withers. Your size is Medium.",centaure,centaure,Taille,"Les centaures mesurent entre 1,80 et 2,10 mètres de haut, et leur corps équin atteint environ 1,20 mètre au garrot. Votre taille est M."
3,centaur,centaur,Speed,Your base walking speed is 40 feet.,centaure,centaure,Vitesse,Votre vitesse de marche de base est de 40 pieds.
4,centaur,centaur,Fey,"Your creature type is fey, rather than humanoid.",centaure,centaure,Fée,Votre type de créature est féerique plutôt qu'humanoïde.
5,centaur,centaur,Charge,"If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves.",centaure,centaure,Charge,"Si vous vous déplacez d'au moins 30 pieds directement vers une cible et que vous la frappez ensuite avec une attaque d'arme de mêlée au cours du même tour, vous pouvez immédiatement suivre cette attaque avec une action bonus, en effectuant une attaque contre la cible avec vos sabots."
6,centaur,centaur,Hooves,"Your hooves are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike.",centaure,centaure,Sabots,"Vos sabots sont des armes de mêlée naturelles, que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous les utilisez, vous infligez des dégâts contondants égaux à 1d4 + votre modificateur de Force, au lieu des dégâts contondants normaux pour une attaque à mains nues."
7,centaur,centaur,Equine Build,You count as one size larger when determining your carrying capacity and the weight you can push or drag.,centaure,centaure,Construction équine,Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser ou traîner.
8,centaur,centaur,Survivor,"You have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival.",centaure,centaure,Survivant,"Vous maîtrisez l’une des compétences suivantes, de votre choix : manipulation d’animaux, médecine, nature ou survie."
9,centaur,centaur,Languages,"You can speak, read, and write Common and Sylvan.",centaure,centaure,Langues,"Vous pouvez parler, lire et écrire le commun et le sylvestre."
10,centaur,Centaur MPMM,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1.",centaure,Centaure MPMM,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Sagesse augmente de 1.
11,centaur,Centaur MPMM,Age,Centaurs mature and age at about the same rate as humans.,centaure,Centaure MPMM,Âge,Les centaures mûrissent et vieillissent à peu près au même rythme que les humains.
12,centaur,Centaur MPMM,Size,Medium,centaure,Centaure MPMM,Taille,Moyen
13,centaur,Centaur MPMM,Speed,40 ft.,centaure,Centaure MPMM,Vitesse,40 pi.
14,centaur,Centaur MPMM,Fey,"Your creature type is fey, rather than humanoid.",centaure,Centaure MPMM,Fée,Votre type de créature est féerique plutôt qu'humanoïde.
15,centaur,Centaur MPMM,Charge,"If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves.",centaure,Centaure MPMM,Charge,"Si vous vous déplacez d'au moins 30 pieds directement vers une cible et que vous la frappez ensuite avec une attaque d'arme de mêlée au cours du même tour, vous pouvez immédiatement suivre cette attaque avec une action bonus, en effectuant une attaque contre la cible avec vos sabots."
16,centaur,Centaur MPMM,Hooves,"You have hooves that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier bludgeoning damage, instead of the bludgeoning damage normal for an unarmed strike.",centaure,Centaure MPMM,Sabots,"Vous avez des sabots que vous pouvez utiliser pour effectuer des attaques à mains nues. Lorsque vous frappez avec eux, l'attaque inflige 1d6 + votre modificateur de Force de dégâts contondants, au lieu des dégâts contondants normaux pour une attaque à mains nues."
