,race,subrace,section,content
0,cervan,cervan,Ability Score Increase,Your Constitution score increases by 2.
1,cervan,cervan,Age,"Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith’s favor."
2,cervan,cervan,Size,"Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds."
3,cervan,cervan,Speed,Your base walking speed is 30 feet.
4,cervan,cervan,Practical,"Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival."
5,cervan,cervan,Surge of Vigor,"All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier.
You can’t use this feature again until you have completed a long rest."
6,cervan,cervan,Languages,"You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component)."
7,cervan,cervan,Subrace,There are two main subraces of cervans: grove or pronghorn. Choose one of these subraces.
8,cervan,Grove Cervan,Ability Score Increase,Your Dexterity score increases by 1.
9,cervan,Grove Cervan,Age,"Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith’s favor."
10,cervan,Grove Cervan,Size,"Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds."
11,cervan,Grove Cervan,Speed,Your base walking speed is 30 feet.
12,cervan,Grove Cervan,Practical,"Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival."
13,cervan,Grove Cervan,Surge of Vigor,"All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier.
You can’t use this feature again until you have completed a long rest."
14,cervan,Grove Cervan,Languages,"You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component)."
15,cervan,Grove Cervan,Subrace,There are two main subraces of cervans: grove or pronghorn. Choose one of these subraces.
16,cervan,Grove Cervan,Swift,Your base walking speed increases to 35 feet.
17,cervan,Grove Cervan,Standing Leap,"Your base long jump is 30 feet, and your base high jump is 15 feet, with or without a running start."
18,cervan,Grove Cervan,Nimble Step,Opportunity attacks made against you are rolled with disadvantage.
19,cervan,Pronghorn Cervan,Ability Score Increase,Your Strength score increases by 1.
20,cervan,Pronghorn Cervan,Age,"Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith’s favor."
21,cervan,Pronghorn Cervan,Size,"Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds."
22,cervan,Pronghorn Cervan,Speed,Your base walking speed is 30 feet.
23,cervan,Pronghorn Cervan,Practical,"Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival."
24,cervan,Pronghorn Cervan,Surge of Vigor,"All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier.
You can’t use this feature again until you have completed a long rest."
25,cervan,Pronghorn Cervan,Languages,"You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component)."
26,cervan,Pronghorn Cervan,Subrace,There are two main subraces of cervans: grove or pronghorn. Choose one of these subraces.
27,cervan,Pronghorn Cervan,Swift,Your base walking speed increases to 35 feet.
28,cervan,Pronghorn Cervan,Standing Leap,"Your base long jump is 30 feet, and your base high jump is 15 feet, with or without a running start."
29,cervan,Pronghorn Cervan,Nimble Step,Opportunity attacks made against you are rolled with disadvantage.
30,cervan,Pronghorn Cervan,Robust Build,"Your carrying capacity is doubled, as is the weight you can push, drag, or lift."
31,cervan,Pronghorn Cervan,Antlers,"You have a set of large, strong antlers that can be used to make devastating charge attacks. You can use your unarmed strike to gore opponents, dealing 1d6 + your Strength Modifier piercing damage on a hit."
