,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,changeling,changeling,Ability Score Increase,"Your Charisma score increases by 2. In addition, one ability score of your choice increases by 1.",changeling,changeling,Augmentation du score de capacité,"Votre score de Charisme augmente de 2. De plus, une caractéristique de votre choix augmente de 1."
1,changeling,changeling,Age,"Changelings mature slightly faster than humans but share a similar lifespan-typically a century or less. While a changeling can transform to conceal their age, the effects of aging affect them similarly to humans.",changeling,changeling,Âge,"Les changelins mûrissent légèrement plus vite que les humains mais partagent une durée de vie similaire, généralement d'un siècle ou moins. Bien qu'un changelin puisse se transformer pour dissimuler son âge, les effets du vieillissement l'affectent de la même manière que les humains."
2,changeling,changeling,Alignment,"Changelings tend toward pragmatic neutrality, and few changelings embrace evil.",changeling,changeling,Alignement,"Les changelins ont tendance à être pragmatiquement neutres, et peu d'entre eux embrassent le mal."
3,changeling,changeling,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d4 Height = 5 feet + 1 inch + your size modifier in inches Weight in pounds = 115 + (2d4 x your size modifier)",changeling,changeling,Taille,"Votre taille est M. Pour définir votre taille et votre poids de manière aléatoire, commencez par lancer un modificateur de taille : Modificateur de taille = 2d4 Taille = 1,50 m + 2,54 cm + votre modificateur de taille en pouces Poids en livres = 115 + (2d4 x votre modificateur de taille)"
4,changeling,changeling,Speed,Your base walking speed is 30 feet.,changeling,changeling,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,changeling,changeling,Shapechanger,"As an action, you can change your appearance and your voice. You determine the specifics of
the changes, including your coloration, hair length, and sex. You can also adjust your height and weight, but not so much that your size changes. You can make yourself appear as a member of another race, though none of your game statistics change. You can't duplicate the appearance of a creature you've never seen, and you must adopt a form that has the same basic arrangement of limbs that you have. Your clothing and equipment aren't changed by this trait.",changeling,changeling,Changeur de forme,"En tant qu'action, vous pouvez changer votre apparence et votre voix. Vous déterminez les détails des
changements, y compris votre coloration, la longueur de vos cheveux et votre sexe. Vous pouvez également ajuster votre taille et votre poids, mais pas au point de modifier votre taille. Vous pouvez vous faire apparaître comme un membre d'une autre race, bien qu'aucune de vos statistiques de jeu ne change. Vous ne pouvez pas dupliquer l'apparence d'une créature que vous n'avez jamais vue, et vous devez adopter une forme qui a la même disposition de base des membres que vous. Vos vêtements et votre équipement ne sont pas modifiés par ce trait."
6,changeling,changeling,Changeling Instincts,"You gain proficiency with two of the following skills of your choice: Deception, Insight, Intimidation, and Persuasion.",changeling,changeling,Instincts de changeling,"Vous acquérez la maîtrise de deux des compétences suivantes de votre choix : Tromperie, Perspicacité, Intimidation et Persuasion."
7,changeling,changeling,Languages,"You can speak, read, and write Common and two other languages of your choice.",changeling,changeling,Langues,"Vous pouvez parler, lire et écrire le français et deux autres langues de votre choix."
8,changeling,Changeling MPMM,Ability Score Increase,"Your Charisma score increases by 2. In addition, one ability score of your choice increases by 1.",changeling,Changeling MPMM,Augmentation du score de capacité,"Votre score de Charisme augmente de 2. De plus, une caractéristique de votre choix augmente de 1."
9,changeling,Changeling MPMM,Age,"Changelings mature slightly faster than humans but share a similar lifespan-typically a century or less. While a changeling can transform to conceal their age, the effects of aging affect them similarly to humans.",changeling,Changeling MPMM,Âge,"Les changelins mûrissent légèrement plus vite que les humains mais partagent une durée de vie similaire, généralement d'un siècle ou moins. Bien qu'un changelin puisse se transformer pour dissimuler son âge, les effets du vieillissement l'affectent de la même manière que les humains."
10,changeling,Changeling MPMM,Alignment,"Changelings tend toward pragmatic neutrality, and few changelings embrace evil.",changeling,Changeling MPMM,Alignement,"Les changelins ont tendance à être pragmatiquement neutres, et peu d'entre eux embrassent le mal."
