,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,corvum,corvum,Age,"Corvums reach adulthood at around 18 years. They live slightly shorter lives than other birdfolk, approximately 70 years.",corbeau,corbeau,Âge,"Les corvums atteignent l'âge adulte vers 18 ans. Leur espérance de vie est légèrement inférieure à celle des autres oiseaux, soit environ 70 ans."
1,corvum,corvum,Alignment,"Shrewd and capable, corvums prefer moral flexibility and are more likely to be neutral than either good or evil. Nonetheless, corvums see the benefit of rules, even if many attempt to turn them to their own advantage. Because of this they favor lawful alignments.",corbeau,corbeau,Alignement,"Rusés et compétents, les corvums privilégient la flexibilité morale et sont plus susceptibles d'être neutres que bons ou mauvais. Néanmoins, les corvums voient l'intérêt des règles, même si beaucoup tentent de les tourner à leur avantage. Pour cette raison, ils privilégient les alignements loyaux."
2,corvum,corvum,Size,"Corvums cut imposing figures, standing between 4 and a half and 5 and a half feet tall, encompassing a variety of different builds. They weigh around 100 pounds. Your size is Medium.",corbeau,corbeau,Taille,"Les Corvums sont des animaux imposants, mesurant entre 1,20 et 1,70 mètre, et présentant une grande variété de carrures. Ils pèsent environ 45 kilos. Votre taille est M."
3,corvum,corvum,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",corbeau,corbeau,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
4,corvum,corvum,Talons,"Your sharp claws aid you in unarmed combat and while climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",corbeau,corbeau,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
5,corvum,corvum,Learned,"You gain proficiency in one of the following skills: Arcana, History, Nature, or Religion.",corbeau,corbeau,Savant,"Vous acquérez la maîtrise de l'une des compétences suivantes : Arcanes, Histoire, Nature ou Religion."
6,corvum,corvum,Appraising Eye,"You have an almost supernatural ability to appraise objects. By spending an action examining any object, you can determine any magical properties the item has, how they might be used or activated, as well as a fair estimation of market price. Using this skill strains the eyes, and you must complete a long or short rest before you can use it again.",corbeau,corbeau,Évaluer l'œil,"Vous avez une capacité presque surnaturelle à évaluer les objets. En consacrant une action à examiner un objet, vous pouvez déterminer ses propriétés magiques, la manière dont elles peuvent être utilisées ou activées, ainsi qu'une estimation juste de son prix sur le marché. L'utilisation de cette compétence fatigue les yeux et vous devez effectuer un repos long ou court avant de pouvoir l'utiliser à nouveau."
7,corvum,corvum,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",corbeau,corbeau,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
8,corvum,corvum,Subrace,There are two main subraces of corvum: dusk and kindled. Choose one of these subraces.,corbeau,corbeau,Sous-race,Il existe deux sous-races principales de corvum : dusk et kindled. Choisissez l'une de ces sous-races.
9,corvum,For Personal Gain,Age,"Corvums reach adulthood at around 18 years. They live slightly shorter lives than other birdfolk, approximately 70 years.",corbeau,Pour un gain personnel,Âge,"Les corvums atteignent l'âge adulte vers 18 ans. Leur espérance de vie est légèrement inférieure à celle des autres oiseaux, soit environ 70 ans."
10,corvum,For Personal Gain,Alignment,"Shrewd and capable, corvums prefer moral flexibility and are more likely to be neutral than either good or evil. Nonetheless, corvums see the benefit of rules, even if many attempt to turn them to their own advantage. Because of this they favor lawful alignments.",corbeau,Pour un gain personnel,Alignement,"Rusés et compétents, les corvums privilégient la flexibilité morale et sont plus susceptibles d'être neutres que bons ou mauvais. Néanmoins, les corvums voient l'intérêt des règles, même si beaucoup tentent de les tourner à leur avantage. Pour cette raison, ils privilégient les alignements loyaux."
11,corvum,For Personal Gain,Size,"Corvums cut imposing figures, standing between 4 and a half and 5 and a half feet tall, encompassing a variety of different builds. They weigh around 100 pounds. Your size is Medium.",corbeau,Pour un gain personnel,Taille,"Les Corvums sont des animaux imposants, mesurant entre 1,20 et 1,70 mètre, et présentant une grande variété de carrures. Ils pèsent environ 45 kilos. Votre taille est M."
12,corvum,For Personal Gain,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",corbeau,Pour un gain personnel,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
13,corvum,For Personal Gain,Talons,"Your sharp claws aid you in unarmed combat and while climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",corbeau,Pour un gain personnel,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
14,corvum,For Personal Gain,Learned,"You gain proficiency in one of the following skills: Arcana, History, Nature, or Religion.",corbeau,Pour un gain personnel,Savant,"Vous acquérez la maîtrise de l'une des compétences suivantes : Arcanes, Histoire, Nature ou Religion."
15,corvum,For Personal Gain,Appraising Eye,"You have an almost supernatural ability to appraise objects. By spending an action examining any object, you can determine any magical properties the item has, how they might be used or activated, as well as a fair estimation of market price. Using this skill strains the eyes, and you must complete a long or short rest before you can use it again.",corbeau,Pour un gain personnel,Évaluer l'œil,"Vous avez une capacité presque surnaturelle à évaluer les objets. En consacrant une action à examiner un objet, vous pouvez déterminer ses propriétés magiques, la manière dont elles peuvent être utilisées ou activées, ainsi qu'une estimation juste de son prix sur le marché. L'utilisation de cette compétence fatigue les yeux et vous devez effectuer un repos long ou court avant de pouvoir l'utiliser à nouveau."
16,corvum,For Personal Gain,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",corbeau,Pour un gain personnel,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
17,corvum,For Personal Gain,Subrace,There are two main subraces of corvum: dusk and kindled. Choose one of these subraces.,corbeau,Pour un gain personnel,Sous-race,Il existe deux sous-races principales de corvum : dusk et kindled. Choisissez l'une de ces sous-races.
18,corvum,Dusk Corvum,Age,"Corvums reach adulthood at around 18 years. They live slightly shorter lives than other birdfolk, approximately 70 years.",corbeau,Crépuscule Corvum,Âge,"Les corvums atteignent l'âge adulte vers 18 ans. Leur espérance de vie est légèrement inférieure à celle des autres oiseaux, soit environ 70 ans."
19,corvum,Dusk Corvum,Alignment,"Shrewd and capable, corvums prefer moral flexibility and are more likely to be neutral than either good or evil. Nonetheless, corvums see the benefit of rules, even if many attempt to turn them to their own advantage. Because of this they favor lawful alignments.",corbeau,Crépuscule Corvum,Alignement,"Rusés et compétents, les corvums privilégient la flexibilité morale et sont plus susceptibles d'être neutres que bons ou mauvais. Néanmoins, les corvums voient l'intérêt des règles, même si beaucoup tentent de les tourner à leur avantage. Pour cette raison, ils privilégient les alignements loyaux."
20,corvum,Dusk Corvum,Size,"Corvums cut imposing figures, standing between 4 and a half and 5 and a half feet tall, encompassing a variety of different builds. They weigh around 100 pounds. Your size is Medium.",corbeau,Crépuscule Corvum,Taille,"Les Corvums sont des animaux imposants, mesurant entre 1,20 et 1,70 mètre, et présentant une grande variété de carrures. Ils pèsent environ 45 kilos. Votre taille est M."
21,corvum,Dusk Corvum,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",corbeau,Crépuscule Corvum,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
22,corvum,Dusk Corvum,Talons,"Your sharp claws aid you in unarmed combat and while climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",corbeau,Crépuscule Corvum,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
23,corvum,Dusk Corvum,Learned,"You gain proficiency in one of the following skills: Arcana, History, Nature, or Religion.",corbeau,Crépuscule Corvum,Savant,"Vous acquérez la maîtrise de l'une des compétences suivantes : Arcanes, Histoire, Nature ou Religion."
24,corvum,Dusk Corvum,Appraising Eye,"You have an almost supernatural ability to appraise objects. By spending an action examining any object, you can determine any magical properties the item has, how they might be used or activated, as well as a fair estimation of market price. Using this skill strains the eyes, and you must complete a long or short rest before you can use it again.",corbeau,Crépuscule Corvum,Évaluer l'œil,"Vous avez une capacité presque surnaturelle à évaluer les objets. En consacrant une action à examiner un objet, vous pouvez déterminer ses propriétés magiques, la manière dont elles peuvent être utilisées ou activées, ainsi qu'une estimation juste de son prix sur le marché. L'utilisation de cette compétence fatigue les yeux et vous devez effectuer un repos long ou court avant de pouvoir l'utiliser à nouveau."
25,corvum,Dusk Corvum,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",corbeau,Crépuscule Corvum,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
26,corvum,Dusk Corvum,Subrace,There are two main subraces of corvum: dusk and kindled. Choose one of these subraces.,corbeau,Crépuscule Corvum,Sous-race,Il existe deux sous-races principales de corvum : dusk et kindled. Choisissez l'une de ces sous-races.
27,corvum,Dusk Corvum,Ability Score Increase,Your Dexterity score increases by 1.,corbeau,Crépuscule Corvum,Augmentation du score de capacité,Votre score de Dextérité augmente de 1.
28,corvum,Dusk Corvum,Skulker,You have advantage on Dexterity (Stealth) checks made in dim light or darkness.,corbeau,Crépuscule Corvum,Rôdeur,Vous bénéficiez d'un avantage sur les tests de Dextérité (Discrétion) effectués dans une faible lumière ou dans l'obscurité.
29,corvum,Dusk Corvum,Street Smarts,You gain proficiency in the Insight skill.,corbeau,Crépuscule Corvum,L'intelligence de la rue,Vous acquérez la maîtrise de la compétence Insight.
30,corvum,Kindled Corvum,Age,"Corvums reach adulthood at around 18 years. They live slightly shorter lives than other birdfolk, approximately 70 years.",corbeau,Corvum allumé,Âge,"Les corvums atteignent l'âge adulte vers 18 ans. Leur espérance de vie est légèrement inférieure à celle des autres oiseaux, soit environ 70 ans."
31,corvum,Kindled Corvum,Alignment,"Shrewd and capable, corvums prefer moral flexibility and are more likely to be neutral than either good or evil. Nonetheless, corvums see the benefit of rules, even if many attempt to turn them to their own advantage. Because of this they favor lawful alignments.",corbeau,Corvum allumé,Alignement,"Rusés et compétents, les corvums privilégient la flexibilité morale et sont plus susceptibles d'être neutres que bons ou mauvais. Néanmoins, les corvums voient l'intérêt des règles, même si beaucoup tentent de les tourner à leur avantage. Pour cette raison, ils privilégient les alignements loyaux."
32,corvum,Kindled Corvum,Size,"Corvums cut imposing figures, standing between 4 and a half and 5 and a half feet tall, encompassing a variety of different builds. They weigh around 100 pounds. Your size is Medium.",corbeau,Corvum allumé,Taille,"Les Corvums sont des animaux imposants, mesurant entre 1,20 et 1,70 mètre, et présentant une grande variété de carrures. Ils pèsent environ 45 kilos. Votre taille est M."
33,corvum,Kindled Corvum,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",corbeau,Corvum allumé,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
34,corvum,Kindled Corvum,Talons,"Your sharp claws aid you in unarmed combat and while climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",corbeau,Corvum allumé,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
35,corvum,Kindled Corvum,Learned,"You gain proficiency in one of the following skills: Arcana, History, Nature, or Religion.",corbeau,Corvum allumé,Savant,"Vous acquérez la maîtrise de l'une des compétences suivantes : Arcanes, Histoire, Nature ou Religion."
36,corvum,Kindled Corvum,Appraising Eye,"You have an almost supernatural ability to appraise objects. By spending an action examining any object, you can determine any magical properties the item has, how they might be used or activated, as well as a fair estimation of market price. Using this skill strains the eyes, and you must complete a long or short rest before you can use it again.",corbeau,Corvum allumé,Évaluer l'œil,"Vous avez une capacité presque surnaturelle à évaluer les objets. En consacrant une action à examiner un objet, vous pouvez déterminer ses propriétés magiques, la manière dont elles peuvent être utilisées ou activées, ainsi qu'une estimation juste de son prix sur le marché. L'utilisation de cette compétence fatigue les yeux et vous devez effectuer un repos long ou court avant de pouvoir l'utiliser à nouveau."
37,corvum,Kindled Corvum,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",corbeau,Corvum allumé,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
38,corvum,Kindled Corvum,Subrace,There are two main subraces of corvum: dusk and kindled. Choose one of these subraces.,corbeau,Corvum allumé,Sous-race,Il existe deux sous-races principales de corvum : dusk et kindled. Choisissez l'une de ces sous-races.
39,corvum,Kindled Corvum,Ability Score Increase,Your Charisma score increases by 1.,corbeau,Corvum allumé,Augmentation du score de capacité,Votre score de Charisme augmente de 1.
40,corvum,Kindled Corvum,Skulker,You have advantage on Dexterity (Stealth) checks made in dim light or darkness.,corbeau,Corvum allumé,Rôdeur,Vous bénéficiez d'un avantage sur les tests de Dextérité (Discrétion) effectués dans une faible lumière ou dans l'obscurité.
41,corvum,Kindled Corvum,Street Smarts,You gain proficiency in the Insight skill.,corbeau,Corvum allumé,L'intelligence de la rue,Vous acquérez la maîtrise de la compétence Insight.
42,corvum,Kindled Corvum,Convincing,"Kindled corvums have a way with words, and are accomplished at saying what someone wants or needs to hear. You have proficiency in either the Deception or Persuasion skill. Additionally, you have advantage on all Charisma checks made to convince someone of your exceptional knowledge on any topic related to the skill you selected with your learned trait (Arcana, History, Nature, or Religion).",corbeau,Corvum allumé,Convaincant,"Les corvums enflammés ont un don pour les mots et savent dire ce que quelqu'un veut ou a besoin d'entendre. Vous maîtrisez la compétence Tromperie ou Persuasion. De plus, vous avez un avantage sur tous les tests de Charisme effectués pour convaincre quelqu'un de vos connaissances exceptionnelles sur tout sujet lié à la compétence que vous avez sélectionnée avec votre trait appris (Arcanes, Histoire, Nature ou Religion)."
43,corvum,Kindled Corvum,Sharp Mind,"You learn one additional language of your choice, gain proficiency in a tool of your choice, and are able to accurately recall with perfect clarity anything you have seen or heard within the past month.",corbeau,Corvum allumé,Esprit vif,"Vous apprenez une langue supplémentaire de votre choix, maîtrisez un outil de votre choix et êtes capable de vous souvenir avec précision et clarté de tout ce que vous avez vu ou entendu au cours du mois dernier."
