,race,subrace,section,content
0,dragonborn,dragonborn,Ability Score Increase,"Your Strength score increases by 2, and your Charisma score increases by 1."
1,dragonborn,dragonborn,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80."
2,dragonborn,dragonborn,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains."
3,dragonborn,dragonborn,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium."
4,dragonborn,dragonborn,Speed,Your base walking speed is 30 feet.
5,dragonborn,dragonborn,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table."
6,dragonborn,dragonborn,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

"
7,dragonborn,dragonborn,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest."
8,dragonborn,dragonborn,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.
9,dragonborn,dragonborn,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants."
10,dragonborn,Dragonborn Variant: Draconbloods,Ability Score Increase,"Your Intelligence score increases by 2, and your Charisma score increases by 1."
11,dragonborn,Dragonborn Variant: Draconbloods,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80."
12,dragonborn,Dragonborn Variant: Draconbloods,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains."
13,dragonborn,Dragonborn Variant: Draconbloods,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium."
14,dragonborn,Dragonborn Variant: Draconbloods,Speed,Your base walking speed is 30 feet.
15,dragonborn,Dragonborn Variant: Draconbloods,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table."
16,dragonborn,Dragonborn Variant: Draconbloods,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

"
17,dragonborn,Dragonborn Variant: Draconbloods,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest."
18,dragonborn,Dragonborn Variant: Draconbloods,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.
19,dragonborn,Dragonborn Variant: Draconbloods,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants."
20,dragonborn,Dragonborn Variant: Draconbloods,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
21,dragonborn,Dragonborn Variant: Draconbloods,Forceful Presence,"You can use your understanding of creative diplomacy or intimidation to guide a conversation in your favor. When you make a Charisma (Intimidation or Persuasion) check, you can do so with advantage. Once you use this trait, you can't do so again until you finish a short or long rest."
22,dragonborn,Dragonborn Variant: Ravenite,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
23,dragonborn,Dragonborn Variant: Ravenite,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80."
24,dragonborn,Dragonborn Variant: Ravenite,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains."
25,dragonborn,Dragonborn Variant: Ravenite,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium."
26,dragonborn,Dragonborn Variant: Ravenite,Speed,Your base walking speed is 30 feet.
27,dragonborn,Dragonborn Variant: Ravenite,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table."
28,dragonborn,Dragonborn Variant: Ravenite,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

"
