,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,dragonborn,dragonborn,Ability Score Increase,"Your Strength score increases by 2, and your Charisma score increases by 1.",dragonborn,dragonborn,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Charisme augmente de 1.
1,dragonborn,dragonborn,Age,"Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80.",dragonborn,dragonborn,Âge,"Les jeunes dragonborn grandissent rapidement. Ils marchent plusieurs heures après l'éclosion, atteignent la taille et le développement d'un enfant humain de 10 ans à l'âge de 3 ans et atteignent l'âge adulte à 15 ans. Ils vivent jusqu'à environ 80 ans."
2,dragonborn,dragonborn,Alignment,"Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil (represented by Bahamut and Tiamat, respectively). Most dragonborn are good, but those who side with Tiamat can be terrible villains.",dragonborn,dragonborn,Alignement,"Les drakéides ont tendance à être extrêmes, choisissant consciemment de se ranger du côté du bien ou du mal (représentés respectivement par Bahamut et Tiamat). La plupart des drakéides sont bons, mais ceux qui se rangent du côté de Tiamat peuvent être de terribles méchants."
3,dragonborn,dragonborn,Size,"Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.",dragonborn,dragonborn,Taille,"Les Dragonborn sont plus grands et plus lourds que les humains, mesurant plus d'1,80 m et pesant en moyenne près de 113 kg. Votre taille est M."
4,dragonborn,dragonborn,Speed,Your base walking speed is 30 feet.,dragonborn,dragonborn,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,dragonborn,dragonborn,Draconic Ancestry,"You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table.",dragonborn,dragonborn,Ascendance draconique,"Vous avez une ascendance draconique. Choisissez un type de dragon dans le tableau d'ascendance draconique. Votre souffle et votre résistance aux dégâts sont déterminés par le type de dragon, comme indiqué dans le tableau."
6,dragonborn,dragonborn,,"
Dragon
Damage Type
Breath Weapon


Black
Acid
5 by 30 ft. line (Dex. save)


Blue
Lightning
5 by 30 ft. line (Dex. save)


Brass
Fire
5 by 30 ft. line (Dex. save)


Bronze
Lightning
5 by 30 ft. line (Dex. save)


Copper
Acid
5 by 30 ft. line (Dex. save)


Gold
Fire
5 by 30 ft. line (Dex. save)


Green
Poison
15 ft. cone (Con. save)


Red
Fire
15 ft. cone (Con. save)


Silver
Cold
15 ft. cone (Con. save)


White
Cold
15 ft. cone (Con. save)

",dragonborn,dragonborn,,"Dragon
Type de dégâts
Souffle Arme

Noir
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bleu
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Laiton
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Bronze
Éclair
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Cuivre
Acide
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Or
Feu
Ligne de 5 x 30 pieds (Sauvegarde de Dex.)

Vert
Poison
Cône de 15 pieds (Sauvegarde de Con.)

Rouge
Feu
Cône de 15 pieds (Sauvegarde de Con.)

Argent
Froid
Cône de 15 pieds (Sauvegarde de Con.)

Blanc
Froid
Cône de 15 pieds (Sauvegarde de Con.)"
7,dragonborn,dragonborn,Breath Weapon,"You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can’t use it again until you complete a short or long rest.",dragonborn,dragonborn,Arme à souffle,"Vous pouvez utiliser votre action pour expirer une énergie destructrice. Votre ascendance draconique détermine la taille, la forme et le type de dégâts de l'expiration. Lorsque vous utilisez votre souffle, chaque créature dans la zone d'expiration doit effectuer un jet de sauvegarde, dont le type est déterminé par votre ascendance draconique. Le DD de ce jet de sauvegarde est égal à 8 + votre modificateur de Constitution + votre bonus de maîtrise. Une créature subit 2d6 dégâts en cas d'échec, et la moitié de ces dégâts en cas de réussite. Les dégâts augmentent à 3d6 au niveau 6, 4d6 au niveau 11 et 5d6 au niveau 16. Après avoir utilisé votre souffle, vous ne pouvez plus l'utiliser avant d'avoir effectué un repos court ou long."
8,dragonborn,dragonborn,Damage Resistance,You have resistance to the damage type associated with your draconic ancestry.,dragonborn,dragonborn,Résistance aux dommages,Vous avez une résistance au type de dégâts associé à votre ascendance draconique.
9,dragonborn,dragonborn,Languages,"You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants.",dragonborn,dragonborn,Langues,"Vous pouvez parler, lire et écrire le commun et le draconique. Le draconique est considéré comme l'une des langues les plus anciennes et est souvent utilisé dans l'étude de la magie. Cette langue semble dure pour la plupart des autres créatures et comprend de nombreuses consonnes et sifflantes dures."
