,race,subrace,section,content
0,dwarf,dwarf,Ability Score Increase,Your Constitution score increases by 2.
1,dwarf,dwarf,Age,"Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years."
2,dwarf,dwarf,Alignment,"Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order."
3,dwarf,dwarf,Size,Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.
4,dwarf,dwarf,Speed,Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.
5,dwarf,dwarf,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
6,dwarf,dwarf,Dwarven Resilience,"You have advantage on saving throws against poison, and you have resistance against poison damage (explained in the “Combat” section)."
7,dwarf,dwarf,Dwarven Combat Training,"You have proficiency with the battleaxe, handaxe, light hammer, and warhammer."
8,dwarf,dwarf,Tool Proficiency,"You gain proficiency with the artisan’s tools of your choice: smith’s tools, brewer’s supplies, or mason’s tools."
9,dwarf,dwarf,Stonecunning,"Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus."
10,dwarf,dwarf,Languages,"You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak."
11,dwarf,Hill Dwarf,Ability Score Increase,Your Wisdom score increases by 1.
12,dwarf,Hill Dwarf,Age,"Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years."
13,dwarf,Hill Dwarf,Alignment,"Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order."
14,dwarf,Hill Dwarf,Size,Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.
15,dwarf,Hill Dwarf,Speed,Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.
16,dwarf,Hill Dwarf,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
17,dwarf,Hill Dwarf,Dwarven Resilience,"You have advantage on saving throws against poison, and you have resistance against poison damage (explained in the “Combat” section)."
18,dwarf,Hill Dwarf,Dwarven Combat Training,"You have proficiency with the battleaxe, handaxe, light hammer, and warhammer."
19,dwarf,Hill Dwarf,Tool Proficiency,"You gain proficiency with the artisan’s tools of your choice: smith’s tools, brewer’s supplies, or mason’s tools."
20,dwarf,Hill Dwarf,Stonecunning,"Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus."
21,dwarf,Hill Dwarf,Languages,"You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak."
22,dwarf,Hill Dwarf,Dwarven Toughness,"Your hit point maximum increases by 1, and it increases by 1 every time you gain a level."
23,dwarf,Mountain Dwarf,Ability Score Increase,Your Strength score increases by 2.
24,dwarf,Mountain Dwarf,Age,"Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years."
25,dwarf,Mountain Dwarf,Alignment,"Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order."
26,dwarf,Mountain Dwarf,Size,Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.
27,dwarf,Mountain Dwarf,Speed,Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.
28,dwarf,Mountain Dwarf,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
29,dwarf,Mountain Dwarf,Dwarven Resilience,"You have advantage on saving throws against poison, and you have resistance against poison damage (explained in the “Combat” section)."
30,dwarf,Mountain Dwarf,Dwarven Combat Training,"You have proficiency with the battleaxe, handaxe, light hammer, and warhammer."
