,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,dwarf,dwarf,Ability Score Increase,Your Constitution score increases by 2.,nain,nain,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
1,dwarf,dwarf,Age,"Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years.",nain,nain,Âge,"Les nains mûrissent au même rythme que les humains, mais ils sont considérés comme jeunes jusqu’à l’âge de 50 ans. En moyenne, ils vivent environ 350 ans."
2,dwarf,dwarf,Alignment,"Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order.",nain,nain,Alignement,"La plupart des nains sont des êtres loyaux, convaincus des bienfaits d'une société bien ordonnée. Ils ont également tendance à faire le bien, avec un sens aigu du fair-play et la conviction que tout le monde mérite de partager les bénéfices d'un ordre juste."
3,dwarf,dwarf,Size,Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.,nain,nain,Taille,"Les nains mesurent entre 1,20 et 1,50 mètre et pèsent en moyenne 68 kilos. Votre taille est M."
4,dwarf,dwarf,Speed,Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.,nain,nain,Vitesse,Votre vitesse de marche de base est de 25 pieds. Votre vitesse n'est pas réduite par le port d'une armure lourde.
5,dwarf,dwarf,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",nain,nain,Vision dans le noir,"Habitué à la vie sous terre, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,dwarf,dwarf,Dwarven Resilience,"You have advantage on saving throws against poison, and you have resistance against poison damage (explained in the “Combat” section).",nain,nain,La résilience des nains,Vous bénéficiez d'un avantage aux jets de sauvegarde contre le poison et d'une résistance aux dégâts du poison (expliqué dans la section « Combat »).
7,dwarf,dwarf,Dwarven Combat Training,"You have proficiency with the battleaxe, handaxe, light hammer, and warhammer.",nain,nain,Entraînement au combat des nains,"Vous maîtrisez la hache de combat, la hachette, le marteau léger et le marteau de guerre."
8,dwarf,dwarf,Tool Proficiency,"You gain proficiency with the artisan’s tools of your choice: smith’s tools, brewer’s supplies, or mason’s tools.",nain,nain,Maîtrise des outils,"Vous acquérez la maîtrise des outils artisanaux de votre choix : outils de forgeron, fournitures de brasseur ou outils de maçon."
9,dwarf,dwarf,Stonecunning,"Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.",nain,nain,La ruse de la pierre,"Chaque fois que vous effectuez un test d'Intelligence (Histoire) lié à l'origine de la maçonnerie, vous êtes considéré comme compétent dans la compétence Histoire et ajoutez le double de votre bonus de maîtrise au test, au lieu de votre bonus de maîtrise normal."
10,dwarf,dwarf,Languages,"You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak.",nain,nain,Langues,"Vous pouvez parler, lire et écrire le commun et le nain. Le nain est plein de consonnes dures et de sons gutturaux, et ces caractéristiques se retrouvent dans toute autre langue qu'un nain pourrait parler."
11,dwarf,Hill Dwarf,Ability Score Increase,Your Wisdom score increases by 1.,nain,Nain des collines,Augmentation du score de capacité,Votre score de Sagesse augmente de 1.
12,dwarf,Hill Dwarf,Age,"Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years.",nain,Nain des collines,Âge,"Les nains mûrissent au même rythme que les humains, mais ils sont considérés comme jeunes jusqu’à l’âge de 50 ans. En moyenne, ils vivent environ 350 ans."
13,dwarf,Hill Dwarf,Alignment,"Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order.",nain,Nain des collines,Alignement,"La plupart des nains sont des êtres loyaux, convaincus des bienfaits d'une société bien ordonnée. Ils ont également tendance à faire le bien, avec un sens aigu du fair-play et la conviction que tout le monde mérite de partager les bénéfices d'un ordre juste."
14,dwarf,Hill Dwarf,Size,Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.,nain,Nain des collines,Taille,"Les nains mesurent entre 1,20 et 1,50 mètre et pèsent en moyenne 68 kilos. Votre taille est M."
15,dwarf,Hill Dwarf,Speed,Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.,nain,Nain des collines,Vitesse,Votre vitesse de marche de base est de 25 pieds. Votre vitesse n'est pas réduite par le port d'une armure lourde.
16,dwarf,Hill Dwarf,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",nain,Nain des collines,Vision dans le noir,"Habitué à la vie sous terre, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
17,dwarf,Hill Dwarf,Dwarven Resilience,"You have advantage on saving throws against poison, and you have resistance against poison damage (explained in the “Combat” section).",nain,Nain des collines,La résilience des nains,Vous bénéficiez d'un avantage aux jets de sauvegarde contre le poison et d'une résistance aux dégâts du poison (expliqué dans la section « Combat »).
18,dwarf,Hill Dwarf,Dwarven Combat Training,"You have proficiency with the battleaxe, handaxe, light hammer, and warhammer.",nain,Nain des collines,Entraînement au combat des nains,"Vous maîtrisez la hache de combat, la hachette, le marteau léger et le marteau de guerre."
19,dwarf,Hill Dwarf,Tool Proficiency,"You gain proficiency with the artisan’s tools of your choice: smith’s tools, brewer’s supplies, or mason’s tools.",nain,Nain des collines,Maîtrise des outils,"Vous acquérez la maîtrise des outils artisanaux de votre choix : outils de forgeron, fournitures de brasseur ou outils de maçon."
20,dwarf,Hill Dwarf,Stonecunning,"Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.",nain,Nain des collines,La ruse de la pierre,"Chaque fois que vous effectuez un test d'Intelligence (Histoire) lié à l'origine de la maçonnerie, vous êtes considéré comme compétent dans la compétence Histoire et ajoutez le double de votre bonus de maîtrise au test, au lieu de votre bonus de maîtrise normal."
21,dwarf,Hill Dwarf,Languages,"You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak.",nain,Nain des collines,Langues,"Vous pouvez parler, lire et écrire le commun et le nain. Le nain est plein de consonnes dures et de sons gutturaux, et ces caractéristiques se retrouvent dans toute autre langue qu'un nain pourrait parler."
