,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,elf,elf,Ability Score Increase,Your Dexterity score increases by 2.,elfe,elfe,Augmentation du score de capacité,Votre score de Dextérité augmente de 2.
1,elf,elf,Age,"Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.",elfe,elfe,Âge,"Bien que les elfes atteignent la maturité physique à peu près au même âge que les humains, la conception elfique de l'âge adulte va au-delà de la croissance physique pour englober l'expérience du monde. Un elfe atteint généralement l'âge adulte et prend un nom d'adulte vers l'âge de 100 ans et peut vivre jusqu'à 750 ans."
2,elf,elf,Alignment,"Elves love freedom, variety, and self-expression, so they lean strongly toward the gentler aspects of chaos. They value and protect others’ freedom as well as their own, and they are more often good than not. The drow are an exception; their exile into the Underdark has made them vicious and dangerous. Drow are more often evil than not.",elfe,elfe,Alignement,"Les elfes aiment la liberté, la diversité et l'expression de soi, c'est pourquoi ils penchent fortement vers les aspects les plus doux du chaos. Ils valorisent et protègent la liberté des autres autant que la leur, et ils sont le plus souvent bons. Les drows sont une exception : leur exil dans l'Outreterre les a rendus vicieux et dangereux. Les drows sont le plus souvent mauvais."
3,elf,elf,Size,Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.,elfe,elfe,Taille,"Les elfes mesurent entre 1,50 m et 1,80 m et sont de corpulence élancée. Votre taille est M."
4,elf,elf,Speed,Your base walking speed is 30 feet.,elfe,elfe,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,elf,elf,Darkvision,"Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",elfe,elfe,Vision dans le noir,"Habitué aux forêts crépusculaires et au ciel nocturne, vous avez une vision supérieure dans l’obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s’il s’agissait d’une lumière vive, et dans l’obscurité comme s’il s’agissait d’une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l’obscurité, seulement les nuances de gris."
6,elf,elf,Keen Senses,You have proficiency in the Perception skill.,elfe,elfe,Sens aiguisés,Vous maîtrisez la compétence Perception.
7,elf,elf,Fey Ancestry,"You have advantage on saving throws against being charmed, and magic can’t put you to sleep.",elfe,elfe,Ascendance des fées,"Vous avez un avantage aux jets de sauvegarde contre les charmes, et la magie ne peut pas vous endormir."
8,elf,elf,Trance,"Elves don’t need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is “trance.”) While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.",elfe,elfe,Transe,"Les elfes n’ont pas besoin de dormir. Au lieu de cela, ils méditent profondément, en restant semi-conscients, pendant 4 heures par jour. (Le mot commun pour une telle méditation est « transe »). Pendant la méditation, vous pouvez rêver d’une certaine manière ; ces rêves sont en fait des exercices mentaux qui sont devenus réflexifs au fil des années de pratique. Après vous être reposé de cette manière, vous obtenez le même bénéfice qu’un humain en dormant 8 heures."
9,elf,elf,Languages,"You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.",elfe,elfe,Langues,"Vous pouvez parler, lire et écrire le commun et l'elfique. L'elfique est fluide, avec des intonations subtiles et une grammaire complexe. La littérature elfique est riche et variée, et leurs chants et poèmes sont célèbres parmi les autres races. De nombreux bardes apprennent leur langue afin de pouvoir ajouter des ballades elfiques à leur répertoire."
