,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,firbolg,firbolg,Ability Score Increase,"Your Strength score increases by 1, and your Wisdom score increases by 2.",firbolg,firbolg,Augmentation du score de capacité,Votre score de Force augmente de 1 et votre score de Sagesse augmente de 2.
1,firbolg,firbolg,Age,"As humanoids related to the fey, firbolg have long lifespans. A firbolg reaches adulthood around 30, and the oldest of them can live for 500 years.",firbolg,firbolg,Âge,"En tant qu'humanoïdes apparentés aux fées, les firbolgs ont une longue durée de vie. Un firbolg atteint l'âge adulte vers 30 ans, et les plus âgés d'entre eux peuvent vivre jusqu'à 500 ans."
2,firbolg,firbolg,Alignment,"As people who follow the rhythm of nature and see themselves as its caretakers, firbolg are typically neutral good. Evil firbolg are rare and are usually the sworn enemies of the rest of their kind.",firbolg,firbolg,Alignement,"En tant que peuple qui suit le rythme de la nature et se considère comme ses gardiens, les Firbolgs sont généralement neutres et bons. Les Firbolgs maléfiques sont rares et sont généralement les ennemis jurés du reste de leur espèce."
3,firbolg,firbolg,Size,"Firbolg are between 7 and 8 feet tall and weigh between 240 and 300 pounds. Your size is Medium. Your height is 6'2"" with a modifier of +2d12. Your weight is 175 lbs. with a modifier of +(height roll) x 2d6.",firbolg,firbolg,Taille,"Les Firbolgs mesurent entre 2,10 et 2,40 mètres et pèsent entre 119 et 146 kilos. Votre taille est M. Votre taille est de 1,88 m avec un modificateur de +2d12. Votre poids est de 79 kilos avec un modificateur de +(jet de taille) x 2d6."
4,firbolg,firbolg,Speed,Your base walking speed is 30 feet.,firbolg,firbolg,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,firbolg,firbolg,Firbolg Magic,"You can cast Detect Magic and Disguise Self with this trait, using Wisdom as your spellcasting ability for them. Once you cast either spell, you can't cast it again with this trait until you finish a short or long rest. When you use this version of Disguise Self, you can seem up to 3 feet shorter than normal, allowing you to more easily blend in with humans and elves.",firbolg,firbolg,Magie des Firbolgs,"Vous pouvez lancer Détection de la magie et Déguisement avec ce trait, en utilisant Sagesse comme capacité de lancement de sorts pour ces sorts. Une fois que vous avez lancé l'un de ces sorts, vous ne pouvez plus le lancer avec ce trait avant d'avoir terminé un repos court ou long. Lorsque vous utilisez cette version de Déguisement, vous pouvez sembler jusqu'à 90 cm plus petit que la normale, ce qui vous permet de vous fondre plus facilement parmi les humains et les elfes."
6,firbolg,firbolg,Hidden Step,"As a bonus action, you can magically turn invisible until the start of your next turn or until you attack, make a damage roll, or force someone to make a saving throw. Once you use this trait, you can't use it again until you finish a short or long rest.",firbolg,firbolg,Étape cachée,"En tant qu'action bonus, vous pouvez devenir invisible par magie jusqu'au début de votre prochain tour ou jusqu'à ce que vous attaquiez, effectuiez un jet de dégâts ou forciez quelqu'un à effectuer un jet de sauvegarde. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
7,firbolg,firbolg,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",firbolg,firbolg,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
8,firbolg,firbolg,Speech of Beast and Leaf,"You have the ability to communicate in a limited manner with beasts and plants. They can understand the meaning of your words, though you have no special ability to understand them in return. You have advantage on all Charisma checks you make to influence them.",firbolg,firbolg,Discours de la Bête et de la Feuille,"Vous avez la capacité de communiquer de manière limitée avec les animaux et les plantes. Ils peuvent comprendre le sens de vos paroles, mais vous n'avez aucune capacité spéciale pour les comprendre en retour. Vous bénéficiez d'un avantage sur tous les tests de Charisme que vous effectuez pour les influencer."
9,firbolg,firbolg,Languages,"You can speak, read, and write Common, Elvish, and Giant.",firbolg,firbolg,Langues,"Vous pouvez parler, lire et écrire le commun, l'elfique et le géant."
10,firbolg,Firbolg Adventurers,Ability Score Increase,"Your Strength score increases by 1, and your Wisdom score increases by 2.",firbolg,Les aventuriers de Firbolg,Augmentation du score de capacité,Votre score de Force augmente de 1 et votre score de Sagesse augmente de 2.
11,firbolg,Firbolg Adventurers,Age,"As humanoids related to the fey, firbolg have long lifespans. A firbolg reaches adulthood around 30, and the oldest of them can live for 500 years.",firbolg,Les aventuriers de Firbolg,Âge,"En tant qu'humanoïdes apparentés aux fées, les firbolgs ont une longue durée de vie. Un firbolg atteint l'âge adulte vers 30 ans, et les plus âgés d'entre eux peuvent vivre jusqu'à 500 ans."
12,firbolg,Firbolg Adventurers,Alignment,"As people who follow the rhythm of nature and see themselves as its caretakers, firbolg are typically neutral good. Evil firbolg are rare and are usually the sworn enemies of the rest of their kind.",firbolg,Les aventuriers de Firbolg,Alignement,"En tant que peuple qui suit le rythme de la nature et se considère comme ses gardiens, les Firbolgs sont généralement neutres et bons. Les Firbolgs maléfiques sont rares et sont généralement les ennemis jurés du reste de leur espèce."
13,firbolg,Firbolg Adventurers,Size,"Firbolg are between 7 and 8 feet tall and weigh between 240 and 300 pounds. Your size is Medium. Your height is 6'2"" with a modifier of +2d12. Your weight is 175 lbs. with a modifier of +(height roll) x 2d6.",firbolg,Les aventuriers de Firbolg,Taille,"Les Firbolgs mesurent entre 2,10 et 2,40 mètres et pèsent entre 119 et 146 kilos. Votre taille est M. Votre taille est de 1,88 m avec un modificateur de +2d12. Votre poids est de 79 kilos avec un modificateur de +(jet de taille) x 2d6."
14,firbolg,Firbolg Adventurers,Speed,Your base walking speed is 30 feet.,firbolg,Les aventuriers de Firbolg,Vitesse,Votre vitesse de marche de base est de 30 pieds.
15,firbolg,Firbolg Adventurers,Firbolg Magic,"You can cast Detect Magic and Disguise Self with this trait, using Wisdom as your spellcasting ability for them. Once you cast either spell, you can't cast it again with this trait until you finish a short or long rest. When you use this version of Disguise Self, you can seem up to 3 feet shorter than normal, allowing you to more easily blend in with humans and elves.",firbolg,Les aventuriers de Firbolg,Magie des Firbolgs,"Vous pouvez lancer Détection de la magie et Déguisement avec ce trait, en utilisant Sagesse comme capacité de lancement de sorts pour ces sorts. Une fois que vous avez lancé l'un de ces sorts, vous ne pouvez plus le lancer avec ce trait avant d'avoir terminé un repos court ou long. Lorsque vous utilisez cette version de Déguisement, vous pouvez sembler jusqu'à 90 cm plus petit que la normale, ce qui vous permet de vous fondre plus facilement parmi les humains et les elfes."
16,firbolg,Firbolg Adventurers,Hidden Step,"As a bonus action, you can magically turn invisible until the start of your next turn or until you attack, make a damage roll, or force someone to make a saving throw. Once you use this trait, you can't use it again until you finish a short or long rest.",firbolg,Les aventuriers de Firbolg,Étape cachée,"En tant qu'action bonus, vous pouvez devenir invisible par magie jusqu'au début de votre prochain tour ou jusqu'à ce que vous attaquiez, effectuiez un jet de dégâts ou forciez quelqu'un à effectuer un jet de sauvegarde. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
17,firbolg,Firbolg Adventurers,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",firbolg,Les aventuriers de Firbolg,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
18,firbolg,Firbolg Adventurers,Speech of Beast and Leaf,"You have the ability to communicate in a limited manner with beasts and plants. They can understand the meaning of your words, though you have no special ability to understand them in return. You have advantage on all Charisma checks you make to influence them.",firbolg,Les aventuriers de Firbolg,Discours de la Bête et de la Feuille,"Vous avez la capacité de communiquer de manière limitée avec les animaux et les plantes. Ils peuvent comprendre le sens de vos paroles, mais vous n'avez aucune capacité spéciale pour les comprendre en retour. Vous bénéficiez d'un avantage sur tous les tests de Charisme que vous effectuez pour les influencer."
19,firbolg,Firbolg Adventurers,Languages,"You can speak, read, and write Common, Elvish, and Giant.",firbolg,Les aventuriers de Firbolg,Langues,"Vous pouvez parler, lire et écrire le commun, l'elfique et le géant."
