,race,subrace,section,content
0,gallus,gallus,Ability Score Increase,Your Wisdom score increases by 2.
1,gallus,gallus,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years."
2,gallus,gallus,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others."
3,gallus,gallus,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium."
4,gallus,gallus,Speed,Your base walking speed is 30 feet.
5,gallus,gallus,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
6,gallus,gallus,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
7,gallus,gallus,Communal,"Whenever you make an Intelligence (History) check related to the history of your race, culture, or community, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus."
8,gallus,gallus,Militia Training,You have proficiency in simple weapons.
9,gallus,gallus,Of the People,"You gain proficiency with the artisan tools of your choice: brewer’s supplies, carpenter’s tools, or smith’s tools."
10,gallus,gallus,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally."
11,gallus,gallus,Subrace,There are two main subraces of gallus: bright and huden. Choose one of these subraces.
12,gallus,A Varied Folk,Ability Score Increase,Your Wisdom score increases by 2.
13,gallus,A Varied Folk,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years."
14,gallus,A Varied Folk,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others."
15,gallus,A Varied Folk,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium."
16,gallus,A Varied Folk,Speed,Your base walking speed is 30 feet.
17,gallus,A Varied Folk,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
18,gallus,A Varied Folk,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
19,gallus,A Varied Folk,Communal,"Whenever you make an Intelligence (History) check related to the history of your race, culture, or community, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus."
20,gallus,A Varied Folk,Militia Training,You have proficiency in simple weapons.
21,gallus,A Varied Folk,Of the People,"You gain proficiency with the artisan tools of your choice: brewer’s supplies, carpenter’s tools, or smith’s tools."
22,gallus,A Varied Folk,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally."
23,gallus,A Varied Folk,Subrace,There are two main subraces of gallus: bright and huden. Choose one of these subraces.
24,gallus,Bright Gallus,Ability Score Increase,Your Charisma score increases by 1.
25,gallus,Bright Gallus,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years."
26,gallus,Bright Gallus,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others."
27,gallus,Bright Gallus,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium."
28,gallus,Bright Gallus,Speed,Your base walking speed is 30 feet.
29,gallus,Bright Gallus,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
30,gallus,Bright Gallus,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
31,gallus,Bright Gallus,Communal,"Whenever you make an Intelligence (History) check related to the history of your race, culture, or community, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus."
