,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,gallus,gallus,Ability Score Increase,Your Wisdom score increases by 2.,gallus,gallus,Augmentation du score de capacité,Votre score de Sagesse augmente de 2.
1,gallus,gallus,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years.",gallus,gallus,Âge,"Bien que les âges fluctuent, les gallus atteignent la maturité vers 18 ans et peuvent vivre entre 70 et 100 ans."
2,gallus,gallus,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others.",gallus,gallus,Alignement,"La plupart des gallus sont des gens honnêtes et bons. Ce sont des gens terre-à-terre qui croient en la justice, à la valeur du travail acharné et à l'importance du respect des autres."
3,gallus,gallus,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium.",gallus,gallus,Taille,"Les Gallus sont les plus variés des oiseaux, mesurant entre 1,20 m et 1,50 m de haut, et présentant de nombreuses morphologies uniques. La variété de formes et de tailles signifie qu'ils englobent également une variété de poids, mais la plupart pèsent en moyenne environ 40 kg. Votre taille est M."
4,gallus,gallus,Speed,Your base walking speed is 30 feet.,gallus,gallus,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,gallus,gallus,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",gallus,gallus,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
6,gallus,gallus,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding.",gallus,gallus,Volet d'aile,"En tant qu'action bonus, vous pouvez utiliser vos puissants bras à plumes pour vous propulser vers le haut sur une distance égale à la moitié de votre vitesse de déplacement. Vous pouvez l'utiliser en conjonction avec un saut normal, mais pas en planant."
7,gallus,gallus,Communal,"Whenever you make an Intelligence (History) check related to the history of your race, culture, or community, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.",gallus,gallus,Communautaire,"Chaque fois que vous effectuez un test d'Intelligence (Histoire) lié à l'histoire de votre race, culture ou communauté, vous êtes considéré comme compétent dans la compétence Histoire et ajoutez le double de votre bonus de maîtrise au test, au lieu de votre bonus de maîtrise normal."
8,gallus,gallus,Militia Training,You have proficiency in simple weapons.,gallus,gallus,Formation de la milice,Vous maîtrisez les armes simples.
9,gallus,gallus,Of the People,"You gain proficiency with the artisan tools of your choice: brewer’s supplies, carpenter’s tools, or smith’s tools.",gallus,gallus,Du peuple,"Vous acquérez des compétences avec les outils artisanaux de votre choix : fournitures de brasseur, outils de menuisier ou outils de forgeron."
10,gallus,gallus,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",gallus,gallus,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
11,gallus,gallus,Subrace,There are two main subraces of gallus: bright and huden. Choose one of these subraces.,gallus,gallus,Sous-race,Il existe deux sous-races principales de gallus : les brillants et les huden. Choisissez l'une de ces sous-races.
12,gallus,A Varied Folk,Ability Score Increase,Your Wisdom score increases by 2.,gallus,Un peuple varié,Augmentation du score de capacité,Votre score de Sagesse augmente de 2.
13,gallus,A Varied Folk,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years.",gallus,Un peuple varié,Âge,"Bien que les âges fluctuent, les gallus atteignent la maturité vers 18 ans et peuvent vivre entre 70 et 100 ans."
14,gallus,A Varied Folk,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others.",gallus,Un peuple varié,Alignement,"La plupart des gallus sont des gens honnêtes et bons. Ce sont des gens terre-à-terre qui croient en la justice, à la valeur du travail acharné et à l'importance du respect des autres."
15,gallus,A Varied Folk,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium.",gallus,Un peuple varié,Taille,"Les Gallus sont les plus variés des oiseaux de proie, mesurant entre 1,20 m et 1,50 m de haut, et présentant de nombreuses morphologies uniques. La variété de formes et de tailles signifie qu'ils englobent également une variété de poids, mais la plupart pèsent en moyenne environ 40 kg. Votre taille est M."
16,gallus,A Varied Folk,Speed,Your base walking speed is 30 feet.,gallus,Un peuple varié,Vitesse,Votre vitesse de marche de base est de 30 pieds.
17,gallus,A Varied Folk,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",gallus,Un peuple varié,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
18,gallus,A Varied Folk,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding.",gallus,Un peuple varié,Volet d'aile,"En tant qu'action bonus, vous pouvez utiliser vos puissants bras à plumes pour vous propulser vers le haut sur une distance égale à la moitié de votre vitesse de déplacement. Vous pouvez l'utiliser en conjonction avec un saut normal, mais pas en planant."
19,gallus,A Varied Folk,Communal,"Whenever you make an Intelligence (History) check related to the history of your race, culture, or community, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.",gallus,Un peuple varié,Communautaire,"Chaque fois que vous effectuez un test d'Intelligence (Histoire) lié à l'histoire de votre race, culture ou communauté, vous êtes considéré comme compétent dans la compétence Histoire et ajoutez le double de votre bonus de maîtrise au test, au lieu de votre bonus de maîtrise normal."
20,gallus,A Varied Folk,Militia Training,You have proficiency in simple weapons.,gallus,Un peuple varié,Formation de la milice,Vous maîtrisez les armes simples.
21,gallus,A Varied Folk,Of the People,"You gain proficiency with the artisan tools of your choice: brewer’s supplies, carpenter’s tools, or smith’s tools.",gallus,Un peuple varié,Du peuple,"Vous acquérez des compétences avec les outils artisanaux de votre choix : fournitures de brasseur, outils de menuisier ou outils de forgeron."
22,gallus,A Varied Folk,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",gallus,Un peuple varié,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
23,gallus,A Varied Folk,Subrace,There are two main subraces of gallus: bright and huden. Choose one of these subraces.,gallus,Un peuple varié,Sous-race,Il existe deux sous-races principales de gallus : les brillants et les huden. Choisissez l'une de ces sous-races.
24,gallus,Bright Gallus,Ability Score Increase,Your Charisma score increases by 1.,gallus,Gallus brillant,Augmentation du score de capacité,Votre score de Charisme augmente de 1.
25,gallus,Bright Gallus,Age,"While ages fluctuate, gallus reach maturity around 18 and can live anywhere between 70 and 100 years.",gallus,Gallus brillant,Âge,"Bien que les âges fluctuent, les gallus atteignent la maturité vers 18 ans et peuvent vivre entre 70 et 100 ans."
26,gallus,Bright Gallus,Alignment,"Most gallus are lawful good. They are a salt-ofthe-earth sort of folk who believe in justice, the value of hard work, and the importance of respecting others.",gallus,Gallus brillant,Alignement,"La plupart des gallus sont des gens honnêtes et bons. Ce sont des gens terre-à-terre qui croient en la justice, à la valeur du travail acharné et à l'importance du respect des autres."
27,gallus,Bright Gallus,Size,"Gallus are the most varied of the birdfolk races, ranging from just under 4 feet to just over 5 feet tall, and showing many unique builds. The variety of shapes and sizes means they also encompass a variety of weights, but most average around 90 pounds. Your size is Medium.",gallus,Gallus brillant,Taille,"Les Gallus sont les plus variés des oiseaux de proie, mesurant entre 1,20 m et 1,50 m de haut, et présentant de nombreuses morphologies uniques. La variété de formes et de tailles signifie qu'ils englobent également une variété de poids, mais la plupart pèsent en moyenne environ 40 kg. Votre taille est M."
28,gallus,Bright Gallus,Speed,Your base walking speed is 30 feet.,gallus,Gallus brillant,Vitesse,Votre vitesse de marche de base est de 30 pieds.
29,gallus,Bright Gallus,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",gallus,Gallus brillant,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
