,race,subrace,section,content
0,gith,gith,Ability Score Increase,Your Intelligence score increases by 1.
1,gith,gith,Age,Gith reach adulthood in their late teens and live for about a century.
2,gith,gith,Size,"Gith are taller and leaner than humans, with most a slender 6 feet in height."
3,gith,gith,Speed,Your base walking speed is 30 feet.
4,gith,gith,Languages,"You can speak, read, and write Common and Gith."
5,gith,gith,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces."
6,gith,Githyanki,Ability Score Increase,Your Intelligence score increases by 1.
7,gith,Githyanki,Age,Gith reach adulthood in their late teens and live for about a century.
8,gith,Githyanki,Size,"Your height is 5'0"" with a modifier of +2d12. Your weight is 100 lbs. with a modifier of +(height roll) x 2d4."
9,gith,Githyanki,Speed,Your base walking speed is 30 feet.
10,gith,Githyanki,Languages,"You can speak, read, and write Common and Gith."
11,gith,Githyanki,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces."
12,gith,Githyanki,Ability Score Improvement,Your Strength score increases by 2.
13,gith,Githyanki,Alignment,"Githyanki tend toward lawful evil. They are aggressive and arrogant, and they remain the faithful servants of their lich-queen, Vlaakith. Renegade githyanki tend toward chaos."
14,gith,Githyanki,Decadent Mastery,"You learn one language of your choice, and you are proficient with one skill or tool of your choice. In the timeless city of Tu'narath, githyanki have bountiful time to master odd bits of knowledge."
15,gith,Githyanki,Martial Prodigy,"You are proficient with light and medium armor and with shortswords, longswords, and greatswords."
16,gith,Githyanki,Githyanki Psionics,"You know the Mage Hand cantrip, and the hand is invisible when you cast the cantrip with this trait.
When you reach 3rd level, you can cast Jump once with this trait, and you regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Misty Step spell once with this trait, and you regain the ability to do so when you finish a long rest."
17,gith,Githzerai,Ability Score Increase,Your Intelligence score increases by 1.
18,gith,Githzerai,Age,Gith reach adulthood in their late teens and live for about a century.
19,gith,Githzerai,Size,"Your height is 4'11"" with a modifier of +2d12. Your weight is 90 lbs. with a modifier of +(height roll) x 1d4."
20,gith,Githzerai,Speed,Your base walking speed is 30 feet.
21,gith,Githzerai,Languages,"You can speak, read, and write Common and Gith."
22,gith,Githzerai,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces."
23,gith,Githzerai,Ability Score Improvement,Your Wisdom score increases by 2.
24,gith,Githzerai,Alignment,Githzerai tend toward lawful neutral. Their rigorous training in psychic abilities requires an implacable mental discipline.
25,gith,Githzerai,Decadent Mastery,"You learn one language of your choice, and you are proficient with one skill or tool of your choice. In the timeless city of Tu'narath, githyanki have bountiful time to master odd bits of knowledge."
26,gith,Githzerai,Martial Prodigy,"You are proficient with light and medium armor and with shortswords, longswords, and greatswords."
27,gith,Githzerai,Githyanki Psionics,"You know the Mage Hand cantrip, and the hand is invisible when you cast the cantrip with this trait.
When you reach 3rd level, you can cast Jump once with this trait, and you regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Misty Step spell once with this trait, and you regain the ability to do so when you finish a long rest."
28,gith,Githzerai,Mental Discipline,"You have advantage on saving throws against the charmed and frightened conditions. Under the tutelage of monastic masters, githzerai learn to govern their own minds."
29,gith,Githzerai,Githzerai Psionics,"You know the Mage Hand cantrip, and the hand is invisible when you cast the cantrip with this trait."
30,gith,Githyanki MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
31,gith,Githyanki MPMM,Age,Gith reach adulthood in their late teens and live for about a century.
32,gith,Githyanki MPMM,Size,Medium
33,gith,Githyanki MPMM,Speed,30 ft.
34,gith,Githyanki MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
35,gith,Githyanki MPMM,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces."
36,gith,Githyanki MPMM,Ability Score Improvement,Your Wisdom score increases by 2.
37,gith,Githyanki MPMM,Alignment,Githzerai tend toward lawful neutral. Their rigorous training in psychic abilities requires an implacable mental discipline.
38,gith,Githyanki MPMM,Decadent Mastery,"You learn one language of your choice, and you are proficient with one skill or tool of your choice. In the timeless city of Tu'narath, githyanki have bountiful time to master odd bits of knowledge."
39,gith,Githyanki MPMM,Martial Prodigy,"You are proficient with light and medium armor and with shortswords, longswords, and greatswords."
40,gith,Githyanki MPMM,Githyanki Psionics,"You know the Mage Hand cantrip, and the hand is invisible when you cast the cantrip with this trait."
41,gith,Githyanki MPMM,Mental Discipline,"You have advantage on saving throws against the charmed and frightened conditions. Under the tutelage of monastic masters, githzerai learn to govern their own minds."
42,gith,Githyanki MPMM,Githzerai Psionics,"You know the Mage Hand cantrip, and the hand is invisible when you cast the cantrip with this trait."
