,race,subrace,section,content
0,gnome,gnome,Ability Score Increase,Your Intelligence score increases by 2.
1,gnome,gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years."
2,gnome,gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious."
3,gnome,gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.
4,gnome,gnome,Speed,Your base walking speed is 25 feet.
5,gnome,gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
6,gnome,gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic."
7,gnome,gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world."
8,gnome,Forest Gnome,Ability Score Increase,Your Dexterity score increases by 1.
9,gnome,Forest Gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years."
10,gnome,Forest Gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious."
11,gnome,Forest Gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.
12,gnome,Forest Gnome,Speed,Your base walking speed is 25 feet.
13,gnome,Forest Gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
14,gnome,Forest Gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic."
15,gnome,Forest Gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world."
16,gnome,Forest Gnome,Natural Illusionist,You know the Minor Illusion cantrip. Intelligence is your spellcasting modifier for it.
17,gnome,Forest Gnome,Speak with Small Beasts,"Through sound and gestures, you may communicate simple ideas with Small or smaller beasts."
18,gnome,Rock Gnome,Ability Score Increase,Your Constitution score increases by 1.
19,gnome,Rock Gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years."
20,gnome,Rock Gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious."
21,gnome,Rock Gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.
22,gnome,Rock Gnome,Speed,Your base walking speed is 25 feet.
23,gnome,Rock Gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
24,gnome,Rock Gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic."
25,gnome,Rock Gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world."
26,gnome,Rock Gnome,Natural Illusionist,You know the Minor Illusion cantrip. Intelligence is your spellcasting modifier for it.
27,gnome,Rock Gnome,Speak with Small Beasts,"Through sound and gestures, you may communicate simple ideas with Small or smaller beasts."
28,gnome,Rock Gnome,Artificer’s Lore,"Whenever you make an Intelligence (History) check related to magic items, alchemical objects, or technological devices, you can add twice your proficiency bonus, instead of any proficiency bonus you normally apply."
29,gnome,Rock Gnome,Tinker,"You have proficiency with artisan’s tools (tinker’s tools). Using those tools, you can spend 1 hour and 10 gp worth of materials to construct a Tiny clockwork device (AC 5, 1 hp). The device ceases to function after 24 hours (unless you spend 1 hour repairing it to keep the device functioning), or when you use your action to dismantle it; at that time, you can reclaim the materials used to create it. You can have up to three such devices active at a time."
30,gnome,Rock Gnome,"Music Box. When opened, this music box plays a single song at a moderate volume.",The box stops playing when it reaches the song’s end or when it is closed.
31,gnome,Born of Deep Earth,Ability Score Increase,Your Constitution score increases by 1.
32,gnome,Born of Deep Earth,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years."
33,gnome,Born of Deep Earth,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious."
34,gnome,Born of Deep Earth,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.
35,gnome,Born of Deep Earth,Speed,Your base walking speed is 25 feet.
36,gnome,Born of Deep Earth,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
37,gnome,Born of Deep Earth,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic."
38,gnome,Born of Deep Earth,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world."
39,gnome,Born of Deep Earth,Natural Illusionist,You know the Minor Illusion cantrip. Intelligence is your spellcasting modifier for it.
40,gnome,Born of Deep Earth,Speak with Small Beasts,"Through sound and gestures, you may communicate simple ideas with Small or smaller beasts."
41,gnome,Born of Deep Earth,Artificer’s Lore,"Whenever you make an Intelligence (History) check related to magic items, alchemical objects, or technological devices, you can add twice your proficiency bonus, instead of any proficiency bonus you normally apply."
42,gnome,Born of Deep Earth,Tinker,"You have proficiency with artisan’s tools (tinker’s tools). Using those tools, you can spend 1 hour and 10 gp worth of materials to construct a Tiny clockwork device (AC 5, 1 hp). The device ceases to function after 24 hours (unless you spend 1 hour repairing it to keep the device functioning), or when you use your action to dismantle it; at that time, you can reclaim the materials used to create it. You can have up to three such devices active at a time."
43,gnome,Born of Deep Earth,"Music Box. When opened, this music box plays a single song at a moderate volume.",The box stops playing when it reaches the song’s end or when it is closed.
44,gnome,Master Miners,Ability Score Increase,Your Constitution score increases by 1.
45,gnome,Master Miners,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years."
46,gnome,Master Miners,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious."
47,gnome,Master Miners,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.
48,gnome,Master Miners,Speed,Your base walking speed is 25 feet.
