,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,gnome,gnome,Ability Score Increase,Your Intelligence score increases by 2.,gnome,gnome,Augmentation du score de capacité,Votre score d'intelligence augmente de 2.
1,gnome,gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years.",gnome,gnome,Âge,"Les gnomes mûrissent au même rythme que les humains, et la plupart d'entre eux devraient atteindre la vie adulte vers l'âge de 40 ans. Ils peuvent vivre de 350 à près de 500 ans."
2,gnome,gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious.",gnome,gnome,Alignement,"Les gnomes sont généralement bons. Ceux qui ont tendance à suivre la loi sont des sages, des ingénieurs, des chercheurs, des érudits, des enquêteurs ou des inventeurs. Ceux qui ont tendance à se tourner vers le chaos sont des ménestrels, des filous, des vagabonds ou des bijoutiers fantaisistes. Les gnomes ont bon cœur, et même les filous parmi eux sont plus joueurs que vicieux."
3,gnome,gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.,gnome,gnome,Taille,Les nains mesurent entre 3 et 4 pieds de haut et pèsent en moyenne environ 40 livres. Votre taille est S.
4,gnome,gnome,Speed,Your base walking speed is 25 feet.,gnome,gnome,Vitesse,Votre vitesse de marche de base est de 25 pieds.
5,gnome,gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",gnome,gnome,Vision dans le noir,"Habitué à la vie sous terre, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,gnome,gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic.",gnome,gnome,La ruse des gnomes,"Vous bénéficiez d'un avantage sur tous les jets de sauvegarde d'Intelligence, de Sagesse et de Charisme contre la magie."
7,gnome,gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world.",gnome,gnome,Langues,"Vous pouvez parler, lire et écrire le commun et le gnome. La langue gnomique, qui utilise l'écriture naine, est réputée pour ses traités techniques et ses catalogues de connaissances sur le monde naturel."
8,gnome,Forest Gnome,Ability Score Increase,Your Dexterity score increases by 1.,gnome,Gnome de la forêt,Augmentation du score de capacité,Votre score de Dextérité augmente de 1.
9,gnome,Forest Gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years.",gnome,Gnome de la forêt,Âge,"Les gnomes mûrissent au même rythme que les humains, et la plupart d'entre eux devraient atteindre la vie adulte vers l'âge de 40 ans. Ils peuvent vivre de 350 à près de 500 ans."
10,gnome,Forest Gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious.",gnome,Gnome de la forêt,Alignement,"Les gnomes sont généralement bons. Ceux qui ont tendance à suivre la loi sont des sages, des ingénieurs, des chercheurs, des érudits, des enquêteurs ou des inventeurs. Ceux qui ont tendance à se tourner vers le chaos sont des ménestrels, des filous, des vagabonds ou des bijoutiers fantaisistes. Les gnomes ont bon cœur, et même les filous parmi eux sont plus joueurs que vicieux."
11,gnome,Forest Gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.,gnome,Gnome de la forêt,Taille,Les nains mesurent entre 3 et 4 pieds de haut et pèsent en moyenne environ 40 livres. Votre taille est S.
12,gnome,Forest Gnome,Speed,Your base walking speed is 25 feet.,gnome,Gnome de la forêt,Vitesse,Votre vitesse de marche de base est de 25 pieds.
13,gnome,Forest Gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",gnome,Gnome de la forêt,Vision dans le noir,"Habitué à la vie sous terre, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
14,gnome,Forest Gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic.",gnome,Gnome de la forêt,La ruse des gnomes,"Vous bénéficiez d'un avantage sur tous les jets de sauvegarde d'Intelligence, de Sagesse et de Charisme contre la magie."
15,gnome,Forest Gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world.",gnome,Gnome de la forêt,Langues,"Vous pouvez parler, lire et écrire le commun et le gnome. La langue gnomique, qui utilise l'écriture naine, est réputée pour ses traités techniques et ses catalogues de connaissances sur le monde naturel."
16,gnome,Forest Gnome,Natural Illusionist,You know the Minor Illusion cantrip. Intelligence is your spellcasting modifier for it.,gnome,Gnome de la forêt,Illusionniste naturel,Vous connaissez le sort mineur Illusion. L'intelligence est votre modificateur d'incantation pour ce sort.
17,gnome,Forest Gnome,Speak with Small Beasts,"Through sound and gestures, you may communicate simple ideas with Small or smaller beasts.",gnome,Gnome de la forêt,Parlez aux petites bêtes,"Par le son et les gestes, vous pouvez communiquer des idées simples à des bêtes de petite taille ou plus petites."
18,gnome,Rock Gnome,Ability Score Increase,Your Constitution score increases by 1.,gnome,Gnome de roche,Augmentation du score de capacité,Votre score de Constitution augmente de 1.
19,gnome,Rock Gnome,Age,"Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years.",gnome,Gnome de roche,Âge,"Les gnomes mûrissent au même rythme que les humains, et la plupart d'entre eux devraient atteindre la vie adulte vers l'âge de 40 ans. Ils peuvent vivre de 350 à près de 500 ans."
20,gnome,Rock Gnome,Alignment,"Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than vicious.",gnome,Gnome de roche,Alignement,"Les gnomes sont généralement bons. Ceux qui ont tendance à suivre la loi sont des sages, des ingénieurs, des chercheurs, des érudits, des enquêteurs ou des inventeurs. Ceux qui ont tendance à se tourner vers le chaos sont des ménestrels, des filous, des vagabonds ou des bijoutiers fantaisistes. Les gnomes ont bon cœur, et même les filous parmi eux sont plus joueurs que vicieux."
21,gnome,Rock Gnome,Size,Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.,gnome,Gnome de roche,Taille,Les nains mesurent entre 3 et 4 pieds de haut et pèsent en moyenne environ 40 livres. Votre taille est S.
22,gnome,Rock Gnome,Speed,Your base walking speed is 25 feet.,gnome,Gnome de roche,Vitesse,Votre vitesse de marche de base est de 25 pieds.
23,gnome,Rock Gnome,Darkvision,"Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",gnome,Gnome de roche,Vision dans le noir,"Habitué à la vie sous terre, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
24,gnome,Rock Gnome,Gnome Cunning,"You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic.",gnome,Gnome de roche,La ruse des gnomes,"Vous bénéficiez d'un avantage sur tous les jets de sauvegarde d'Intelligence, de Sagesse et de Charisme contre la magie."
25,gnome,Rock Gnome,Languages,"You can speak, read, and write Common and Gnomish. The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world.",gnome,Gnome de roche,Langues,"Vous pouvez parler, lire et écrire le commun et le gnome. La langue gnomique, qui utilise l'écriture naine, est réputée pour ses traités techniques et ses catalogues de connaissances sur le monde naturel."
26,gnome,Rock Gnome,Natural Illusionist,You know the Minor Illusion cantrip. Intelligence is your spellcasting modifier for it.,gnome,Gnome de roche,Illusionniste naturel,Vous connaissez le sort mineur Illusion. L'intelligence est votre modificateur d'incantation pour ce sort.
27,gnome,Rock Gnome,Speak with Small Beasts,"Through sound and gestures, you may communicate simple ideas with Small or smaller beasts.",gnome,Gnome de roche,Parlez aux petites bêtes,"Par le son et les gestes, vous pouvez communiquer des idées simples à des bêtes de petite taille ou plus petites."
