,race,subrace,section,content
0,goblin,goblin,Ability Score Increase,"Your Dexterity score increases by 2, and your Constitution score increases by 1."
1,goblin,goblin,Age,Goblins reach adulthood at age 8 and live up to 60 years.
2,goblin,goblin,Alignment,"Goblins are typically neutral evil, as they care only for their own needs. A few goblins might tend toward good or neutrality, but only rarely."
3,goblin,goblin,Size,Goblins are between 3 and 4 feet tall and weigh between 40 and 80 pounds. Your size is Small.
4,goblin,goblin,Speed,Your base walking speed is 30 feet.
5,goblin,goblin,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
6,goblin,goblin,Fury of the Small,"When you damage a creature with an attack or a spell and the creature's size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your level. Once you use this trait, you can't use it again until you finish a short or long rest."
7,goblin,goblin,Nimble Escape,You can take the Disengage or Hide action as a bonus action on each of your turns.
8,goblin,goblin,Languages,"You can speak, read, and write Common and Goblin."
9,goblin,Goblin MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
10,goblin,Goblin MPMM,Age,Goblins reach adulthood at age 8 and live up to 60 years.
11,goblin,Goblin MPMM,Alignment,"Goblins are typically neutral evil, as they care only for their own needs. A few goblins might tend toward good or neutrality, but only rarely."
12,goblin,Goblin MPMM,Size,Small
13,goblin,Goblin MPMM,Speed,30 ft.
14,goblin,Goblin MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were in dim light. You discern colors in that darkness only as shades of gray.
15,goblin,Goblin MPMM,Fury of the Small,"When you damage a creature with an attack or a spell and the creature's size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your proficiency bonus."
16,goblin,Goblin MPMM,Nimble Escape,You can take the Disengage or Hide action as a bonus action on each of your turns.
17,goblin,Goblin MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
18,goblin,Goblin MPMM,Creature Type,You are a Humanoid. You are also considered a goblinoid for any prerequisite or effect that requires you to be a goblinoid.
19,goblin,Goblin MPMM,Fey Ancestry,You have advantage on saving throws you make to avoid or end the charmed condition on yourself.
