,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,goblin,goblin,Ability Score Increase,"Your Dexterity score increases by 2, and your Constitution score increases by 1.",lutin,lutin,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Constitution augmente de 1.
1,goblin,goblin,Age,Goblins reach adulthood at age 8 and live up to 60 years.,lutin,lutin,Âge,Les gobelins atteignent l'âge adulte à 8 ans et vivent jusqu'à 60 ans.
2,goblin,goblin,Alignment,"Goblins are typically neutral evil, as they care only for their own needs. A few goblins might tend toward good or neutrality, but only rarely.",lutin,lutin,Alignement,"Les gobelins sont généralement neutres et mauvais, car ils ne se soucient que de leurs propres besoins. Quelques gobelins peuvent avoir tendance à être bons ou neutres, mais très rarement."
3,goblin,goblin,Size,Goblins are between 3 and 4 feet tall and weigh between 40 and 80 pounds. Your size is Small.,lutin,lutin,Taille,Les gobelins mesurent entre 3 et 4 pieds de haut et pèsent entre 40 et 80 livres. Votre taille est petite.
4,goblin,goblin,Speed,Your base walking speed is 30 feet.,lutin,lutin,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,goblin,goblin,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",lutin,lutin,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,goblin,goblin,Fury of the Small,"When you damage a creature with an attack or a spell and the creature's size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your level. Once you use this trait, you can't use it again until you finish a short or long rest.",lutin,lutin,La fureur du petit,"Lorsque vous blessez une créature avec une attaque ou un sort et que la taille de la créature est supérieure à la vôtre, vous pouvez faire en sorte que l'attaque ou le sort inflige des dégâts supplémentaires à la créature. Les dégâts supplémentaires sont égaux à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
7,goblin,goblin,Nimble Escape,You can take the Disengage or Hide action as a bonus action on each of your turns.,lutin,lutin,Évasion agile,Vous pouvez effectuer l'action Se désengager ou Se cacher comme action bonus à chacun de vos tours.
8,goblin,goblin,Languages,"You can speak, read, and write Common and Goblin.",lutin,lutin,Langues,"Vous pouvez parler, lire et écrire le commun et le gobelin."
9,goblin,Goblin MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",lutin,Gobelin MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
10,goblin,Goblin MPMM,Age,Goblins reach adulthood at age 8 and live up to 60 years.,lutin,Gobelin MPMM,Âge,Les gobelins atteignent l'âge adulte à 8 ans et vivent jusqu'à 60 ans.
11,goblin,Goblin MPMM,Alignment,"Goblins are typically neutral evil, as they care only for their own needs. A few goblins might tend toward good or neutrality, but only rarely.",lutin,Gobelin MPMM,Alignement,"Les gobelins sont généralement neutres et mauvais, car ils ne se soucient que de leurs propres besoins. Quelques gobelins peuvent avoir tendance à être bons ou neutres, mais très rarement."
12,goblin,Goblin MPMM,Size,Small,lutin,Gobelin MPMM,Taille,Petit
13,goblin,Goblin MPMM,Speed,30 ft.,lutin,Gobelin MPMM,Vitesse,30 pieds
14,goblin,Goblin MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were in dim light. You discern colors in that darkness only as shades of gray.,lutin,Gobelin MPMM,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une faible lumière. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris."
15,goblin,Goblin MPMM,Fury of the Small,"When you damage a creature with an attack or a spell and the creature's size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your proficiency bonus.",lutin,Gobelin MPMM,La fureur du petit,"Lorsque vous blessez une créature avec une attaque ou un sort et que la taille de la créature est supérieure à la vôtre, vous pouvez faire en sorte que l'attaque ou le sort inflige des dégâts supplémentaires à la créature. Les dégâts supplémentaires sont égaux à votre bonus de maîtrise."
16,goblin,Goblin MPMM,Nimble Escape,You can take the Disengage or Hide action as a bonus action on each of your turns.,lutin,Gobelin MPMM,Évasion agile,Vous pouvez effectuer l'action Se désengager ou Se cacher comme action bonus à chacun de vos tours.
17,goblin,Goblin MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",lutin,Gobelin MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
18,goblin,Goblin MPMM,Creature Type,You are a Humanoid. You are also considered a goblinoid for any prerequisite or effect that requires you to be a goblinoid.,lutin,Gobelin MPMM,Type de créature,Vous êtes un humanoïde. Vous êtes également considéré comme un gobelinoïde pour tout prérequis ou effet qui nécessite que vous soyez un gobelinoïde.
19,goblin,Goblin MPMM,Fey Ancestry,You have advantage on saving throws you make to avoid or end the charmed condition on yourself.,lutin,Gobelin MPMM,Ascendance des fées,Vous bénéficiez d'un avantage sur les jets de sauvegarde que vous effectuez pour éviter ou mettre fin à l'état charmé sur vous-même.
