,race,subrace,section,content
0,goliath,goliath,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
1,goliath,goliath,Age,Goliaths have lifespans comparable to humans. They enter adulthood in their late teens and usually live less than a century.
2,goliath,goliath,Alignment,"Goliath society, with its clear roles and tasks, has a strong lawful bent. The goliath sense of fairness, balanced with an emphasis on self sufficiency and personal accountability, pushes them toward neutrality."
3,goliath,goliath,Size,"Goliaths are between 7 and 8 feet tall and weigh between 280 and 340 pounds. Your size is Medium. Your height is 6'2"" with a modifier of +2d10. Your weight is 200 lbs. with a modifier of +(height roll) x 2d6."
4,goliath,goliath,Speed,Your base walking speed is 30 feet.
5,goliath,goliath,Natural Athlete,You have proficiency in the Athletics skill.
6,goliath,goliath,Stone's Endurance,"You can focus yourself to occasionally shrug off injury. When you take damage, you can use your reaction to roll a d12. Add your Constitution modifier to the number rolled, and reduce the damage by that total. After you use this trait, you can't use it again until you finish a short or long rest."
7,goliath,goliath,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift."
8,goliath,goliath,Mountain Born,"You're acclimated to high altitude, including elevations above 20,000 feet. You're also naturally adapted to cold climates, as described in chapter 5 of the Dungeon Master's Guide."
9,goliath,goliath,Languages,"You can speak, read, and write Common and Giant."
10,goliath,Goliath MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
11,goliath,Goliath MPMM,Age,Goliaths have lifespans comparable to humans. They enter adulthood in their late teens and usually live less than a century.
12,goliath,Goliath MPMM,Alignment,"Goliath society, with its clear roles and tasks, has a strong lawful bent. The goliath sense of fairness, balanced with an emphasis on self sufficiency and personal accountability, pushes them toward neutrality."
13,goliath,Goliath MPMM,Size,Medium
14,goliath,Goliath MPMM,Speed,30 ft.
15,goliath,Goliath MPMM,Natural Athlete,You have proficiency in the Athletics skill.
16,goliath,Goliath MPMM,Stone's Endurance,"You can supernaturally draw on unyielding stone to shrug off harm. When you take damage, you can use your reaction to roll a d12. Add your Constitution modifier to the number rolled and reduce the damage by that total."
17,goliath,Goliath MPMM,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift."
18,goliath,Goliath MPMM,Mountain Born,"You have resistance to cold damage. You also naturally acclimate to high altitudes, even if you've never been to one. This includes elevations above 20,000 feet."
19,goliath,Goliath MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
20,goliath,Goliath MPMM,Little Giant,"You have proficiency in the Athletics skill, and you count as one size larger when determining your carrying weight and the weight you can push, drag, or lift."
