,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,goliath,goliath,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",Goliath,Goliath,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.
1,goliath,goliath,Age,Goliaths have lifespans comparable to humans. They enter adulthood in their late teens and usually live less than a century.,Goliath,Goliath,Âge,Les Goliaths ont une espérance de vie comparable à celle des humains. Ils atteignent l'âge adulte à la fin de leur adolescence et vivent généralement moins d'un siècle.
2,goliath,goliath,Alignment,"Goliath society, with its clear roles and tasks, has a strong lawful bent. The goliath sense of fairness, balanced with an emphasis on self sufficiency and personal accountability, pushes them toward neutrality.",Goliath,Goliath,Alignement,"La société Goliath, avec ses rôles et ses tâches clairement définis, a une forte tendance à la loi. Le sens de l'équité des Goliath, équilibré par l'accent mis sur l'autosuffisance et la responsabilité personnelle, les pousse vers la neutralité."
3,goliath,goliath,Size,"Goliaths are between 7 and 8 feet tall and weigh between 280 and 340 pounds. Your size is Medium. Your height is 6'2"" with a modifier of +2d10. Your weight is 200 lbs. with a modifier of +(height roll) x 2d6.",Goliath,Goliath,Taille,"Les Goliaths mesurent entre 2,10 et 2,40 mètres de haut et pèsent entre 130 et 155 kilos. Votre taille est M. Votre taille est de 1,88 m avec un modificateur de +2d10. Votre poids est de 90 kilos avec un modificateur de +(test de taille) x 2d6."
4,goliath,goliath,Speed,Your base walking speed is 30 feet.,Goliath,Goliath,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,goliath,goliath,Natural Athlete,You have proficiency in the Athletics skill.,Goliath,Goliath,Athlète naturel,Vous maîtrisez la compétence Athlétisme.
6,goliath,goliath,Stone's Endurance,"You can focus yourself to occasionally shrug off injury. When you take damage, you can use your reaction to roll a d12. Add your Constitution modifier to the number rolled, and reduce the damage by that total. After you use this trait, you can't use it again until you finish a short or long rest.",Goliath,Goliath,L'endurance de la pierre,"Vous pouvez vous concentrer pour ignorer occasionnellement les blessures. Lorsque vous subissez des dégâts, vous pouvez utiliser votre réaction pour lancer un d12. Ajoutez votre modificateur de Constitution au nombre obtenu et réduisez les dégâts du total obtenu. Après avoir utilisé ce trait, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
7,goliath,goliath,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",Goliath,Goliath,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
8,goliath,goliath,Mountain Born,"You're acclimated to high altitude, including elevations above 20,000 feet. You're also naturally adapted to cold climates, as described in chapter 5 of the Dungeon Master's Guide.",Goliath,Goliath,Né en montagne,"Vous êtes acclimaté à la haute altitude, y compris aux altitudes supérieures à 20 000 pieds. Vous êtes également naturellement adapté aux climats froids, comme décrit dans le chapitre 5 du Guide du Maître du Donjon."
9,goliath,goliath,Languages,"You can speak, read, and write Common and Giant.",Goliath,Goliath,Langues,"Vous pouvez parler, lire et écrire le commun et le géant."
10,goliath,Goliath MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",Goliath,Goliath MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
11,goliath,Goliath MPMM,Age,Goliaths have lifespans comparable to humans. They enter adulthood in their late teens and usually live less than a century.,Goliath,Goliath MPMM,Âge,Les Goliaths ont une espérance de vie comparable à celle des humains. Ils atteignent l'âge adulte à la fin de leur adolescence et vivent généralement moins d'un siècle.
12,goliath,Goliath MPMM,Alignment,"Goliath society, with its clear roles and tasks, has a strong lawful bent. The goliath sense of fairness, balanced with an emphasis on self sufficiency and personal accountability, pushes them toward neutrality.",Goliath,Goliath MPMM,Alignement,"La société Goliath, avec ses rôles et ses tâches clairement définis, a une forte tendance à la loi. Le sens de l'équité des Goliath, équilibré par l'accent mis sur l'autosuffisance et la responsabilité personnelle, les pousse vers la neutralité."
13,goliath,Goliath MPMM,Size,Medium,Goliath,Goliath MPMM,Taille,Moyen
14,goliath,Goliath MPMM,Speed,30 ft.,Goliath,Goliath MPMM,Vitesse,30 pieds
15,goliath,Goliath MPMM,Natural Athlete,You have proficiency in the Athletics skill.,Goliath,Goliath MPMM,Athlète naturel,Vous maîtrisez la compétence Athlétisme.
16,goliath,Goliath MPMM,Stone's Endurance,"You can supernaturally draw on unyielding stone to shrug off harm. When you take damage, you can use your reaction to roll a d12. Add your Constitution modifier to the number rolled and reduce the damage by that total.",Goliath,Goliath MPMM,L'endurance de la pierre,"Vous pouvez utiliser de manière surnaturelle une pierre inflexible pour vous protéger des dégâts. Lorsque vous subissez des dégâts, vous pouvez utiliser votre réaction pour lancer un d12. Ajoutez votre modificateur de Constitution au nombre obtenu et réduisez les dégâts du total obtenu."
17,goliath,Goliath MPMM,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",Goliath,Goliath MPMM,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
18,goliath,Goliath MPMM,Mountain Born,"You have resistance to cold damage. You also naturally acclimate to high altitudes, even if you've never been to one. This includes elevations above 20,000 feet.",Goliath,Goliath MPMM,Né en montagne,"Vous êtes résistant aux dommages causés par le froid. Vous vous acclimatez également naturellement aux hautes altitudes, même si vous n'y êtes jamais allé. Cela inclut les altitudes supérieures à 20 000 pieds."
19,goliath,Goliath MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",Goliath,Goliath MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
20,goliath,Goliath MPMM,Little Giant,"You have proficiency in the Athletics skill, and you count as one size larger when determining your carrying weight and the weight you can push, drag, or lift.",Goliath,Goliath MPMM,Petit Géant,"Vous maîtrisez la compétence Athlétisme et vous comptez comme une taille plus grande pour déterminer votre poids de transport et le poids que vous pouvez pousser, traîner ou soulever."
