,race,subrace,section,content
0,grung,grung,Ability Score Increase,Your Dexterity score increases by 2 and your Constitution score increases by 1.
1,grung,grung,Age,"Grungs mature to adulthood in a single year, but have been known to live up to 50 years."
2,grung,grung,Alignment,"Most grungs are lawful, having been raised in a strict caste system. They tend toward evil as well, coming from a culture where social advancement occurs rarely, and most often because another member of your army has died and there is no one else of that caste to fill the vacancy."
3,grung,grung,Arboreal Alertness,You have proficiency in the Perception skill.
4,grung,grung,Size,Grungs stand between 2 ½ and 3 ½ feet tall and average about 30 pounds. Your size is Small.
5,grung,grung,Speed,"Your base walking speed is 25 feet, and you have a climbing speed of 25 feet."
6,grung,grung,Amphibious,You can breathe air and water.
7,grung,grung,Poison Immunity,You’re immune to poison damage and the poisoned condition.
8,grung,grung,Poisonous Skin,"Any creature that grapples you or otherwise comes into direct contact with your skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with you can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
9,grung,grung,Standing Leap,"Your long jump is up to 25 feet and your high jump is up to 15 feet, with or without a running start."
10,grung,grung,Water Dependency,"If you fail to immerse yourself in water for at least 1 hour during a day, you suffer one level of exhaustion at the end of that day. You can only recover from this exhaustion through magic or by immersing yourself in water for at least 1 hour."
11,grung,grung,Languages,"You can speak, read, and write Grung."
