,race,subrace,section,content
0,half-elf,half-elf,Ability Score Increase,"Your Charisma score increases by 2, and two other ability scores of your choice increase by 1."
1,half-elf,half-elf,Age,"Half-elves mature at the same rate humans do and reach adulthood around the age of 20. They live much longer than humans, however, often exceeding 180 years."
2,half-elf,half-elf,Alignment,"Half-elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable."
3,half-elf,half-elf,Size,"Half-elves are about the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium."
4,half-elf,half-elf,Speed,Your base walking speed is 30 feet.
5,half-elf,half-elf,Darkvision,"Thanks to your elf blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
6,half-elf,half-elf,Fey Ancestry,"You have advantage on saving throws against being charmed, and magic can’t put you to sleep."
7,half-elf,half-elf,Skill Versatility,You gain proficiency in two skills of your choice.
8,half-elf,half-elf,Languages,"You can speak, read, and write Common, Elvish, and one extra language of your choice."
9,half-elf,Variant Half-Elf: Aquatic Elf Descent),Ability Score Increase,"Your Charisma score increases by 2, and two other ability scores of your choice increase by 1."
10,half-elf,Variant Half-Elf: Aquatic Elf Descent),Age,"Half-elves mature at the same rate humans do and reach adulthood around the age of 20. They live much longer than humans, however, often exceeding 180 years."
11,half-elf,Variant Half-Elf: Aquatic Elf Descent),Alignment,"Half-elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable."
12,half-elf,Variant Half-Elf: Aquatic Elf Descent),Size,"Half-elves are about the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium."
13,half-elf,Variant Half-Elf: Aquatic Elf Descent),Speed,Your base walking speed is 30 feet.
14,half-elf,Variant Half-Elf: Aquatic Elf Descent),Darkvision,"Thanks to your elf blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
15,half-elf,Variant Half-Elf: Aquatic Elf Descent),Fey Ancestry,"You have advantage on saving throws against being charmed, and magic can’t put you to sleep."
16,half-elf,Variant Half-Elf: Aquatic Elf Descent),Skill Versatility,You gain proficiency in two skills of your choice.
17,half-elf,Variant Half-Elf: Aquatic Elf Descent),Languages,"You can speak, read, and write Common, Elvish, and one extra language of your choice."
18,half-elf,Variant Half-Elf: Aquatic Elf Descent),Swim,You gain a swimming speed of 30 ft.
19,half-elf,Variant Half-Elf: Drow Descent),Ability Score Increase,"Your Charisma score increases by 2, and two other ability scores of your choice increase by 1."
20,half-elf,Variant Half-Elf: Drow Descent),Age,"Half-elves mature at the same rate humans do and reach adulthood around the age of 20. They live much longer than humans, however, often exceeding 180 years."
21,half-elf,Variant Half-Elf: Drow Descent),Alignment,"Half-elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable."
22,half-elf,Variant Half-Elf: Drow Descent),Size,"Half-elves are about the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium."
23,half-elf,Variant Half-Elf: Drow Descent),Speed,Your base walking speed is 30 feet.
24,half-elf,Variant Half-Elf: Drow Descent),Darkvision,"Thanks to your elf blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
25,half-elf,Variant Half-Elf: Drow Descent),Fey Ancestry,"You have advantage on saving throws against being charmed, and magic can’t put you to sleep."
