,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,half-elf,half-elf,Ability Score Increase,"Your Charisma score increases by 2, and two other ability scores of your choice increase by 1.",demi-elfe,demi-elfe,Augmentation du score de capacité,Votre score de Charisme augmente de 2 et deux autres scores de capacité de votre choix augmentent de 1.
1,half-elf,half-elf,Age,"Half-elves mature at the same rate humans do and reach adulthood around the age of 20. They live much longer than humans, however, often exceeding 180 years.",demi-elfe,demi-elfe,Âge,"Les demi-elfes mûrissent au même rythme que les humains et atteignent l'âge adulte vers l'âge de 20 ans. Ils vivent cependant beaucoup plus longtemps que les humains, dépassant souvent 180 ans."
2,half-elf,half-elf,Alignment,"Half-elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable.",demi-elfe,demi-elfe,Alignement,"Les demi-elfes partagent le côté chaotique de leur héritage elfique. Ils accordent de l'importance à la liberté personnelle et à l'expression créative, ne manifestant ni amour pour les chefs ni désir d'avoir des disciples. Ils s'irritent des règles, n'apprécient pas les exigences des autres et se révèlent parfois peu fiables, ou du moins imprévisibles."
3,half-elf,half-elf,Size,"Half-elves are about the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium.",demi-elfe,demi-elfe,Taille,"Les demi-elfes ont à peu près la même taille que les humains, mesurant entre 1,5 et 1,80 mètre. Votre taille est M."
4,half-elf,half-elf,Speed,Your base walking speed is 30 feet.,demi-elfe,demi-elfe,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,half-elf,half-elf,Darkvision,"Thanks to your elf blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",demi-elfe,demi-elfe,Vision dans le noir,"Grâce à ton sang d'elfe, tu as une vision supérieure dans l'obscurité et la pénombre. Tu peux voir dans la pénombre à moins de 18 mètres de toi comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Tu ne peux pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,half-elf,half-elf,Fey Ancestry,"You have advantage on saving throws against being charmed, and magic can’t put you to sleep.",demi-elfe,demi-elfe,Ascendance des fées,"Vous avez un avantage aux jets de sauvegarde contre les charmes, et la magie ne peut pas vous endormir."
7,half-elf,half-elf,Skill Versatility,You gain proficiency in two skills of your choice.,demi-elfe,demi-elfe,Polyvalence des compétences,Vous acquérez la maîtrise de deux compétences de votre choix.
8,half-elf,half-elf,Languages,"You can speak, read, and write Common, Elvish, and one extra language of your choice.",demi-elfe,demi-elfe,Langues,"Vous pouvez parler, lire et écrire le commun, l'elfique et une langue supplémentaire de votre choix."
9,half-elf,Variant Half-Elf: Aquatic Elf Descent),Ability Score Increase,"Your Charisma score increases by 2, and two other ability scores of your choice increase by 1.",demi-elfe,Variante Demi-Elfe : Descente d'Elfe Aquatique),Augmentation du score de capacité,Votre score de Charisme augmente de 2 et deux autres scores de capacité de votre choix augmentent de 1.
10,half-elf,Variant Half-Elf: Aquatic Elf Descent),Age,"Half-elves mature at the same rate humans do and reach adulthood around the age of 20. They live much longer than humans, however, often exceeding 180 years.",demi-elfe,Variante Demi-Elfe : Descente d'Elfe Aquatique),Âge,"Les demi-elfes mûrissent au même rythme que les humains et atteignent l'âge adulte vers l'âge de 20 ans. Ils vivent cependant beaucoup plus longtemps que les humains, dépassant souvent 180 ans."
11,half-elf,Variant Half-Elf: Aquatic Elf Descent),Alignment,"Half-elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable.",demi-elfe,Variante Demi-Elfe : Descente d'Elfe Aquatique),Alignement,"Les demi-elfes partagent le côté chaotique de leur héritage elfique. Ils accordent de l'importance à la liberté personnelle et à l'expression créative, ne manifestant ni amour pour les chefs ni désir d'avoir des disciples. Ils s'irritent des règles, n'apprécient pas les exigences des autres et se révèlent parfois peu fiables, ou du moins imprévisibles."
12,half-elf,Variant Half-Elf: Aquatic Elf Descent),Size,"Half-elves are about the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium.",demi-elfe,Variante Demi-Elfe : Descente d'Elfe Aquatique),Taille,"Les demi-elfes ont à peu près la même taille que les humains, mesurant entre 1,5 et 1,80 mètre. Votre taille est M."
13,half-elf,Variant Half-Elf: Aquatic Elf Descent),Speed,Your base walking speed is 30 feet.,demi-elfe,Variante Demi-Elfe : Descente d'Elfe Aquatique),Vitesse,Votre vitesse de marche de base est de 30 pieds.
