,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,half-orc,half-orc,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",demi-orque,demi-orque,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.
1,half-orc,half-orc,Age,"Half-orcs mature a little faster than humans, reaching adulthood around age 14. They age noticeably faster and rarely live longer than 75 years.",demi-orque,demi-orque,Âge,"Les demi-orques mûrissent un peu plus vite que les humains, atteignant l'âge adulte vers 14 ans. Ils vieillissent sensiblement plus vite et vivent rarement plus de 75 ans."
2,half-orc,half-orc,Alignment,Half-orcs inherit a tendency toward chaos from their orc parents and are not strongly inclined toward good. Half-orcs raised among orcs and willing to live out their lives among them are usually evil.,demi-orque,demi-orque,Alignement,Les demi-orques héritent d'une tendance au chaos de leurs parents orques et ne sont pas particulièrement enclins au bien. Les demi-orques élevés parmi les orques et prêts à vivre leur vie parmi eux sont généralement mauvais.
3,half-orc,half-orc,Size,"Half-orcs are somewhat larger and bulkier than humans, and they range from 5 to well over 6 feet tall. Your size is Medium.",demi-orque,demi-orque,Taille,"Les demi-orques sont un peu plus grands et plus costauds que les humains, et leur taille varie de 1,50 à plus de 1,80 mètre. Votre taille est M."
4,half-orc,half-orc,Speed,Your base walking speed is 30 feet.,demi-orque,demi-orque,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,half-orc,half-orc,Darkvision,"Thanks to your orc blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",demi-orque,demi-orque,Vision dans le noir,"Grâce à votre sang d'orc, vous avez une vision supérieure dans l'obscurité et la pénombre. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,half-orc,half-orc,Menacing,You gain proficiency in the Intimidation skill.,demi-orque,demi-orque,Menaçant,Vous acquérez la maîtrise de la compétence Intimidation.
7,half-orc,half-orc,Relentless Endurance,"When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. You can’t use this feature again until you finish a long rest.",demi-orque,demi-orque,Endurance implacable,"Lorsque vous êtes réduit à 0 point de vie sans être tué, vous pouvez passer à 1 point de vie à la place. Vous ne pouvez pas utiliser cette fonctionnalité à nouveau avant d'avoir terminé un repos long."
8,half-orc,half-orc,Savage Attacks,"When you score a critical hit with a melee weapon attack, you can roll one of the weapon’s damage dice one additional time and add it to the extra damage of the critical hit.",demi-orque,demi-orque,Attaques sauvages,"Lorsque vous réussissez un coup critique avec une attaque d'arme de mêlée, vous pouvez lancer l'un des dés de dégâts de l'arme une fois de plus et l'ajouter aux dégâts supplémentaires du coup critique."
9,half-orc,half-orc,Languages,"You can speak, read, and write Common and Orc. Orc is a harsh, grating language with hard consonants. It has no script of its own but is written in the Dwarvish script.",demi-orque,demi-orque,Langues,"Vous pouvez parler, lire et écrire le commun et l'orque. L'orque est une langue dure et grinçante avec des consonnes dures. Elle n'a pas d'écriture propre mais est écrite en écriture naine."
10,half-orc,Variant Half-Orc: Mark of Finding,Ability Score Increase,"Your Wisdom score increases by 2, and your Constitution score increases by 1.",demi-orque,Variante Demi-Orque : Marque de découverte,Augmentation du score de capacité,Votre score de Sagesse augmente de 2 et votre score de Constitution augmente de 1.
