,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,halfling,halfling,Ability Score Increase,Your Dexterity score increases by 2.,Halfling,Halfling,Augmentation du score de capacité,Votre score de Dextérité augmente de 2.
1,halfling,halfling,Age,A halfling reaches adulthood at the age of 20 and generally lives into the middle of his or her second century.,Halfling,Halfling,Âge,Un halfling atteint l'âge adulte à l'âge de 20 ans et vit généralement jusqu'au milieu de son deuxième siècle.
2,halfling,halfling,Alignment,"Most halflings are lawful good. As a rule, they are good-hearted and kind, hate to see others in pain, and have no tolerance for oppression. They are also very orderly and traditional, leaning heavily on the support of their community and the comfort of their old ways.",Halfling,Halfling,Alignement,"La plupart des halfelins sont loyaux bons. En règle générale, ils sont bons et gentils, détestent voir les autres souffrir et ne tolèrent pas l'oppression. Ils sont également très ordonnés et traditionnels, s'appuyant largement sur le soutien de leur communauté et le confort de leurs anciennes habitudes."
3,halfling,halfling,Size,Halflings average about 3 feet tall and weigh about 40 pounds. Your size is Small.,Halfling,Halfling,Taille,Les halfelins mesurent en moyenne 90 cm de haut et pèsent environ 18 kg. Votre taille est S.
4,halfling,halfling,Speed,Your base walking speed is 25 feet.,Halfling,Halfling,Vitesse,Votre vitesse de marche de base est de 25 pieds.
5,halfling,halfling,Lucky,"When you roll a 1 on the d20 for an attack roll, ability check, or saving throw, you can reroll the die and must use the new roll.",Halfling,Halfling,Chanceux,"Lorsque vous obtenez un 1 sur le d20 pour un jet d'attaque, un test de caractéristique ou un jet de sauvegarde, vous pouvez relancer le dé et devez utiliser le nouveau jet."
6,halfling,halfling,Brave,You have advantage on saving throws against being frightened.,Halfling,Halfling,Courageux,Vous avez un avantage aux jets de sauvegarde contre la peur.
7,halfling,halfling,Halfling Nimbleness,You can move through the space of any creature that is of a size larger than yours.,Halfling,Halfling,Agilité des Halflings,Vous pouvez vous déplacer dans l'espace de n'importe quelle créature d'une taille supérieure à la vôtre.
8,halfling,halfling,Languages,"You can speak, read, and write Common and Halfling. The Halfling language isn’t secret, but halflings are loath to share it with others. They write very little, so they don’t have a rich body of literature. Their oral tradition, however, is very strong. Almost all halflings speak Common to converse with the people in whose lands they dwell or through which they are traveling.",Halfling,Halfling,Langues,"Vous pouvez parler, lire et écrire le commun et le halfling. La langue des halflings n’est pas secrète, mais les halflings sont réticents à la partager avec les autres. Ils écrivent très peu, ce qui fait qu’ils ne possèdent pas un corpus littéraire riche. Leur tradition orale, en revanche, est très forte. Presque tous les halflings parlent le commun pour converser avec les peuples sur les terres desquels ils vivent ou qu’ils traversent."
9,halfling,Lightfoot Halfling,Ability Score Increase,Your Charisma score increases by 1.,Halfling,Halfling pied-léger,Augmentation du score de capacité,Votre score de Charisme augmente de 1.
10,halfling,Lightfoot Halfling,Age,A halfling reaches adulthood at the age of 20 and generally lives into the middle of his or her second century.,Halfling,Halfling pied-léger,Âge,Un halfling atteint l'âge adulte à l'âge de 20 ans et vit généralement jusqu'au milieu de son deuxième siècle.
11,halfling,Lightfoot Halfling,Alignment,"Most halflings are lawful good. As a rule, they are good-hearted and kind, hate to see others in pain, and have no tolerance for oppression. They are also very orderly and traditional, leaning heavily on the support of their community and the comfort of their old ways.",Halfling,Halfling pied-léger,Alignement,"La plupart des halfelins sont loyaux bons. En règle générale, ils sont bons et gentils, détestent voir les autres souffrir et ne tolèrent pas l'oppression. Ils sont également très ordonnés et traditionnels, s'appuyant largement sur le soutien de leur communauté et le confort de leurs anciennes habitudes."
12,halfling,Lightfoot Halfling,Size,Halflings average about 3 feet tall and weigh about 40 pounds. Your size is Small.,Halfling,Halfling pied-léger,Taille,Les halfelins mesurent en moyenne 90 cm de haut et pèsent environ 18 kg. Votre taille est S.
13,halfling,Lightfoot Halfling,Speed,Your base walking speed is 25 feet.,Halfling,Halfling pied-léger,Vitesse,Votre vitesse de marche de base est de 25 pieds.
14,halfling,Lightfoot Halfling,Lucky,"When you roll a 1 on the d20 for an attack roll, ability check, or saving throw, you can reroll the die and must use the new roll.",Halfling,Halfling pied-léger,Chanceux,"Lorsque vous obtenez un 1 sur le d20 pour un jet d'attaque, un test de caractéristique ou un jet de sauvegarde, vous pouvez relancer le dé et devez utiliser le nouveau jet."
15,halfling,Lightfoot Halfling,Brave,You have advantage on saving throws against being frightened.,Halfling,Halfling pied-léger,Courageux,Vous avez un avantage aux jets de sauvegarde contre la peur.
16,halfling,Lightfoot Halfling,Halfling Nimbleness,You can move through the space of any creature that is of a size larger than yours.,Halfling,Halfling pied-léger,Agilité des Halflings,Vous pouvez vous déplacer dans l'espace de n'importe quelle créature d'une taille supérieure à la vôtre.
