,race,subrace,section,content
0,hedge,Hedge Traits,Age,"Hedges take longer to mature than most other races, reaching adulthood around 20 years. They also live for a long time, with many reaching 120 years or more."
1,hedge,Hedge Traits,Alignment,"Hedges are compassionate, empathetic, and diplomatic, tending towards good alignments. They also favor neutral alignments, as hedges have a great respect for the balance of nature."
2,hedge,Hedge Traits,Size,"Hedges have short, rounded body shapes, standing between 3 and 4 feet in height, and weighing between 40 and 70 pounds. Your size is Small."
3,hedge,Hedge Traits,Speed,Your base walking speed is 25 feet.
4,hedge,Hedge Traits,Natural Burrowers,"You have a burrowing speed of 15 feet. You are capable of burrowing through soil, but are unable to dig through anything more substantial with just your clawed hands."
5,hedge,Hedge Traits,Spiny Quills,"The backs of hedges are covered with spiny quills, which makes it impossible for hedges to wear armor. These quills provide exceptional protection, therefore you have a base armor class of 14 + your Dexterity modifier. Even though you can’t wear armor, you can still benefit from the armor class bonus provided by shields so long as you are proficient with them."
6,hedge,Hedge Traits,Curl Up,"You can use your action to curl up, exposing attackers to a wall of your toughened quills. While curled up you cannot move, attack, or cast spells with somatic components, and your base armor class becomes 19. You cannot benefit from any Dexterity bonus to armor class while curled up, but you can still use shields."
7,hedge,Hedge Traits,Forest Magic,"You have a deep connection to the magic of the Wood. You know the Druidcraft cantrip. Additionally, you can cast Animal Messenger as a 2nd level spell once with this trait, and regain the ability to do so after a short or long rest. Charisma is your spellcasting ability for these spells."
8,hedge,Hedge Traits,Speak With Bugs,"Through sounds and gestures, you can communicate simple ideas with creatures of the beast subtype that represent insects, spiders, worms, and other creepy crawlies, regardless of their size."
9,hedge,Hedge Traits,Languages,"You can speak, read, and write Birdfolk and Hedge."
