,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,hedge,Hedge Traits,Age,"Hedges take longer to mature than most other races, reaching adulthood around 20 years. They also live for a long time, with many reaching 120 years or more.",haie,Caractéristiques de la haie,Âge,"Les haies mettent plus de temps à mûrir que la plupart des autres races, atteignant l'âge adulte vers 20 ans. Elles vivent également longtemps, nombre d'entre elles atteignant 120 ans ou plus."
1,hedge,Hedge Traits,Alignment,"Hedges are compassionate, empathetic, and diplomatic, tending towards good alignments. They also favor neutral alignments, as hedges have a great respect for the balance of nature.",haie,Caractéristiques de la haie,Alignement,"Les haies sont compatissantes, empathiques et diplomates, et ont tendance à privilégier les alignements positifs. Elles privilégient également les alignements neutres, car elles ont un grand respect pour l'équilibre de la nature."
2,hedge,Hedge Traits,Size,"Hedges have short, rounded body shapes, standing between 3 and 4 feet in height, and weighing between 40 and 70 pounds. Your size is Small.",haie,Caractéristiques de la haie,Taille,"Les haies ont des formes courtes et arrondies, mesurant entre 3 et 4 pieds de hauteur et pesant entre 40 et 70 livres. Votre taille est Small."
3,hedge,Hedge Traits,Speed,Your base walking speed is 25 feet.,haie,Caractéristiques de la haie,Vitesse,Votre vitesse de marche de base est de 25 pieds.
4,hedge,Hedge Traits,Natural Burrowers,"You have a burrowing speed of 15 feet. You are capable of burrowing through soil, but are unable to dig through anything more substantial with just your clawed hands.",haie,Caractéristiques de la haie,Fouisseurs naturels,"Vous avez une vitesse de fouissage de 15 pieds. Vous êtes capable de creuser dans le sol, mais vous êtes incapable de creuser quoi que ce soit de plus substantiel avec seulement vos mains griffues."
5,hedge,Hedge Traits,Spiny Quills,"The backs of hedges are covered with spiny quills, which makes it impossible for hedges to wear armor. These quills provide exceptional protection, therefore you have a base armor class of 14 + your Dexterity modifier. Even though you can’t wear armor, you can still benefit from the armor class bonus provided by shields so long as you are proficient with them.",haie,Caractéristiques de la haie,Piquants épineux,"Le dos des haies est couvert de piquants épineux, ce qui les empêche de porter une armure. Ces piquants offrent une protection exceptionnelle, c'est pourquoi vous avez une classe d'armure de base de 14 + votre modificateur de Dextérité. Même si vous ne pouvez pas porter d'armure, vous pouvez toujours bénéficier du bonus de classe d'armure offert par les boucliers tant que vous les maîtrisez."
6,hedge,Hedge Traits,Curl Up,"You can use your action to curl up, exposing attackers to a wall of your toughened quills. While curled up you cannot move, attack, or cast spells with somatic components, and your base armor class becomes 19. You cannot benefit from any Dexterity bonus to armor class while curled up, but you can still use shields.",haie,Caractéristiques de la haie,Se recroqueviller,"Vous pouvez utiliser votre action pour vous recroqueviller, exposant ainsi les attaquants à un mur de vos piquants renforcés. Lorsque vous êtes recroquevillé, vous ne pouvez pas vous déplacer, attaquer ou lancer de sorts avec des composants somatiques, et votre classe d'armure de base passe à 19. Vous ne pouvez bénéficier d'aucun bonus de Dextérité à la classe d'armure lorsque vous êtes recroquevillé, mais vous pouvez toujours utiliser des boucliers."
7,hedge,Hedge Traits,Forest Magic,"You have a deep connection to the magic of the Wood. You know the Druidcraft cantrip. Additionally, you can cast Animal Messenger as a 2nd level spell once with this trait, and regain the ability to do so after a short or long rest. Charisma is your spellcasting ability for these spells.",haie,Caractéristiques de la haie,Magie de la forêt,"Vous avez un lien profond avec la magie du Bois. Vous connaissez le sort druidisme. De plus, vous pouvez lancer Messager animalier en tant que sort de niveau 2 une fois avec ce trait, et retrouver la capacité de le faire après un repos court ou long. Le Charisme est votre capacité de lancer de sorts pour ces sorts."
8,hedge,Hedge Traits,Speak With Bugs,"Through sounds and gestures, you can communicate simple ideas with creatures of the beast subtype that represent insects, spiders, worms, and other creepy crawlies, regardless of their size.",haie,Caractéristiques de la haie,Parlez avec les insectes,"Grâce à des sons et des gestes, vous pouvez communiquer des idées simples avec des créatures du sous-type bête qui représentent des insectes, des araignées, des vers et d'autres bestioles effrayantes, quelle que soit leur taille."
9,hedge,Hedge Traits,Languages,"You can speak, read, and write Birdfolk and Hedge.",haie,Caractéristiques de la haie,Langues,"Vous pouvez parler, lire et écrire Birdfolk et Hedge."
