,race,subrace,section,content
0,hexblood,hexblood,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
1,hexblood,hexblood,Creature Type,You are a Fey.
2,hexblood,hexblood,Size,You are Medium or Small. You choose the size when you gain this lineage.
3,hexblood,hexblood,Speed,Your walking speed is 30 feet.
4,hexblood,hexblood,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it."
5,hexblood,hexblood,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray.
6,hexblood,hexblood,Eerie Token,"As a bonus action, you can harmlessly remove a lock of your hair, one of your nails, or one of your teeth. This token is imbued with magic until you finish a long rest. While the token is imbued in this way, you can take these actions:"
7,hexblood,hexblood,Telepathic Message,"As an action, you can send a telepathic message to the creature holding or carrying the token, as long as you are within 10 miles of it. The message can contain up to twenty-five words."
8,hexblood,hexblood,Remote Viewing,"If you are within 10 miles of the token, you can enter a trance as an action. The trance lasts for 1 minute, but it ends early if you dismiss it (no action required) or are incapacitated. During this trance, you can see and hear from the token as if you were located where it is. While you are using your senses at the token’s location, you are blinded and deafened in regard to your own surroundings. When the trance ends, the token is harmlessly destroyed."
9,hexblood,hexblood,Hex Magic,"You can cast the Disguise Self and Hex spells with this trait. Once you cast either of these spells with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast these spells using any spell slots you have."
10,hexblood,Hexblood Origins,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
11,hexblood,Hexblood Origins,Creature Type,You are a Fey.
12,hexblood,Hexblood Origins,Size,You are Medium or Small. You choose the size when you gain this lineage.
13,hexblood,Hexblood Origins,Speed,Your walking speed is 30 feet.
14,hexblood,Hexblood Origins,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it."
15,hexblood,Hexblood Origins,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray.
16,hexblood,Hexblood Origins,Eerie Token,"As a bonus action, you can harmlessly remove a lock of your hair, one of your nails, or one of your teeth. This token is imbued with magic until you finish a long rest. While the token is imbued in this way, you can take these actions:"
17,hexblood,Hexblood Origins,Telepathic Message,"As an action, you can send a telepathic message to the creature holding or carrying the token, as long as you are within 10 miles of it. The message can contain up to twenty-five words."
18,hexblood,Hexblood Origins,Remote Viewing,"If you are within 10 miles of the token, you can enter a trance as an action. The trance lasts for 1 minute, but it ends early if you dismiss it (no action required) or are incapacitated. During this trance, you can see and hear from the token as if you were located where it is. While you are using your senses at the token’s location, you are blinded and deafened in regard to your own surroundings. When the trance ends, the token is harmlessly destroyed."
19,hexblood,Hexblood Origins,Hex Magic,"You can cast the Disguise Self and Hex spells with this trait. Once you cast either of these spells with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast these spells using any spell slots you have."
20,hexblood,Hexblood Origins,,"
d6
Origin


1
Seeking a child, your parent made a bargain with a hag. You are the result of that arrangement.


2
Fey kidnappers swapped you and your parents’ child.


3
A coven of hags lost one of its members. You were created to replace the lost hag.


4
You were cursed as a child. A deal with the spirits of the forest transformed you into a hexblood, now free of the curse.


5
You began life as a fey creature, but an accident changed you and forced you from your home.


6
A slighted druid transformed you and bound you to live only so long as a sacred tree bears fruit.

"
21,hexblood,Becoming a Hag,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
22,hexblood,Becoming a Hag,Creature Type,You are a Fey.
23,hexblood,Becoming a Hag,Size,You are Medium or Small. You choose the size when you gain this lineage.
24,hexblood,Becoming a Hag,Speed,Your walking speed is 30 feet.
25,hexblood,Becoming a Hag,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it."
26,hexblood,Becoming a Hag,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray.
27,hexblood,Becoming a Hag,Eerie Token,"As a bonus action, you can harmlessly remove a lock of your hair, one of your nails, or one of your teeth. This token is imbued with magic until you finish a long rest. While the token is imbued in this way, you can take these actions:"
28,hexblood,Becoming a Hag,Telepathic Message,"As an action, you can send a telepathic message to the creature holding or carrying the token, as long as you are within 10 miles of it. The message can contain up to twenty-five words."
29,hexblood,Becoming a Hag,Remote Viewing,"If you are within 10 miles of the token, you can enter a trance as an action. The trance lasts for 1 minute, but it ends early if you dismiss it (no action required) or are incapacitated. During this trance, you can see and hear from the token as if you were located where it is. While you are using your senses at the token’s location, you are blinded and deafened in regard to your own surroundings. When the trance ends, the token is harmlessly destroyed."
30,hexblood,Becoming a Hag,Hex Magic,"You can cast the Disguise Self and Hex spells with this trait. Once you cast either of these spells with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast these spells using any spell slots you have."
31,hexblood,Becoming a Hag,,"
d6
Origin


1
Seeking a child, your parent made a bargain with a hag. You are the result of that arrangement.


2
Fey kidnappers swapped you and your parents’ child.


3
A coven of hags lost one of its members. You were created to replace the lost hag.


4
You were cursed as a child. A deal with the spirits of the forest transformed you into a hexblood, now free of the curse.


5
You began life as a fey creature, but an accident changed you and forced you from your home.


6
A slighted druid transformed you and bound you to live only so long as a sacred tree bears fruit.

"
