,race,subrace,section,content
0,human,human,Ability Score Increase,Your ability scores each increase by 1.
1,human,human,Age,Humans reach adulthood in their late teens and live less than a century.
2,human,human,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.
3,human,human,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium."
4,human,human,Speed,Your base walking speed is 30 feet.
5,human,human,Languages,"You can speak, read, and write Common and one extra language of your choice. Humans typically learn the languages of other peoples they deal with, including obscure dialects. They are fond of sprinkling their speech with words borrowed from other tongues: Orc curses, Elvish musical expressions, Dwarvish military phrases, and so on."
6,human,Variant Human,Ability Score Increase,Two different ability scores of your choice increase by 1.
7,human,Variant Human,Age,Humans reach adulthood in their late teens and live less than a century.
8,human,Variant Human,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.
9,human,Variant Human,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium."
10,human,Variant Human,Speed,Your base walking speed is 30 feet.
11,human,Variant Human,Languages,"You can speak, read, and write Common and one extra language of your choice. Humans typically learn the languages of other peoples they deal with, including obscure dialects. They are fond of sprinkling their speech with words borrowed from other tongues: Orc curses, Elvish musical expressions, Dwarvish military phrases, and so on."
12,human,Variant Human,Skills,You gain proficiency in one skill of your choice.
13,human,Variant Human,Feat,You gain one feat of your choice.
14,human,Variant Human: Mark of Finding,Ability Score Increase,"Your Wisdom score increases by 2, and your Constitution score increases by 1."
15,human,Variant Human: Mark of Finding,Age,Humans reach adulthood in their late teens and live less than a century.
16,human,Variant Human: Mark of Finding,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.
17,human,Variant Human: Mark of Finding,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium."
18,human,Variant Human: Mark of Finding,Speed,Your base walking speed is 30 feet.
19,human,Variant Human: Mark of Finding,Languages,"You can speak, read, and write Common and Goblin."
20,human,Variant Human: Mark of Finding,Skills,You gain proficiency in one skill of your choice.
21,human,Variant Human: Mark of Finding,Feat,You gain one feat of your choice.
22,human,Variant Human: Mark of Finding,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
23,human,Variant Human: Mark of Finding,Hunter's Intuition,"When you make a Wisdom (Perception) or Wisdom (Survival) check, you can roll a d4 and add the number rolled to the ability check."
24,human,Variant Human: Mark of Finding,Finder's Magic,"You can cast the Hunter's Mark spell with this trait. Starting at 3rd level, you can also cast the Locate Object spell with it. Once you cast either spell with this trait, you can't cast that spell with it again until you finish a long rest. Wisdom is your spellcasting ability for these spells."
25,human,Variant Human: Mark of Finding,Spells of the Mark,"If you have the Spellcasting or the Pact Magic class feature, the spells on the Mark of Finding Spells table are added to the spell list of your spellcasting class."
26,human,Variant Human: Mark of Finding,,"
Spell Level
Spells


1st
Faerie Fire, Longstrider


2nd
Locate Animals or Plants, Locate Object


3rd
Clairvoyance, Speak With Plants


4th
Divination, Locate Creature


5th
Commune With Nature

"
27,human,Variant Human: Mark of Handling,Ability Score Increase,"Your Wisdom score increases by 2, and one other ability score of your choice increases by 1."
28,human,Variant Human: Mark of Handling,Age,Humans reach adulthood in their late teens and live less than a century.
29,human,Variant Human: Mark of Handling,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.
30,human,Variant Human: Mark of Handling,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium."
31,human,Variant Human: Mark of Handling,Speed,Your base walking speed is 30 feet.
32,human,Variant Human: Mark of Handling,Languages,"You can speak, read, and write Common and Goblin."
33,human,Variant Human: Mark of Handling,Skills,You gain proficiency in one skill of your choice.
34,human,Variant Human: Mark of Handling,Feat,You gain one feat of your choice.
35,human,Variant Human: Mark of Handling,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
36,human,Variant Human: Mark of Handling,Hunter's Intuition,"When you make a Wisdom (Perception) or Wisdom (Survival) check, you can roll a d4 and add the number rolled to the ability check."
37,human,Variant Human: Mark of Handling,Finder's Magic,"You can cast the Hunter's Mark spell with this trait. Starting at 3rd level, you can also cast the Locate Object spell with it. Once you cast either spell with this trait, you can't cast that spell with it again until you finish a long rest. Wisdom is your spellcasting ability for these spells."
38,human,Variant Human: Mark of Handling,Spells of the Mark,"If you have the Spellcasting or the Pact Magic class feature, the spells on the Mark of Handling Spells table are added to the spell list of your spellcasting class."
39,human,Variant Human: Mark of Handling,,"
Spell Level
Spells


1st
Animal Friendship, Speak with Animals


2nd
Beast Sense, Calm Emotions


3rd
Beacon of Hope, Conjure Animals


4th
Aura of Life, Dominate Beast


5th
Awaken

"
40,human,Variant Human: Mark of Handling,Wild Intuition,"When you make a Wisdom (Animal Handling) or Intelligence (Nature) check, you can roll a d4 and add the number rolled to the ability check."
41,human,Variant Human: Mark of Handling,Primal Connection,"You can cast the Animal Friendship and Speak with Animals spells with this trait, requiring no material component. Once you cast either spell with this trait, you can't cast that spell with it again until you finish a short or long rest. Wisdom is your spellcasting ability for these spells."
42,human,Variant Human: Mark of Handling,The Bigger They Are,"Starting at 3rd level, you can target a beast or monstrosity when you cast Animal Friendship or Speak with Animals, provided the creature's Intelligence score is 3 or lower."
43,human,Variant Human: Mark of Making,Ability Score Increase,"Your Intelligence score increases by 2, and one other ability score of your choice increases by 1."
44,human,Variant Human: Mark of Making,Age,Humans reach adulthood in their late teens and live less than a century.
45,human,Variant Human: Mark of Making,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.
46,human,Variant Human: Mark of Making,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium."
47,human,Variant Human: Mark of Making,Speed,Your base walking speed is 30 feet.
48,human,Variant Human: Mark of Making,Languages,"You can speak, read, and write Common and Goblin."
49,human,Variant Human: Mark of Making,Skills,You gain proficiency in one skill of your choice.
50,human,Variant Human: Mark of Making,Feat,You gain one feat of your choice.
51,human,Variant Human: Mark of Making,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
52,human,Variant Human: Mark of Making,Hunter's Intuition,"When you make a Wisdom (Perception) or Wisdom (Survival) check, you can roll a d4 and add the number rolled to the ability check."
53,human,Variant Human: Mark of Making,Finder's Magic,"You can cast the Hunter's Mark spell with this trait. Starting at 3rd level, you can also cast the Locate Object spell with it. Once you cast either spell with this trait, you can't cast that spell with it again until you finish a long rest. Wisdom is your spellcasting ability for these spells."
54,human,Variant Human: Mark of Making,Spells of the Mark,"If you have the Spellcasting or
the Pact Magic class feature, the spells on the Mark of Making Spells table are added to the spell list of your spellcasting class."
55,human,Variant Human: Mark of Making,,"
Spell Level
Spells


1st
Identify, Tenser's Floating Disk


2nd
Continual Flame, Magic Weapon


3rd
Conjure barrage, Elemental Weapon


4th
Fabricate, Stone Shape


5th
Creation

"
