,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,human,human,Ability Score Increase,Your ability scores each increase by 1.,humain,humain,Augmentation du score de capacité,Vos scores de capacité augmentent chacun de 1.
1,human,human,Age,Humans reach adulthood in their late teens and live less than a century.,humain,humain,Âge,Les humains atteignent l’âge adulte à la fin de leur adolescence et vivent moins d’un siècle.
2,human,human,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.,humain,humain,Alignement,Les humains ne tendent vers aucun alignement particulier. Le meilleur et le pire se trouvent parmi eux.
3,human,human,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.",humain,humain,Taille,"Les humains varient considérablement en taille et en corpulence, allant d'à peine 1,50 m à plus de 1,80 m. Quelle que soit votre position dans cette fourchette, votre taille est moyenne."
4,human,human,Speed,Your base walking speed is 30 feet.,humain,humain,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,human,human,Languages,"You can speak, read, and write Common and one extra language of your choice. Humans typically learn the languages of other peoples they deal with, including obscure dialects. They are fond of sprinkling their speech with words borrowed from other tongues: Orc curses, Elvish musical expressions, Dwarvish military phrases, and so on.",humain,humain,Langues,"Vous pouvez parler, lire et écrire le commun et une langue supplémentaire de votre choix. Les humains apprennent généralement les langues des autres peuples avec lesquels ils traitent, y compris les dialectes obscurs. Ils aiment parsemer leur discours de mots empruntés à d'autres langues : malédictions orques, expressions musicales elfiques, phrases militaires naines, etc."
6,human,Variant Human,Ability Score Increase,Two different ability scores of your choice increase by 1.,humain,Variante humaine,Augmentation du score de capacité,Deux scores de capacité différents de votre choix augmentent de 1.
7,human,Variant Human,Age,Humans reach adulthood in their late teens and live less than a century.,humain,Variante humaine,Âge,Les humains atteignent l’âge adulte à la fin de leur adolescence et vivent moins d’un siècle.
8,human,Variant Human,Alignment,Humans tend toward no particular alignment. The best and the worst are found among them.,humain,Variante humaine,Alignement,Les humains ne tendent vers aucun alignement particulier. Le meilleur et le pire se trouvent parmi eux.
9,human,Variant Human,Size,"Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.",humain,Variante humaine,Taille,"Les humains varient considérablement en taille et en corpulence, allant d'à peine 1,50 m à plus de 1,80 m. Quelle que soit votre position dans cette fourchette, votre taille est moyenne."
10,human,Variant Human,Speed,Your base walking speed is 30 feet.,humain,Variante humaine,Vitesse,Votre vitesse de marche de base est de 30 pieds.
11,human,Variant Human,Languages,"You can speak, read, and write Common and one extra language of your choice. Humans typically learn the languages of other peoples they deal with, including obscure dialects. They are fond of sprinkling their speech with words borrowed from other tongues: Orc curses, Elvish musical expressions, Dwarvish military phrases, and so on.",humain,Variante humaine,Langues,"Vous pouvez parler, lire et écrire le commun et une langue supplémentaire de votre choix. Les humains apprennent généralement les langues des autres peuples avec lesquels ils traitent, y compris les dialectes obscurs. Ils aiment parsemer leur discours de mots empruntés à d'autres langues : malédictions orques, expressions musicales elfiques, phrases militaires naines, etc."
12,human,Variant Human,Skills,You gain proficiency in one skill of your choice.,humain,Variante humaine,Compétences,Vous acquérez la maîtrise d’une compétence de votre choix.
13,human,Variant Human,Feat,You gain one feat of your choice.,humain,Variante humaine,Exploit,Vous gagnez un exploit de votre choix.
14,human,Variant Human: Mark of Finding,Ability Score Increase,"Your Wisdom score increases by 2, and your Constitution score increases by 1.",humain,Variante humaine : Marque de découverte,Augmentation du score de capacité,Votre score de Sagesse augmente de 2 et votre score de Constitution augmente de 1.
15,human,Variant Human: Mark of Finding,Age,Humans reach adulthood in their late teens and live less than a century.,humain,Variante humaine : Marque de découverte,Âge,Les humains atteignent l’âge adulte à la fin de leur adolescence et vivent moins d’un siècle.
