,race,subrace,section,content
0,jerbeen,jerbeen,Ability Score Increase,"Your Dexterity increases by 2, and your Charisma score increases by 1."
1,jerbeen,jerbeen,Age,"Jerbeens grow quickly, reaching maturity around 5 years. They are the shortest lived of all the humblefolk races, living just about 40 years."
2,jerbeen,jerbeen,Alignment,"Being small and facing many threats in the world, jerbeens are sensitive to the feelings of others, and tend towards good alignments. They also lean more towards lawful alignments due to their co-operative nature."
3,jerbeen,jerbeen,Size,"Jerbeens have incredibly small and light bodies, standing between 2 and 3 feet tall, and weighing between 20 and 40 pounds. Your size is Small."
4,jerbeen,jerbeen,Speed,Your base walking speed is 30 feet.
5,jerbeen,jerbeen,Standing Leap,"Your base long jump is 30 feet, and your base high jump is 15 feet, with or without a running start."
6,jerbeen,jerbeen,Nimbleness,You can move through the space of any creature that is of a size larger than yours.
7,jerbeen,jerbeen,Take Heart,You have advantage on Strength saving throws and saving throws against being frightened as long as you are within 5 feet of an ally who isn’t frightened or incapacitated that you can both see and hear.
8,jerbeen,jerbeen,Team Tactics,You can use the Help action as a bonus action.
9,jerbeen,jerbeen,Languages,"You can speak, read, and write Birdfolk and Jerbeen."
