,race,subrace,section,content
0,kalashtar,kalashtar,Ability Score Increase,"Your Wisdom score increases by 2, and your Charisma score increases by 1."
1,kalashtar,kalashtar,Age,Kalashtar mature and age at the same rate as humans.
2,kalashtar,kalashtar,Alignment,"The noble spirit tied to a kalashtar drives it toward lawful and good behavior. Most kalashtar combine strong self-discipline with compassion for all beings, but some kalashtar resist the virtuous influence of their spirit."
3,kalashtar,kalashtar,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d6 Height = 5 feet + 4 inches + your size modifier in inches Weight in pounds = 110 + (1d6 x your size modifier)"
4,kalashtar,kalashtar,Speed,Your base walking speed is 30 feet.
5,kalashtar,kalashtar,Dual Mind,You have advantage on all Wisdom saving throws.
6,kalashtar,kalashtar,Mental Discipline,You have resistance to psychic damage.
7,kalashtar,kalashtar,Mind Link,"You can speak telepathically to any creature you can see, provided the creature is within a number of feet of you equal to 10 times your level. You don't need to share a language with the creature for it to understand your telepathic utterances, but the creature must be able to understand at least one language."
8,kalashtar,kalashtar,Severed from Dreams,"Kalashtar sleep, but they don't connect to the plane of dreams as other creatures do. Instead, their minds draw from the memories of their otherworldly spirit while they sleep. As such, you are immune to spells and other magical effects that require you to dream, like Dream, but not to spells and other magical effects that put you to sleep, like Sleep."
9,kalashtar,kalashtar,Languages,"You can speak, read, and write Common, Quori, and one other language of your choice."
