,race,subrace,section,content
0,kobold,Kobold Traits,Ability Score Increase,"Your Strength score decreases by 2, and your Dexterity increases by 2."
1,kobold,Kobold Traits,Age,Kobolds reach adulthood at age 6 and can live up to 120 years but rarely do so.
2,kobold,Kobold Traits,Alignment,"Kobolds are fundamentally selfish, making them evil, but their reliance on the strength of their group makes them trend toward law."
3,kobold,Kobold Traits,Size,"Kobolds are between 2 and 3 feet tall and weigh between 25 and 35 pounds. Your size is Small. Your height is 2'1"" with a modifier of +2d4. Your weight is 25 lbs. with a modifier of +(height roll) x 1."
4,kobold,Kobold Traits,Speed,Your base walking speed is 30 feet.
5,kobold,Kobold Traits,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
6,kobold,Kobold Traits,"Grovel, Cower, and Beg","As an action on your turn, you can cower pathetically to distract nearby foes. Until the end of your next turn, your allies gain advantage on attack rolls against enemies within 10 feet of you that you can see. Once you use this trait, you can't use it again until you finish a short or long rest."
7,kobold,Kobold Traits,Pack Tactics,You have advantage on an attack roll against a creature if at least one of your allies is within 5 feet of the creature and the ally isn't incapacitated.
8,kobold,Kobold Traits,Sunlight Sensitivity,"You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight."
9,kobold,Kobold Traits,Languages,You can read and write Common and Draconic.
10,kobold,Kobold MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
11,kobold,Kobold MPMM,Age,Kobolds reach adulthood at age 6 and can live up to 120 years but rarely do so.
12,kobold,Kobold MPMM,Alignment,"Kobolds are fundamentally selfish, making them evil, but their reliance on the strength of their group makes them trend toward law."
13,kobold,Kobold MPMM,Size,Small
14,kobold,Kobold MPMM,Speed,30 ft.
15,kobold,Kobold MPMM,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were in dim light. You discern colors in that darkness only as shades of gray."
16,kobold,Kobold MPMM,"Grovel, Cower, and Beg","As an action on your turn, you can cower pathetically to distract nearby foes. Until the end of your next turn, your allies gain advantage on attack rolls against enemies within 10 feet of you that you can see. Once you use this trait, you can't use it again until you finish a short or long rest."
17,kobold,Kobold MPMM,Pack Tactics,You have advantage on an attack roll against a creature if at least one of your allies is within 5 feet of the creature and the ally isn't incapacitated.
18,kobold,Kobold MPMM,Sunlight Sensitivity,"You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight."
19,kobold,Kobold MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
20,kobold,Kobold MPMM,Draconic Cry,"As a bonus action, you let out a cry at your enemies within 10 feet of you. Until the start of your next turn, you and your allies have advantage on attack rolls against any of those enemies who could hear you. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
21,kobold,Kobold MPMM,Kobold Legacy,Kobold's connections to dragons can manifest in unpredictable ways in an individual kobold. Choose one of the following legacy options for your kobold.
