,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,kobold,Kobold Traits,Ability Score Increase,"Your Strength score decreases by 2, and your Dexterity increases by 2.",kobold,Traits des Kobolds,Augmentation du score de capacité,Votre score de Force diminue de 2 et votre Dextérité augmente de 2.
1,kobold,Kobold Traits,Age,Kobolds reach adulthood at age 6 and can live up to 120 years but rarely do so.,kobold,Traits des Kobolds,Âge,"Les Kobolds atteignent l'âge adulte à 6 ans et peuvent vivre jusqu'à 120 ans, mais c'est rare."
2,kobold,Kobold Traits,Alignment,"Kobolds are fundamentally selfish, making them evil, but their reliance on the strength of their group makes them trend toward law.",kobold,Traits des Kobolds,Alignement,"Les Kobolds sont fondamentalement égoïstes, ce qui les rend mauvais, mais leur dépendance à la force de leur groupe les pousse à se tourner vers la loi."
3,kobold,Kobold Traits,Size,"Kobolds are between 2 and 3 feet tall and weigh between 25 and 35 pounds. Your size is Small. Your height is 2'1"" with a modifier of +2d4. Your weight is 25 lbs. with a modifier of +(height roll) x 1.",kobold,Traits des Kobolds,Taille,"Les Kobolds mesurent entre 2 et 3 pieds de haut et pèsent entre 25 et 35 livres. Votre taille est S. Votre taille est de 2'1"" avec un modificateur de +2d4. Votre poids est de 25 livres avec un modificateur de +(jet de taille) x 1."
4,kobold,Kobold Traits,Speed,Your base walking speed is 30 feet.,kobold,Traits des Kobolds,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,kobold,Kobold Traits,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",kobold,Traits des Kobolds,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,kobold,Kobold Traits,"Grovel, Cower, and Beg","As an action on your turn, you can cower pathetically to distract nearby foes. Until the end of your next turn, your allies gain advantage on attack rolls against enemies within 10 feet of you that you can see. Once you use this trait, you can't use it again until you finish a short or long rest.",kobold,Traits des Kobolds,"Ramper, se recroqueviller et supplier","En tant qu'action pendant votre tour, vous pouvez vous recroqueviller pathétiquement pour distraire les ennemis proches. Jusqu'à la fin de votre prochain tour, vos alliés bénéficient d'un avantage sur les jets d'attaque contre les ennemis à 3 mètres ou moins de vous que vous pouvez voir. Une fois que vous avez utilisé ce trait, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
7,kobold,Kobold Traits,Pack Tactics,You have advantage on an attack roll against a creature if at least one of your allies is within 5 feet of the creature and the ally isn't incapacitated.,kobold,Traits des Kobolds,Tactiques de meute,"Vous avez l'avantage sur un jet d'attaque contre une créature si au moins un de vos alliés se trouve à 1,50 mètre ou moins de la créature et que l'allié n'est pas neutralisé."
8,kobold,Kobold Traits,Sunlight Sensitivity,"You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight.",kobold,Traits des Kobolds,Sensibilité au soleil,"Vous avez un désavantage sur les jets d'attaque et sur les tests de Sagesse (Perception) qui reposent sur la vue lorsque vous, la cible de votre attaque, ou ce que vous essayez de percevoir, êtes en plein soleil."
9,kobold,Kobold Traits,Languages,You can read and write Common and Draconic.,kobold,Traits des Kobolds,Langues,Vous pouvez lire et écrire le commun et le draconique.
10,kobold,Kobold MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",kobold,Kobold MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
11,kobold,Kobold MPMM,Age,Kobolds reach adulthood at age 6 and can live up to 120 years but rarely do so.,kobold,Kobold MPMM,Âge,"Les Kobolds atteignent l'âge adulte à 6 ans et peuvent vivre jusqu'à 120 ans, mais c'est rare."
12,kobold,Kobold MPMM,Alignment,"Kobolds are fundamentally selfish, making them evil, but their reliance on the strength of their group makes them trend toward law.",kobold,Kobold MPMM,Alignement,"Les Kobolds sont fondamentalement égoïstes, ce qui les rend mauvais, mais leur dépendance à la force de leur groupe les pousse à se tourner vers la loi."
13,kobold,Kobold MPMM,Size,Small,kobold,Kobold MPMM,Taille,Petit
14,kobold,Kobold MPMM,Speed,30 ft.,kobold,Kobold MPMM,Vitesse,30 pieds
15,kobold,Kobold MPMM,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were in dim light. You discern colors in that darkness only as shades of gray.",kobold,Kobold MPMM,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris."
16,kobold,Kobold MPMM,"Grovel, Cower, and Beg","As an action on your turn, you can cower pathetically to distract nearby foes. Until the end of your next turn, your allies gain advantage on attack rolls against enemies within 10 feet of you that you can see. Once you use this trait, you can't use it again until you finish a short or long rest.",kobold,Kobold MPMM,"Ramper, se recroqueviller et supplier","En tant qu'action pendant votre tour, vous pouvez vous recroqueviller pathétiquement pour distraire les ennemis proches. Jusqu'à la fin de votre prochain tour, vos alliés bénéficient d'un avantage sur les jets d'attaque contre les ennemis à 3 mètres ou moins de vous que vous pouvez voir. Une fois que vous avez utilisé ce trait, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
17,kobold,Kobold MPMM,Pack Tactics,You have advantage on an attack roll against a creature if at least one of your allies is within 5 feet of the creature and the ally isn't incapacitated.,kobold,Kobold MPMM,Tactiques de meute,"Vous avez l'avantage sur un jet d'attaque contre une créature si au moins un de vos alliés se trouve à 1,50 mètre ou moins de la créature et que l'allié n'est pas neutralisé."
18,kobold,Kobold MPMM,Sunlight Sensitivity,"You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight.",kobold,Kobold MPMM,Sensibilité au soleil,"Vous avez un désavantage sur les jets d'attaque et sur les tests de Sagesse (Perception) qui reposent sur la vue lorsque vous, la cible de votre attaque, ou ce que vous essayez de percevoir, êtes en plein soleil."
19,kobold,Kobold MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",kobold,Kobold MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
