,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,lizardfolk,lizardfolk,Ability Score Increase,"Your Constitution score increases by 2, and your Wisdom score increases by 1.",hommes-lézards,hommes-lézards,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et votre score de Sagesse augmente de 1.
1,lizardfolk,lizardfolk,Age,Lizardfolk reach maturity around age 14 and rarely live longer than 60 years.,hommes-lézards,hommes-lézards,Âge,Les hommes-lézards atteignent la maturité vers l'âge de 14 ans et vivent rarement plus de 60 ans.
2,lizardfolk,lizardfolk,Alignment,"Most lizardfolk are neutral. They see the world as a place of predators and prey, where life and death are natural processes. They wish only to survive, and prefer to leave other creatures to their own devices.",hommes-lézards,hommes-lézards,Alignement,"La plupart des hommes-lézards sont neutres. Ils voient le monde comme un lieu de prédateurs et de proies, où la vie et la mort sont des processus naturels. Ils ne souhaitent que survivre et préfèrent laisser les autres créatures se débrouiller seules."
3,lizardfolk,lizardfolk,Size,"Lizardfolk are a little bulkier and taller than humans, and their colorful frills make them appear even larger. Your size is Medium. Your height is 4'9"" with a modifier of +2d10. Your weight is 120 lbs. with a modifier of +(height roll) x 2d6.",hommes-lézards,hommes-lézards,Taille,"Les hommes-lézards sont un peu plus gros et plus grands que les humains, et leurs volants colorés les font paraître encore plus grands. Votre taille est M. Votre taille est de 1,45 m avec un modificateur de +2d10. Votre poids est de 54 kg avec un modificateur de +(jet de taille) x 2d6."
4,lizardfolk,lizardfolk,Speed,"Your base walking speed is 30 feet, and you have a swimming speed of 30 feet.",hommes-lézards,hommes-lézards,Vitesse,Votre vitesse de marche de base est de 30 pieds et vous avez une vitesse de nage de 30 pieds.
5,lizardfolk,lizardfolk,Bite,"Your fanged maw is a natural weapon, which you can use to make unarmed strikes. If you hit with it, you deal piercing damage equal to 1d6 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike.",hommes-lézards,hommes-lézards,Mordre,"Votre gueule à crocs est une arme naturelle que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous frappez avec elle, vous infligez des dégâts perforants égaux à 1d6 + votre modificateur de Force, au lieu des dégâts contondants normaux pour une attaque à mains nues."
6,lizardfolk,lizardfolk,Cunning Artisan,"As part of a short rest, you can harvest bone and hide from a slain beast, construct, dragon, monstrosity, or plant creature of size small or larger to create one of the following items: a shield, a club, a javelin, or 1d4 darts or blowgun needles. To use this trait, you need a blade, such as a dagger, or appropriate artisan's tools, such as leatherworker's tools.",hommes-lézards,hommes-lézards,Artisan rusé,"Dans le cadre d'un repos court, vous pouvez récolter des os et de la peau d'une créature animale, artificielle, dragon, monstruosité ou végétale tuée de petite ou grande taille pour créer l'un des objets suivants : un bouclier, une massue, un javelot ou 1d4 fléchettes ou aiguilles de sarbacane. Pour utiliser cette aptitude, vous avez besoin d'une lame, comme une dague, ou d'outils d'artisan appropriés, comme des outils de maroquinier."
7,lizardfolk,lizardfolk,Hold Breath,You can hold your breath for up to 15 minutes at a time.,hommes-lézards,hommes-lézards,Retenir son souffle,Vous pouvez retenir votre souffle jusqu’à 15 minutes d’affilée.
8,lizardfolk,lizardfolk,Hunter's Lore,"You gain proficiency with two of the following skills of your choice: Animal Handling, Nature, Perception, Stealth, and Survival.",hommes-lézards,hommes-lézards,Connaissance du chasseur,"Vous acquérez la maîtrise de deux des compétences suivantes de votre choix : Dressage d'animaux, Nature, Perception, Furtivité et Survie."
9,lizardfolk,lizardfolk,Natural Armor,"You have tough, scaly skin. When you aren't wearing armor, your AC is 13 + your Dexterity modifier. You can use your natural armor to determine your AC if the armor you wear would leave you with a lower AC. A shield's benefits apply as normal while you use your natural armor.",hommes-lézards,hommes-lézards,Armure naturelle,"Vous avez une peau résistante et écailleuse. Lorsque vous ne portez pas d'armure, votre CA est de 13 + votre modificateur de Dextérité. Vous pouvez utiliser votre armure naturelle pour déterminer votre CA si l'armure que vous portez vous laisse avec une CA inférieure. Les avantages d'un bouclier s'appliquent normalement lorsque vous utilisez votre armure naturelle."
