,race,subrace,section,content
0,locathah,locathah,Ability Score Increase,Your Strength score increases by 2 and your Dexterity score increases by 1.
1,locathah,locathah,Age,Locathah mature to adulthood by the age of 10 but have been known to live up to 80 years.
2,locathah,locathah,Alignment,"Most locathah are true neutral or have some aspect of neutrality in their alignment. They tend toward good, coming from a culture where compassion for the downtrodden is a commonality."
3,locathah,locathah,Natural Armor,"You have tough, scaly skin. When you aren’t wearing armor, your AC is 12 + your Dexterity modifier. You can use your natural armor to determine your AC if the armor you wear would leave you with a lower AC. A shield’s benefits apply as normal while you use your natural armor."
4,locathah,locathah,Observant & Athletic,You have proficiency in the Athletics and Perception skills.
5,locathah,locathah,Leviathan Will,"You have advantage on saving throws against being charmed, frightened, paralyzed, poisoned, stunned, or put to sleep."
6,locathah,locathah,Limited Amphibiousness,"You can breathe air and water, but you need to be submerged at least once every 4 hours to avoid suffocating."
7,locathah,locathah,Size,Locathah stand between 5 and 6 feet tall and average about 150 pounds. Your size is Medium.
8,locathah,locathah,Speed,"Your base walking speed is 30 feet, and you have a swim speed of 30 feet."
9,locathah,locathah,Languages,"You can speak, read, and write Aquan and Common."
