,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,mapach,mapach,Age,"Mapachs mature quickly, reaching adulthood around 8 years. Despite this they have fairly average lifespans, the oldest among them living just past 60 years.",carte,carte,Âge,"Les Mapachs atteignent rapidement l'âge adulte vers l'âge de 8 ans. Malgré cela, leur espérance de vie est assez moyenne, les plus âgés d'entre eux vivant à peine plus de 60 ans."
1,mapach,mapach,Alignment,"Mapachs don’t favor good over evil, with most choosing to remain neutral. They also lean towards the freedom of chaotic alignments.",carte,carte,Alignement,"Les Mapachs ne privilégient pas le bien au détriment du mal, la plupart d'entre eux choisissant de rester neutres. Ils penchent également pour la liberté des alignements chaotiques."
2,mapach,mapach,Size,"Mapachs stand between 4 and 5 feet tall, and encompass a variety of builds from svelt to wide, weighing between 90 and 160 pounds. Your size is Medium.",carte,carte,Taille,"Les Mapachs mesurent entre 1,20 et 1,50 mètre et sont de corpulence variée, de svelte à large, pesant entre 40 et 73 kilos. Votre taille est M."
3,mapach,mapach,Speed,Your base walking speed is 30 feet.,carte,carte,Vitesse,Votre vitesse de marche de base est de 30 pieds.
4,mapach,mapach,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",carte,carte,Vision dans le noir,"Vous pouvez voir dans une faible luminosité à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
5,mapach,mapach,Expert Climbers,You have a climb speed of 20 feet.,carte,carte,Grimpeurs experts,Vous avez une vitesse de montée de 20 pieds.
6,mapach,mapach,Resilience,You have advantage on saving throws against poison and resistance against poison damage.,carte,carte,Résilience,Vous bénéficiez d'un avantage aux jets de sauvegarde contre le poison et d'une résistance aux dégâts du poison.
7,mapach,mapach,Scroungecraft,"You are proficient with tinker’s tools. Additionally, you have the ability to construct crude but functional versions of common items using materials present in your surroundings. You may spend 10 minutes to craft these materials into any tool or piece of adventuring gear worth 30 gold pieces or less. The item will be completely functional, even capable of passing for a disguise (if you crafted an article of clothing). Tools, along with any other item that would logically break on its first use (caltrops, arrows), will become useless afterward. Scroungecrafted items will otherwise last 1 hour before falling apart.",carte,carte,Artisanat de scrounge,"Vous maîtrisez les outils de bricolage. De plus, vous avez la capacité de construire des versions rudimentaires mais fonctionnelles d'objets courants en utilisant des matériaux présents dans votre environnement. Vous pouvez passer 10 minutes à fabriquer ces matériaux pour en faire n'importe quel outil ou pièce d'équipement d'aventurier valant 30 pièces d'or ou moins. L'objet sera entièrement fonctionnel, et pourra même passer pour un déguisement (si vous avez fabriqué un vêtement). Les outils, ainsi que tout autre objet qui se briserait logiquement lors de sa première utilisation (chausse-trappes, flèches), deviendront inutiles par la suite. Les objets fabriqués à la sauvette dureront sinon 1 heure avant de tomber en morceaux."
8,mapach,mapach,Skulker,You have advantage on Stealth checks made in dim light and darkness.,carte,carte,Rôdeur,Vous bénéficiez d'un avantage sur les tests de furtivité effectués dans la pénombre et l'obscurité.
9,mapach,mapach,Languages,"You can speak, read, and write Birdfolk and Mapach.",carte,carte,Langues,"Vous pouvez parler, lire et écrire le Birdfolk et le Mapach."
