,race,subrace,section,content
0,minotaur,minotaur,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
1,minotaur,minotaur,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments."
2,minotaur,minotaur,Size,"Minotaurs average over 6 feet in height, and they have stocky builds. Your size is Medium."
3,minotaur,minotaur,Speed,Your base walking speed is 30 feet.
4,minotaur,minotaur,Horns,"Your horns are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal piercing damage equal to 1d6 +your Strength modifier. instead of the bludgeoning damage normal for an unarmed strike."
5,minotaur,minotaur,Goring Rush,"Immediately after you use the Dash action on your turn and move at least 20 feet, you can make one melee attack with your horns as a bonus action."
6,minotaur,minotaur,Hammering Horns,"Immediately after you hit a creature with a melee attack as part of the Attack action on your turn, you can use a bonus action to attempt to shove that target with your horns. The target must be no more than one size larger than you and within 5 feet of you. Unless it succeeds on a Strength saving throw against a DC equal to 8 + your proficiency bonus+ your Strength modifier, you push it up to 10 feet away from you."
7,minotaur,minotaur,Imposing Presence,You have proficiency in one of the following skills of your choice: Intimidation or Persuasion.
8,minotaur,minotaur,Languages,"You can speak, read, and write Common and Minotaur."
9,minotaur,Myth of Mogis and the Minotaurs,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
10,minotaur,Myth of Mogis and the Minotaurs,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments."
11,minotaur,Myth of Mogis and the Minotaurs,Size,"Minotaurs average over 6 feet in height, and they have stocky builds. Your size is Medium."
12,minotaur,Myth of Mogis and the Minotaurs,Speed,Your base walking speed is 30 feet.
13,minotaur,Myth of Mogis and the Minotaurs,Horns,"Your horns are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal piercing damage equal to 1d6 +your Strength modifier. instead of the bludgeoning damage normal for an unarmed strike."
14,minotaur,Myth of Mogis and the Minotaurs,Goring Rush,"Immediately after you use the Dash action on your turn and move at least 20 feet, you can make one melee attack with your horns as a bonus action."
15,minotaur,Myth of Mogis and the Minotaurs,Hammering Horns,"Immediately after you hit a creature with a melee attack as part of the Attack action on your turn, you can use a bonus action to attempt to shove that target with your horns. The target must be no more than one size larger than you and within 5 feet of you. Unless it succeeds on a Strength saving throw against a DC equal to 8 + your proficiency bonus+ your Strength modifier, you push it up to 10 feet away from you."
16,minotaur,Myth of Mogis and the Minotaurs,Imposing Presence,You have proficiency in one of the following skills of your choice: Intimidation or Persuasion.
17,minotaur,Myth of Mogis and the Minotaurs,Languages,"You can speak, read, and write Common and Minotaur."
18,minotaur,Minotaur namesake,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
19,minotaur,Minotaur namesake,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments."
20,minotaur,Minotaur namesake,Size,"Minotaurs average over 6 feet in height, and they have stocky builds. Your size is Medium."
21,minotaur,Minotaur namesake,Speed,Your base walking speed is 30 feet.
22,minotaur,Minotaur namesake,Horns,"Your horns are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal piercing damage equal to 1d6 +your Strength modifier. instead of the bludgeoning damage normal for an unarmed strike."
23,minotaur,Minotaur namesake,Goring Rush,"Immediately after you use the Dash action on your turn and move at least 20 feet, you can make one melee attack with your horns as a bonus action."
24,minotaur,Minotaur namesake,Hammering Horns,"Immediately after you hit a creature with a melee attack as part of the Attack action on your turn, you can use a bonus action to attempt to shove that target with your horns. The target must be no more than one size larger than you and within 5 feet of you. Unless it succeeds on a Strength saving throw against a DC equal to 8 + your proficiency bonus+ your Strength modifier, you push it up to 10 feet away from you."
25,minotaur,Minotaur namesake,Imposing Presence,You have proficiency in one of the following skills of your choice: Intimidation or Persuasion.
26,minotaur,Minotaur namesake,Languages,"You can speak, read, and write Common and Minotaur."
27,minotaur,Minotaur namesake,,"
d8
Ancestor's Qualities


1
My namesake defeated a massive enemy.


2
My namesake was known for fierce devotion to a god.


3
My namesake was a respected leader of other warriors.


4
My namesake ran the entire breadth of Phoberos in order to warn the minotaurs of an Akroan attack.


5
My namesake was famous for great magical ability.


6
My namesake was a hero's devoted companion.


7
My namesake is remembered for incredible generosity.


8
My namesake was a great oracle.

"
28,minotaur,Minotaur MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
29,minotaur,Minotaur MPMM,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments."
30,minotaur,Minotaur MPMM,Size,Medium
31,minotaur,Minotaur MPMM,Speed,30 ft.
32,minotaur,Minotaur MPMM,Horns,"You have horns that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier piercing damage, instead of the bludgeoning damage normal for an unarmed strike."
33,minotaur,Minotaur MPMM,Goring Rush,"Immediately after you take the Dash action on your turn and move at least 20 feet, you can make one melee attack with your Horns as a bonus action."
34,minotaur,Minotaur MPMM,Hammering Horns,"Immediately after you hit a creature with a melee attack as part of the Attack action on your turn, you can use a bonus action to attempt to push that target with your horns. The target must be within 5 feet of you and no more than one size larger than you. Unless it succeeds on a Strength saving throw against a DC equal to 8 + your proficiency bonus + your Strength modifier, you can push it up to 10 feet away from you."
35,minotaur,Minotaur MPMM,Imposing Presence,You have proficiency in one of the following skills of your choice: Intimidation or Persuasion.
36,minotaur,Minotaur MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
37,minotaur,Minotaur MPMM,,"
d8
Ancestor's Qualities


1
My namesake defeated a massive enemy.


2
My namesake was known for fierce devotion to a god.


3
My namesake was a respected leader of other warriors.


4
My namesake ran the entire breadth of Phoberos in order to warn the minotaurs of an Akroan attack.


5
My namesake was famous for great magical ability.


6
My namesake was a hero's devoted companion.


7
My namesake is remembered for incredible generosity.


8
My namesake was a great oracle.

"
38,minotaur,Minotaur MPMM,Labyrinthine Recall,"You always know which direction is north, and you have advantage on any Wisdom (Survival) check you make to navigate or track."
