,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,minotaur,minotaur,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",minotaure,minotaure,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.
1,minotaur,minotaur,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments.",minotaure,minotaure,Alignement,"La plupart des minotaures qui rejoignent la Légion de Boros penchent vers des alignements légaux, tandis que ceux associés au Culte de Rakdos ou aux Clans Gruul tendent vers des alignements chaotiques."
2,minotaur,minotaur,Size,"Minotaurs average over 6 feet in height, and they have stocky builds. Your size is Medium.",minotaure,minotaure,Taille,"Les minotaures mesurent en moyenne plus de 1,80 m de haut et sont trapus. Votre taille est M."
3,minotaur,minotaur,Speed,Your base walking speed is 30 feet.,minotaure,minotaure,Vitesse,Votre vitesse de marche de base est de 30 pieds.
4,minotaur,minotaur,Horns,"Your horns are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal piercing damage equal to 1d6 +your Strength modifier. instead of the bludgeoning damage normal for an unarmed strike.",minotaure,minotaure,Cornes,"Vos cornes sont des armes de mêlée naturelles, que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous frappez avec elles, vous infligez des dégâts perforants égaux à 1d6 + votre modificateur de Force, au lieu des dégâts contondants normaux pour une attaque à mains nues."
5,minotaur,minotaur,Goring Rush,"Immediately after you use the Dash action on your turn and move at least 20 feet, you can make one melee attack with your horns as a bonus action.",minotaure,minotaure,Ruée vers l'or,"Immédiatement après avoir utilisé l'action Dash pendant votre tour et vous être déplacé d'au moins 20 pieds, vous pouvez effectuer une attaque au corps à corps avec vos cornes en tant qu'action bonus."
6,minotaur,minotaur,Hammering Horns,"Immediately after you hit a creature with a melee attack as part of the Attack action on your turn, you can use a bonus action to attempt to shove that target with your horns. The target must be no more than one size larger than you and within 5 feet of you. Unless it succeeds on a Strength saving throw against a DC equal to 8 + your proficiency bonus+ your Strength modifier, you push it up to 10 feet away from you.",minotaure,minotaure,Cornes de marteau,"Immédiatement après avoir touché une créature avec une attaque au corps à corps dans le cadre de l'action Attaquer de votre tour, vous pouvez utiliser une action bonus pour tenter de pousser cette cible avec vos cornes. La cible ne doit pas être plus grande que vous d'une taille et se trouver à 1,50 mètre ou moins de vous. À moins qu'elle ne réussisse un jet de sauvegarde de Force contre un DD égal à 8 + votre bonus de maîtrise + votre modificateur de Force, vous la poussez jusqu'à 3 mètres de vous."
7,minotaur,minotaur,Imposing Presence,You have proficiency in one of the following skills of your choice: Intimidation or Persuasion.,minotaure,minotaure,Présence imposante,"Vous maîtrisez l’une des compétences suivantes, de votre choix : Intimidation ou Persuasion."
8,minotaur,minotaur,Languages,"You can speak, read, and write Common and Minotaur.",minotaure,minotaure,Langues,"Vous pouvez parler, lire et écrire le commun et le minotaure."
9,minotaur,Myth of Mogis and the Minotaurs,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",minotaure,Le mythe de Mogis et des Minotaures,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.
10,minotaur,Myth of Mogis and the Minotaurs,Alignment,"Most minotaurs who join the Boros Legion lean toward lawful alignments, while those associated with the Cult of Rakdos or the Gruul Clans tend toward chaotic alignments.",minotaure,Le mythe de Mogis et des Minotaures,Alignement,"La plupart des minotaures qui rejoignent la Légion de Boros penchent vers des alignements légaux, tandis que ceux associés au Culte de Rakdos ou aux Clans Gruul tendent vers des alignements chaotiques."
11,minotaur,Myth of Mogis and the Minotaurs,Size,"Minotaurs average over 6 feet in height, and they have stocky builds. Your size is Medium.",minotaure,Le mythe de Mogis et des Minotaures,Taille,"Les minotaures mesurent en moyenne plus de 1,80 m de haut et sont trapus. Votre taille est M."
12,minotaur,Myth of Mogis and the Minotaurs,Speed,Your base walking speed is 30 feet.,minotaure,Le mythe de Mogis et des Minotaures,Vitesse,Votre vitesse de marche de base est de 30 pieds.
