,race,subrace,section,content
0,orc,orc,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1."
1,orc,orc,Age,"Orcs reach adulthood at age 16, and live up to 80 years."
2,orc,orc,Alignment,"Orcs fear the curse of ruin that is said to plague their race, and tend strongly toward either chaos (accepting their fate), or toward law (rejecting it)."
3,orc,orc,Size,"Orcs stand easily 8 feet tall and corded with powerful muscles, weighing up to 280 pounds. Your size is Medium.
Here's how to determine your height and weight randomly, starting with rolling a size modifier: Size modifier= 2d8 Height = 5 feet + 4 inches + your size modifier in inches Weight in pounds = 175 + (2d6 x your size modifier)"
4,orc,orc,Speed,Your base walking speed is 30 feet.
5,orc,orc,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
6,orc,orc,Aggressive,"As a bonus action, you can move up to your speed toward an enemy of your choice that you can see or hear. You must end this move closer to the enemy than you started."
7,orc,orc,Menacing,You are trained in the Intimidation skill.
8,orc,orc,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift."
9,orc,orc,Languages,"You can speak, read, and write Common and Orc."
10,orc,orc,Primal Intuition,"You have proficiency in two skills of your choice from the following list: Animal Handling, Insight, Intimidation, Medicine, Perception, and Survival."
11,orc,Orc MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
12,orc,Orc MPMM,Age,"Orcs reach adulthood at age 16, and live up to 80 years."
13,orc,Orc MPMM,Alignment,"Orcs fear the curse of ruin that is said to plague their race, and tend strongly toward either chaos (accepting their fate), or toward law (rejecting it)."
14,orc,Orc MPMM,Size,Medium
15,orc,Orc MPMM,Speed,30 ft.
16,orc,Orc MPMM,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray."
17,orc,Orc MPMM,Aggressive,"As a bonus action, you can move up to your speed toward an enemy of your choice that you can see or hear. You must end this move closer to the enemy than you started."
18,orc,Orc MPMM,Menacing,You are trained in the Intimidation skill.
19,orc,Orc MPMM,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift."
20,orc,Orc MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
21,orc,Orc MPMM,Primal Intuition,"You have proficiency in two skills of your choice from the following list: Animal Handling, Insight, Intimidation, Medicine, Perception, and Survival."
22,orc,Orc MPMM,Adrenaline Rush,"You can take the Dash action as a bonus action. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
23,orc,Orc MPMM,Relentless Endurance,"When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. Once you use this trait, you can't do so again until you finish a long rest."
