,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,orc,orc,Ability Score Increase,"Your Strength score increases by 2, and your Constitution score increases by 1.",orque,orque,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Constitution augmente de 1.
1,orc,orc,Age,"Orcs reach adulthood at age 16, and live up to 80 years.",orque,orque,Âge,Les orcs atteignent l'âge adulte à 16 ans et vivent jusqu'à 80 ans.
2,orc,orc,Alignment,"Orcs fear the curse of ruin that is said to plague their race, and tend strongly toward either chaos (accepting their fate), or toward law (rejecting it).",orque,orque,Alignement,"Les Orcs craignent la malédiction de la ruine qui frapperait leur race, et ont tendance à se tourner soit vers le chaos (en acceptant leur destin), soit vers la loi (en le rejetant)."
3,orc,orc,Size,"Orcs stand easily 8 feet tall and corded with powerful muscles, weighing up to 280 pounds. Your size is Medium.
Here's how to determine your height and weight randomly, starting with rolling a size modifier: Size modifier= 2d8 Height = 5 feet + 4 inches + your size modifier in inches Weight in pounds = 175 + (2d6 x your size modifier)",orque,orque,Taille,"Les orcs mesurent facilement 2,40 mètres de haut et sont dotés de muscles puissants, pesant jusqu'à 130 kg. Votre taille est moyenne.
Voici comment déterminer votre taille et votre poids au hasard, en commençant par lancer un modificateur de taille : Modificateur de taille = 2d8 Taille = 1,50 mètre + 10 cm + votre modificateur de taille en pouces Poids en livres = 79 kg + (2d6 x votre modificateur de taille)"
4,orc,orc,Speed,Your base walking speed is 30 feet.,orque,orque,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,orc,orc,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",orque,orque,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,orc,orc,Aggressive,"As a bonus action, you can move up to your speed toward an enemy of your choice that you can see or hear. You must end this move closer to the enemy than you started.",orque,orque,Agressif,"En tant qu'action bonus, vous pouvez vous déplacer jusqu'à votre vitesse vers un ennemi de votre choix que vous pouvez voir ou entendre. Vous devez terminer ce déplacement plus près de l'ennemi que vous avez commencé."
7,orc,orc,Menacing,You are trained in the Intimidation skill.,orque,orque,Menaçant,Vous êtes formé à la compétence Intimidation.
8,orc,orc,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",orque,orque,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
9,orc,orc,Languages,"You can speak, read, and write Common and Orc.",orque,orque,Langues,"Vous pouvez parler, lire et écrire le commun et l'orque."
10,orc,orc,Primal Intuition,"You have proficiency in two skills of your choice from the following list: Animal Handling, Insight, Intimidation, Medicine, Perception, and Survival.",orque,orque,Intuition primordiale,"Vous maîtrisez deux compétences de votre choix parmi la liste suivante : manipulation d'animaux, perspicacité, intimidation, médecine, perception et survie."
11,orc,Orc MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",orque,Orc MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
12,orc,Orc MPMM,Age,"Orcs reach adulthood at age 16, and live up to 80 years.",orque,Orc MPMM,Âge,Les orcs atteignent l'âge adulte à 16 ans et vivent jusqu'à 80 ans.
13,orc,Orc MPMM,Alignment,"Orcs fear the curse of ruin that is said to plague their race, and tend strongly toward either chaos (accepting their fate), or toward law (rejecting it).",orque,Orc MPMM,Alignement,"Les Orcs craignent la malédiction de la ruine qui frapperait leur race, et ont tendance à se tourner soit vers le chaos (en acceptant leur destin), soit vers la loi (en le rejetant)."
14,orc,Orc MPMM,Size,Medium,orque,Orc MPMM,Taille,Moyen
15,orc,Orc MPMM,Speed,30 ft.,orque,Orc MPMM,Vitesse,30 pieds
16,orc,Orc MPMM,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.",orque,Orc MPMM,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris."
17,orc,Orc MPMM,Aggressive,"As a bonus action, you can move up to your speed toward an enemy of your choice that you can see or hear. You must end this move closer to the enemy than you started.",orque,Orc MPMM,Agressif,"En tant qu'action bonus, vous pouvez vous déplacer jusqu'à votre vitesse vers un ennemi de votre choix que vous pouvez voir ou entendre. Vous devez terminer ce déplacement plus près de l'ennemi que vous avez commencé."
18,orc,Orc MPMM,Menacing,You are trained in the Intimidation skill.,orque,Orc MPMM,Menaçant,Vous êtes formé à la compétence Intimidation.
19,orc,Orc MPMM,Powerful Build,"You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.",orque,Orc MPMM,Construction puissante,"Vous comptez comme une taille plus grande lorsque vous déterminez votre capacité de charge et le poids que vous pouvez pousser, traîner ou soulever."
20,orc,Orc MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",orque,Orc MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
21,orc,Orc MPMM,Primal Intuition,"You have proficiency in two skills of your choice from the following list: Animal Handling, Insight, Intimidation, Medicine, Perception, and Survival.",orque,Orc MPMM,Intuition primordiale,"Vous maîtrisez deux compétences de votre choix parmi la liste suivante : manipulation d'animaux, perspicacité, intimidation, médecine, perception et survie."
22,orc,Orc MPMM,Adrenaline Rush,"You can take the Dash action as a bonus action. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",orque,Orc MPMM,Poussée d'adrénaline,"Vous pouvez effectuer l'action Flèche en tant qu'action bonus. Vous pouvez utiliser cette aptitude un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long."
23,orc,Orc MPMM,Relentless Endurance,"When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. Once you use this trait, you can't do so again until you finish a long rest.",orque,Orc MPMM,Endurance implacable,"Lorsque vous êtes réduit à 0 point de vie sans être tué sur le coup, vous pouvez redescendre à 1 point de vie à la place. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus le faire avant d'avoir terminé un repos long."
