,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,raptor,raptor,Ability Score Increase,Your Dexterity score increases by 2.,rapace,rapace,Augmentation du score de capacité,Votre score de Dextérité augmente de 2.
1,raptor,raptor,Age,"Raptors reach maturity around 20 years. They can live longer than any other birdfolk race, over 100 years.",rapace,rapace,Âge,"Les rapaces atteignent la maturité vers 20 ans. Ils peuvent vivre plus longtemps que n'importe quelle autre race d'oiseaux, plus de 100 ans."
2,raptor,raptor,Alignment,"Raptors tend towards neutral alignments. Preferring the path of naturalists and hunters, raptors rarely see value in order for the sake of order, and are often more pragmatic than idealistic.",rapace,rapace,Alignement,"Les rapaces ont tendance à adopter des alignements neutres. Préférant la voie des naturalistes et des chasseurs, les rapaces voient rarement l'intérêt de l'ordre pour le plaisir de l'ordre et sont souvent plus pragmatiques qu'idéalistes."
3,raptor,raptor,Size,"Raptors are lean, muscular hunters, but they stand less than 4 feet tall. Their light builds usually lend themselves to bodies that weigh far less than one would expect for their height, averaging around only 35 pounds. Your size is Small.",rapace,rapace,Taille,"Les rapaces sont des chasseurs minces et musclés, mais ils mesurent moins de 1,20 mètre. Leur silhouette légère leur permet généralement de peser bien moins que ce à quoi on pourrait s'attendre compte tenu de leur taille, avec une moyenne d'environ 16 kg seulement. Votre taille est S."
4,raptor,raptor,Speed,Your base walking speed is 25 feet.,rapace,rapace,Vitesse,Votre vitesse de marche de base est de 25 pieds.
5,raptor,raptor,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",rapace,rapace,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
6,raptor,raptor,Talons,"Your sharp claws aid you in unarmed combat andwhile climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",rapace,rapace,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
7,raptor,raptor,Keen Senses,You have proficiency in the Perception skill.,rapace,rapace,Sens aiguisés,Vous maîtrisez la compétence Perception.
8,raptor,raptor,Woodland Hunter,Your accuracy allows you to treat three-quarters cover as half cover and half cover as no cover.,rapace,rapace,Chasseur des bois,Votre précision vous permet de traiter les trois quarts de couverture comme une demi-couverture et la moitié de couverture comme aucune couverture.
9,raptor,raptor,Hunter’s Training,"You have proficiency with the longbow, short bow, and spear. Additionally, your familiarity with the longbow means that it is not considered a heavy weapon for you.",rapace,rapace,Formation de chasseur,"Vous maîtrisez l'arc long, l'arc court et la lance. De plus, votre familiarité avec l'arc long signifie qu'il n'est pas considéré comme une arme lourde pour vous."
10,raptor,raptor,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",rapace,rapace,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
11,raptor,raptor,Subrace,There are two main subraces of raptor: mistral and maran. Choose one of these subraces.,rapace,rapace,Sous-race,Il existe deux sous-races principales de rapaces : le mistral et le maran. Choisissez l'une de ces sous-races.
12,raptor,Maran Raptor,Ability Score Increase,Your Intelligence score increases by 1.,rapace,Rapace de Maran,Augmentation du score de capacité,Votre score d'intelligence augmente de 1.
13,raptor,Maran Raptor,Age,"Raptors reach maturity around 20 years. They can live longer than any other birdfolk race, over 100 years.",rapace,Rapace de Maran,Âge,"Les rapaces atteignent la maturité vers 20 ans. Ils peuvent vivre plus longtemps que n'importe quelle autre race d'oiseaux, plus de 100 ans."
14,raptor,Maran Raptor,Alignment,"Raptors tend towards neutral alignments. Preferring the path of naturalists and hunters, raptors rarely see value in order for the sake of order, and are often more pragmatic than idealistic.",rapace,Rapace de Maran,Alignement,"Les rapaces ont tendance à adopter des alignements neutres. Préférant la voie des naturalistes et des chasseurs, les rapaces voient rarement l'intérêt de l'ordre pour le plaisir de l'ordre et sont souvent plus pragmatiques qu'idéalistes."
15,raptor,Maran Raptor,Size,"Raptors are lean, muscular hunters, but they stand less than 4 feet tall. Their light builds usually lend themselves to bodies that weigh far less than one would expect for their height, averaging around only 35 pounds. Your size is Small.",rapace,Rapace de Maran,Taille,"Les rapaces sont des chasseurs minces et musclés, mais ils mesurent moins de 1,20 mètre. Leur silhouette légère leur permet généralement de peser bien moins que ce à quoi on pourrait s'attendre compte tenu de leur taille, avec une moyenne d'environ 16 kg seulement. Votre taille est S."
16,raptor,Maran Raptor,Speed,Your base walking speed is 25 feet.,rapace,Rapace de Maran,Vitesse,Votre vitesse de marche de base est de 25 pieds.
17,raptor,Maran Raptor,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",rapace,Rapace de Maran,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
18,raptor,Maran Raptor,Talons,"Your sharp claws aid you in unarmed combat andwhile climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",rapace,Rapace de Maran,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
19,raptor,Maran Raptor,Keen Senses,You have proficiency in the Perception skill.,rapace,Rapace de Maran,Sens aiguisés,Vous maîtrisez la compétence Perception.
20,raptor,Maran Raptor,Woodland Hunter,Your accuracy allows you to treat three-quarters cover as half cover and half cover as no cover.,rapace,Rapace de Maran,Chasseur des bois,Votre précision vous permet de traiter les trois quarts de couverture comme une demi-couverture et la moitié de couverture comme aucune couverture.
21,raptor,Maran Raptor,Hunter’s Training,"You have proficiency with the longbow, short bow, and spear. Additionally, your familiarity with the longbow means that it is not considered a heavy weapon for you.",rapace,Rapace de Maran,Formation de chasseur,"Vous maîtrisez l'arc long, l'arc court et la lance. De plus, votre familiarité avec l'arc long signifie qu'il n'est pas considéré comme une arme lourde pour vous."
22,raptor,Maran Raptor,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally.",rapace,Rapace de Maran,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
23,raptor,Maran Raptor,Subrace,There are two main subraces of raptor: mistral and maran. Choose one of these subraces.,rapace,Rapace de Maran,Sous-race,Il existe deux sous-races principales de rapaces : le mistral et le maran. Choisissez l'une de ces sous-races.
24,raptor,Maran Raptor,Swimmer,You have a swimming speed of 25 feet.,rapace,Rapace de Maran,Nageur,Vous avez une vitesse de nage de 25 pieds.
25,raptor,Maran Raptor,Patient,"When you react with a readied action, you have advantage on the first attack roll, skill check, or ability check you make as a part of that action.",rapace,Rapace de Maran,Patient,"Lorsque vous réagissez avec une action préparée, vous bénéficiez d'un avantage sur le premier jet d'attaque, test de compétence ou test de capacité que vous effectuez dans le cadre de cette action."
26,raptor,Mistral Raptor,Ability Score Increase,Your Wisdom score increases by 1.,rapace,Rapace Mistral,Augmentation du score de capacité,Votre score de Sagesse augmente de 1.
27,raptor,Mistral Raptor,Age,"Raptors reach maturity around 20 years. They can live longer than any other birdfolk race, over 100 years.",rapace,Rapace Mistral,Âge,"Les rapaces atteignent la maturité vers 20 ans. Ils peuvent vivre plus longtemps que n'importe quelle autre race d'oiseaux, plus de 100 ans."
28,raptor,Mistral Raptor,Alignment,"Raptors tend towards neutral alignments. Preferring the path of naturalists and hunters, raptors rarely see value in order for the sake of order, and are often more pragmatic than idealistic.",rapace,Rapace Mistral,Alignement,"Les rapaces ont tendance à adopter des alignements neutres. Préférant la voie des naturalistes et des chasseurs, les rapaces voient rarement l'intérêt de l'ordre pour le plaisir de l'ordre et sont souvent plus pragmatiques qu'idéalistes."
