,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,reborn,reborn,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",renaître,renaître,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
1,reborn,reborn,Creature Type,You are a Humanoid.,renaître,renaître,Type de créature,Vous êtes un humanoïde.
2,reborn,reborn,Size,You are Medium or Small. You choose the size when you gain this lineage.,renaître,renaître,Taille,Vous êtes de taille moyenne ou petite. Vous choisissez la taille lorsque vous obtenez cette lignée.
3,reborn,reborn,Speed,our walking speed is 30 feet.,renaître,renaître,Vitesse,notre vitesse de marche est de 30 pieds.
4,reborn,reborn,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it.",renaître,renaître,Héritage ancestral,"Si vous remplacez une race par cette lignée, vous pouvez conserver les éléments suivants de cette race : toutes les compétences que vous avez acquises grâce à elle et toute vitesse d'escalade, de vol ou de nage que vous avez acquise grâce à elle."
5,reborn,reborn,Deathless Nature,"You have escaped death, a fact represented by the following benefits:",renaître,renaître,Nature immortelle,"Vous avez échappé à la mort, un fait représenté par les avantages suivants :"
6,reborn,reborn,,"You don’t need to eat, drink, or breathe.
",renaître,renaître,,"Vous n’avez pas besoin de manger, de boire ou de respirer."
7,reborn,reborn,Knowledge from a Past Life,"You temporarily remember glimpses of the past, perhaps faded memories from ages ago or a previous life. When you make an ability check that uses a skill, you can roll a d6 immediately after seeing the number on the d20 and add the number on the d6 to the check. You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",renaître,renaître,Connaissances d'une vie antérieure,"Vous vous souvenez temporairement d'aperçus du passé, peut-être de souvenirs effacés d'il y a des siècles ou d'une vie antérieure. Lorsque vous faites un test de caractéristique qui utilise une compétence, vous pouvez lancer un d6 immédiatement après avoir vu le nombre sur le d20 et ajouter le nombre sur le d6 au test. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long."
8,reborn,Lost Memories,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",renaître,Souvenirs perdus,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
9,reborn,Lost Memories,Creature Type,You are a Humanoid.,renaître,Souvenirs perdus,Type de créature,Vous êtes un humanoïde.
