,race,subrace,section,content
0,shifter,shifter,Age,"Shifters are quick to mature both physically and emotionally, reaching young adulthood at age 10. They rarely live to be more than 70 years old."
1,shifter,shifter,Alignment,"Shifters tend toward neutrality, being more focused on survival than concepts of good and evil. A love of personal freedom can drive shifters toward chaotic alignments."
2,shifter,shifter,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d8 Height = 4 feet + 6 inches + your size modifier in inches Weight in pounds = 90 + (2d4 x your size modifier)"
3,shifter,shifter,Speed,Your base walking speed is 30 feet.
4,shifter,shifter,Darkvision,"You have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
5,shifter,shifter,Shifting,"As a bonus action, you can assume a more bestial appearance. This transformation lasts for 1 minute, until you die, or until you revert to your normal appearance as a bonus action. When you shift, you gain temporary hit points equal to your level + your Constitution modifier (minimum of 1 temporary hit point). You also gain additional benefits that depend on your shifter subrace, described below."
6,shifter,shifter,Languages,"You can speak, read, and write Common."
7,shifter,shifter,"The beast within shapes each shifter physically and mentally. The four major subraces of shifter include: beasthide, longtooth, swiftstride, and wildhunt.",Choose a subrace for your shifter.
8,shifter,Beasthide,Age,"Shifters are quick to mature both physically and emotionally, reaching young adulthood at age 10. They rarely live to be more than 70 years old."
9,shifter,Beasthide,Alignment,"Shifters tend toward neutrality, being more focused on survival than concepts of good and evil. A love of personal freedom can drive shifters toward chaotic alignments."
10,shifter,Beasthide,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d8 Height = 4 feet + 6 inches + your size modifier in inches Weight in pounds = 90 + (2d4 x your size modifier)"
11,shifter,Beasthide,Speed,Your base walking speed is 30 feet.
12,shifter,Beasthide,Darkvision,"You have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
