,race,subrace,section,content
0,simic-hybrid,simic-hybrid,Ability Score Increase,"Your Constitution score increases by 2, and one ability score of your choice increases by 1."
1,simic-hybrid,simic-hybrid,Age,"Hybrids begin their lives as adult Humans, Elves, or Vedalken. They age at a slightly accelerated rate, so their maximum life spans are probably reduced somewhat. The Guardian Project has not been operating long enough to observe the full effect of this phenomenon."
2,simic-hybrid,simic-hybrid,Alignment,"Most hybrids share the generally neutral outlook of the Simic Combine. They are more interested in scientific research and the standing of their guild than in moral or ethical questions. Those who leave the Combine, however, often do so because their philosophical outlook and alignment are more in line with a different guild's."
3,simic-hybrid,simic-hybrid,Size,"Your size is Medium, within the normal range of your humanoid base race."
4,simic-hybrid,simic-hybrid,Speed,Your base walking speed is 30 feet.
5,simic-hybrid,simic-hybrid,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
6,simic-hybrid,simic-hybrid,Languages,"You can speak, read, and write Common and your choice of Elvish or Vedalken."
7,simic-hybrid,Animal Enhancement,Ability Score Increase,"Your Constitution score increases by 2, and one ability score of your choice increases by 1."
8,simic-hybrid,Animal Enhancement,Age,"Hybrids begin their lives as adult Humans, Elves, or Vedalken. They age at a slightly accelerated rate, so their maximum life spans are probably reduced somewhat. The Guardian Project has not been operating long enough to observe the full effect of this phenomenon."
9,simic-hybrid,Animal Enhancement,Alignment,"Most hybrids share the generally neutral outlook of the Simic Combine. They are more interested in scientific research and the standing of their guild than in moral or ethical questions. Those who leave the Combine, however, often do so because their philosophical outlook and alignment are more in line with a different guild's."
10,simic-hybrid,Animal Enhancement,Size,"Your size is Medium, within the normal range of your humanoid base race."
11,simic-hybrid,Animal Enhancement,Speed,Your base walking speed is 30 feet.
12,simic-hybrid,Animal Enhancement,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
13,simic-hybrid,Animal Enhancement,Languages,"You can speak, read, and write Common and your choice of Elvish or Vedalken."
14,simic-hybrid,Animal Enhancement,Manta Glide,"You have ray-like fins that you can use as wings to slow your fall or allow you to glide. When you fall and aren't incapacitated, you can subtract up to 100 feet from the fall when calculating falling damage, and you can move up to 2 feet horizontally for every 1 foot you descend."
15,simic-hybrid,Animal Enhancement,Nimble Climber,You have a climbing speed equal to your walking speed.
16,simic-hybrid,Animal Enhancement,Underwater Adaptation,"You can breathe air and water, and you have a swimming speed equal to your walking speed."
17,simic-hybrid,Animal Enhancement,Grappling Appendage,"You have two special appendages growing alongside your arms. Choose whether they're both claws or tentacles. As an action, you can use one of them to try to grapple a creature. Each one is also a natural weapon, which you can use to make an unarmed strike. If you hit with it, the target takes bludgeoning damage equal to 1d6 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike. Immediately after hitting, you can try to grapple the target as a bonus action. These appendages can't precisely manipulate anything and can't wield weapons, magic items, or other specialized equipment."
18,simic-hybrid,Animal Enhancement,Carapace,Your skin in places is covered by a thick shell. You gain a +1 bonus to AC when you're not wearing heavy armor.
19,simic-hybrid,Animal Enhancement,Acid Spit,"As an action, you can spray acid from glands in your mouth, targeting one creature or object you can see within 30 feet of you. The target takes 2d10 acid damage unless it succeeds on a Dexterity saving throw against a DC equal to 8 + your Constitution modifier + your proficiency bonus. This damage increases by 1d10 when you reach 11th level (3d10) and 17th level (4d10). You can use this trait a number of times equal to your Constitution modifier (minimum of once), and you regain all expended uses of it when you finish a long rest."
