,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,simic-hybrid,simic-hybrid,Ability Score Increase,"Your Constitution score increases by 2, and one ability score of your choice increases by 1.",hybride simic,hybride simic,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et un score de capacité de votre choix augmente de 1.
1,simic-hybrid,simic-hybrid,Age,"Hybrids begin their lives as adult Humans, Elves, or Vedalken. They age at a slightly accelerated rate, so their maximum life spans are probably reduced somewhat. The Guardian Project has not been operating long enough to observe the full effect of this phenomenon.",hybride simic,hybride simic,Âge,"Les hybrides commencent leur vie en tant qu'humains, elfes ou vedalkens adultes. Ils vieillissent à un rythme légèrement accéléré, de sorte que leur durée de vie maximale est probablement quelque peu réduite. Le projet Guardian n'est pas opérationnel depuis assez longtemps pour observer l'effet complet de ce phénomène."
2,simic-hybrid,simic-hybrid,Alignment,"Most hybrids share the generally neutral outlook of the Simic Combine. They are more interested in scientific research and the standing of their guild than in moral or ethical questions. Those who leave the Combine, however, often do so because their philosophical outlook and alignment are more in line with a different guild's.",hybride simic,hybride simic,Alignement,La plupart des hybrides partagent la vision généralement neutre du Combinat Simic. Ils s'intéressent davantage à la recherche scientifique et à la réputation de leur guilde qu'aux questions morales ou éthiques. Ceux qui quittent le Combinat le font cependant souvent parce que leur vision philosophique et leur alignement correspondent davantage à ceux d'une autre guilde.
3,simic-hybrid,simic-hybrid,Size,"Your size is Medium, within the normal range of your humanoid base race.",hybride simic,hybride simic,Taille,"Votre taille est moyenne, dans la fourchette normale de votre race de base humanoïde."
4,simic-hybrid,simic-hybrid,Speed,Your base walking speed is 30 feet.,hybride simic,hybride simic,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,simic-hybrid,simic-hybrid,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",hybride simic,hybride simic,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,simic-hybrid,simic-hybrid,Languages,"You can speak, read, and write Common and your choice of Elvish or Vedalken.",hybride simic,hybride simic,Langues,"Vous pouvez parler, lire et écrire le commun et, selon votre choix, l'elfique ou le vedalken."
7,simic-hybrid,Animal Enhancement,Ability Score Increase,"Your Constitution score increases by 2, and one ability score of your choice increases by 1.",hybride simic,Amélioration des animaux,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et un score de capacité de votre choix augmente de 1.
8,simic-hybrid,Animal Enhancement,Age,"Hybrids begin their lives as adult Humans, Elves, or Vedalken. They age at a slightly accelerated rate, so their maximum life spans are probably reduced somewhat. The Guardian Project has not been operating long enough to observe the full effect of this phenomenon.",hybride simic,Amélioration des animaux,Âge,"Les hybrides commencent leur vie en tant qu'humains, elfes ou vedalkens adultes. Ils vieillissent à un rythme légèrement accéléré, de sorte que leur durée de vie maximale est probablement quelque peu réduite. Le projet Guardian n'est pas opérationnel depuis assez longtemps pour observer l'effet complet de ce phénomène."
9,simic-hybrid,Animal Enhancement,Alignment,"Most hybrids share the generally neutral outlook of the Simic Combine. They are more interested in scientific research and the standing of their guild than in moral or ethical questions. Those who leave the Combine, however, often do so because their philosophical outlook and alignment are more in line with a different guild's.",hybride simic,Amélioration des animaux,Alignement,La plupart des hybrides partagent la vision généralement neutre du Combinat Simic. Ils s'intéressent davantage à la recherche scientifique et à la réputation de leur guilde qu'aux questions morales ou éthiques. Ceux qui quittent le Combinat le font cependant souvent parce que leur vision philosophique et leur alignement correspondent davantage à ceux d'une autre guilde.
