,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,strig,strig,Ability Score Increase,Your Strength score increases by 2.,strig,strig,Augmentation du score de capacité,Votre score de Force augmente de 2.
1,strig,strig,Age,"Strigs reach maturity faster than most birdfolk races, around 15 years. They can reach a respectable old age by birdfolk standards, living around 80 years.",strig,strig,Âge,"Les Strigs atteignent la maturité plus rapidement que la plupart des races d'oiseaux, vers 15 ans. Ils peuvent atteindre un âge respectable selon les normes des oiseaux, vivant environ 80 ans."
2,strig,strig,Alignment,"Strigs are normally good aligned, having a strong sense of fair play as well as a tendency to see the best in others. They also favor chaotic alignments, as strigs are a freedom-loving people who will usually put their personal morals above any imposed system of governance.",strig,strig,Alignement,"Les Strigs sont généralement bien alignés, ils ont un sens aigu du fair-play et une tendance à voir le meilleur chez les autres. Ils privilégient également les alignements chaotiques, car les Strigs sont des gens épris de liberté qui placent généralement leur morale personnelle au-dessus de tout système de gouvernance imposé."
3,strig,strig,Size,"Strigs are muscular, imposing folk ranging from 4 to over 5 feet tall and weighing around 110 pounds. Your size is Medium.",strig,strig,Taille,"Les Strigs sont des êtres musclés et imposants mesurant entre 1,20 et 1,50 mètre et pesant environ 50 kilos. Votre taille est M."
4,strig,strig,Speed,Your base walking speed is 30 feet.,strig,strig,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,strig,strig,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",strig,strig,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
6,strig,strig,Talons,"Your sharp claws aid you in unarmed combat and while climbing. Your damage for an unarmed strike is 1d4 piercing damage. Additionally, you have advantage on Strength (Athletics) checks made to climb any surface your talons could reasonably grip.",strig,strig,Serres,"Vos griffes acérées vous aident au combat à mains nues et lors de vos ascensions. Vos dégâts pour une attaque à mains nues sont de 1d4 dégâts perforants. De plus, vous bénéficiez d'un avantage sur les tests de Force (Athlétisme) effectués pour grimper sur toute surface que vos serres peuvent raisonnablement saisir."
7,strig,strig,Darkvision,"You are adept at hunting under the cover of night. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",strig,strig,Vision dans le noir,"Vous êtes un expert de la chasse nocturne. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
8,strig,strig,Patterned Feathers,You have advantage on Dexterity (Stealth) checks when you attempt to hide in a forest.,strig,strig,Plumes à motifs,Vous bénéficiez d'un avantage sur les tests de Dextérité (Discrétion) lorsque vous tentez de vous cacher dans une forêt.
9,strig,strig,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally",strig,strig,Langues,"Vous pouvez parler, lire et écrire l'oiseau. Vous pouvez également comprendre l'auran, même si vous ne pouvez pas le parler naturellement."
10,strig,strig,Subrace,There are two main subraces of strigs: swift and stout. Choose one of these subraces.,strig,strig,Sous-race,Il existe deux sous-races principales de strigs : les rapides et les robustes. Choisissez l'une de ces sous-races.
11,strig,Stout Strig,Ability Score Increase,Your Constitution score increases by 1.,strig,Stout Strig,Augmentation du score de capacité,Votre score de Constitution augmente de 1.
12,strig,Stout Strig,Age,"Strigs reach maturity faster than most birdfolk races, around 15 years. They can reach a respectable old age by birdfolk standards, living around 80 years.",strig,Stout Strig,Âge,"Les Strigs atteignent la maturité plus rapidement que la plupart des races d'oiseaux, vers 15 ans. Ils peuvent atteindre un âge respectable selon les normes des oiseaux, vivant environ 80 ans."
13,strig,Stout Strig,Alignment,"Strigs are normally good aligned, having a strong sense of fair play as well as a tendency to see the best in others. They also favor chaotic alignments, as strigs are a freedom-loving people who will usually put their personal morals above any imposed system of governance.",strig,Stout Strig,Alignement,"Les Strigs sont généralement bien alignés, ils ont un sens aigu du fair-play et une tendance à voir le meilleur chez les autres. Ils privilégient également les alignements chaotiques, car les Strigs sont des gens épris de liberté qui placent généralement leur morale personnelle au-dessus de tout système de gouvernance imposé."
14,strig,Stout Strig,Size,"Strigs are muscular, imposing folk ranging from 4 to over 5 feet tall and weighing around 110 pounds. Your size is Medium.",strig,Stout Strig,Taille,"Les Strigs sont des êtres musclés et imposants mesurant entre 1,20 et 1,50 mètre et pesant environ 50 kilos. Votre taille est M."
15,strig,Stout Strig,Speed,Your base walking speed is 30 feet.,strig,Stout Strig,Vitesse,Votre vitesse de marche de base est de 30 pieds.
16,strig,Stout Strig,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered.",strig,Stout Strig,Glisser,"En utilisant vos bras emplumés, vous pouvez ralentir votre chute et planer sur de courtes distances. Lorsque vous tombez, vous pouvez utiliser votre réaction pour écarter vos bras, raidir vos plumes d'ailes et ralentir votre descente. Ce faisant, vous continuez à tomber doucement à une vitesse de 18 mètres par round, ne subissant aucun dégât de chute à l'atterrissage. Si vous tombez d'au moins 3 mètres de cette façon, vous pouvez voler jusqu'à votre vitesse de déplacement dans une direction de votre choix, bien que vous ne puissiez pas choisir de vous déplacer vers le haut, en atterrissant dans l'espace où vous terminez votre mouvement. Vous ne pouvez pas planer lorsque vous portez des armes lourdes ou brandissez un bouclier (bien que vous puissiez laisser tomber tout objet tenu dans le cadre de votre réaction pour écarter vos bras). Vous ne pouvez pas planer lorsque vous portez une armure lourde ou si vous êtes encombré."
