,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,tabaxi,tabaxi,Ability Score Increase,"Your Dexterity score increases by 2, and your Charisma score increases by 1.",tabaxi,tabaxi,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Charisme augmente de 1.
1,tabaxi,tabaxi,Age,Tabaxi have lifespans equivalent to humans.,tabaxi,tabaxi,Âge,Les tabaxi ont une durée de vie équivalente à celle des humains.
2,tabaxi,tabaxi,Alignment,"Tabaxi tend toward chaotic alignments, as they let impulse and fancy guide their decisions. They are rarely evil, with most of them driven by curiosity rather than greed or other dark impulses.",tabaxi,tabaxi,Alignement,"Les Tabaxi ont tendance à adopter des alignements chaotiques, car ils laissent leurs impulsions et leur fantaisie guider leurs décisions. Ils sont rarement mauvais, la plupart d'entre eux étant motivés par la curiosité plutôt que par la cupidité ou d'autres pulsions sombres."
3,tabaxi,tabaxi,Size,"Tabaxi are taller on average than humans and relatively slender. Your size is Medium. Your height is 4'10"" with a modifier of +2d10. Your weight is 90 lbs. with a modifier of +(height roll) x 2d4.",tabaxi,tabaxi,Taille,"Les Tabaxi sont en moyenne plus grands que les humains et relativement minces. Votre taille est M. Votre taille est de 1,40 m avec un modificateur de +2d10. Votre poids est de 40 kg avec un modificateur de +(test de taille) x 2d4."
4,tabaxi,tabaxi,Speed,Your base walking speed is 30 feet.,tabaxi,tabaxi,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,tabaxi,tabaxi,Darkvision,"You have a cat's keen senses, especially in the dark. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",tabaxi,tabaxi,Vision dans le noir,"Vous avez les sens aiguisés d'un chat, surtout dans l'obscurité. Vous pouvez voir dans la pénombre à moins de 20 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,tabaxi,tabaxi,Feline Agility,"Your reflexes and agility allow you to move with a burst of speed. When you move on your turn in combat, you can double your speed until the end of the turn. Once you use this trait, you can't use it again until you move 0 feet on one of your turns.",tabaxi,tabaxi,Agility féline,"Vos réflexes et votre agilité vous permettent de vous déplacer avec une vitesse fulgurante. Lorsque vous vous déplacez pendant votre tour en combat, vous pouvez doubler votre vitesse jusqu'à la fin du tour. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser tant que vous n'avez pas bougé de 0 pied lors de l'un de vos tours."
7,tabaxi,tabaxi,Cat's Claws,"Because of your claws, you have a climbing speed of 20 feet. In addition, your claws are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike.",tabaxi,tabaxi,Griffes de chat,"Grâce à vos griffes, vous avez une vitesse d'escalade de 6 mètres. De plus, vos griffes sont des armes naturelles que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous frappez avec elles, vous infligez des dégâts tranchants égaux à 1d4 + votre modificateur de Force, au lieu des dégâts contondants normaux pour une attaque à mains nues."
8,tabaxi,tabaxi,Cat's Talents:,You have proficiency in the Perception and Stealth skills.,tabaxi,tabaxi,Les talents du chat :,Vous maîtrisez les compétences Perception et Furtivité.
9,tabaxi,tabaxi,Languages,"You can speak, read, and write Common and one other language of your choice.",tabaxi,tabaxi,Langues,"Vous pouvez parler, lire et écrire le français et une autre langue de votre choix."
10,tabaxi,Tabaxi MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",tabaxi,Tabaxi MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
11,tabaxi,Tabaxi MPMM,Age,Tabaxi have lifespans equivalent to humans.,tabaxi,Tabaxi MPMM,Âge,Les tabaxi ont une durée de vie équivalente à celle des humains.
12,tabaxi,Tabaxi MPMM,Alignment,"Tabaxi tend toward chaotic alignments, as they let impulse and fancy guide their decisions. They are rarely evil, with most of them driven by curiosity rather than greed or other dark impulses.",tabaxi,Tabaxi MPMM,Alignement,"Les Tabaxi ont tendance à adopter des alignements chaotiques, car ils laissent leurs impulsions et leur fantaisie guider leurs décisions. Ils sont rarement mauvais, la plupart d'entre eux étant motivés par la curiosité plutôt que par la cupidité ou d'autres pulsions sombres."
13,tabaxi,Tabaxi MPMM,Size,You are Medium or Small. You choose the size when you select this race.,tabaxi,Tabaxi MPMM,Taille,Vous êtes de taille Medium ou Small. Vous choisissez la taille lorsque vous sélectionnez cette race.
14,tabaxi,Tabaxi MPMM,Speed,"Your walking speed is 30 feet, and you have a climbing speed equal to your walking speed.",tabaxi,Tabaxi MPMM,Vitesse,Votre vitesse de marche est de 30 pieds et vous avez une vitesse d'escalade égale à votre vitesse de marche.
15,tabaxi,Tabaxi MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.,tabaxi,Tabaxi MPMM,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris."
