,race,subrace,section,content
0,tiefling,tiefling,Ability Score Increase,Your Charisma score increases by 2.
1,tiefling,tiefling,Age,Tieflings mature at the same rate as humans but live a few years longer.
2,tiefling,tiefling,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment."
3,tiefling,tiefling,Size,Tieflings are about the same size and build as humans. Your size is Medium.
4,tiefling,tiefling,Speed,Your base walking speed is 30 feet.
5,tiefling,tiefling,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
6,tiefling,tiefling,Hellish Resistance,You have resistance to fire damage.
7,tiefling,tiefling,Languages,"You can speak, read, and write Common and Infernal."
8,tiefling,Bloodline of Asmodeus,Ability Score Increase,Your Intelligence score increases by 1.
9,tiefling,Bloodline of Asmodeus,Age,Tieflings mature at the same rate as humans but live a few years longer.
10,tiefling,Bloodline of Asmodeus,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment."
11,tiefling,Bloodline of Asmodeus,Size,Tieflings are about the same size and build as humans. Your size is Medium.
12,tiefling,Bloodline of Asmodeus,Speed,Your base walking speed is 30 feet.
13,tiefling,Bloodline of Asmodeus,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
14,tiefling,Bloodline of Asmodeus,Hellish Resistance,You have resistance to fire damage.
15,tiefling,Bloodline of Asmodeus,Languages,"You can speak, read, and write Common and Infernal."
16,tiefling,Bloodline of Asmodeus,Infernal Legacy,"You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
17,tiefling,Bloodline of Baalzebul,Ability Score Increase,Your Intelligence score increases by 1.
18,tiefling,Bloodline of Baalzebul,Age,Tieflings mature at the same rate as humans but live a few years longer.
19,tiefling,Bloodline of Baalzebul,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment."
20,tiefling,Bloodline of Baalzebul,Size,Tieflings are about the same size and build as humans. Your size is Medium.
21,tiefling,Bloodline of Baalzebul,Speed,Your base walking speed is 30 feet.
22,tiefling,Bloodline of Baalzebul,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
23,tiefling,Bloodline of Baalzebul,Hellish Resistance,You have resistance to fire damage.
24,tiefling,Bloodline of Baalzebul,Languages,"You can speak, read, and write Common and Infernal."
25,tiefling,Bloodline of Baalzebul,Infernal Legacy,"You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
26,tiefling,Bloodline of Baalzebul,Legacy of Maladomini,"You know the Thaumaturgy cantrip. Once you reach 3rd level, you can cast the Ray of Sickness spell once as a 2nd-level spell. Once you reach 5th level, you can also cast the Crown of Madness spell once. You must finish a long rest to cast these spells again with this trait. Charisma is your spellcasting ability for these spells."
27,tiefling,Bloodline of Dispater,Ability Score Increase,Your Dexterity score increases by 1.
28,tiefling,Bloodline of Dispater,Age,Tieflings mature at the same rate as humans but live a few years longer.
29,tiefling,Bloodline of Dispater,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment."
30,tiefling,Bloodline of Dispater,Size,Tieflings are about the same size and build as humans. Your size is Medium.
31,tiefling,Bloodline of Dispater,Speed,Your base walking speed is 30 feet.
32,tiefling,Bloodline of Dispater,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray."
33,tiefling,Bloodline of Dispater,Hellish Resistance,You have resistance to fire damage.
34,tiefling,Bloodline of Dispater,Languages,"You can speak, read, and write Common and Infernal."
35,tiefling,Bloodline of Dispater,Infernal Legacy,"You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
36,tiefling,Bloodline of Dispater,Legacy of Maladomini,"You know the Thaumaturgy cantrip. Once you reach 3rd level, you can cast the Ray of Sickness spell once as a 2nd-level spell. Once you reach 5th level, you can also cast the Crown of Madness spell once. You must finish a long rest to cast these spells again with this trait. Charisma is your spellcasting ability for these spells."
37,tiefling,Bloodline of Dispater,Legacy of Dis,"You know the Thaumaturgy cantrip. Once you reach 3rd level, you can cast the Disguise Self spell once as a 2nd-level spell. Once you reach 5th level, you can also cast the Detect Thoughts spell once. You must finish a long rest to cast these spells again with this trait. Charisma is your spellcasting ability for these spells."
38,tiefling,Bloodline of Fierna,Ability Score Increase,Your Wisdom score increases by 1.
39,tiefling,Bloodline of Fierna,Age,Tieflings mature at the same rate as humans but live a few years longer.
40,tiefling,Bloodline of Fierna,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment."
41,tiefling,Bloodline of Fierna,Size,Tieflings are about the same size and build as humans. Your size is Medium.
42,tiefling,Bloodline of Fierna,Speed,Your base walking speed is 30 feet.
