,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,tiefling,tiefling,Ability Score Increase,Your Charisma score increases by 2.,tieffelin,tieffelin,Augmentation du score de capacité,Votre score de Charisme augmente de 2.
1,tiefling,tiefling,Age,Tieflings mature at the same rate as humans but live a few years longer.,tieffelin,tieffelin,Âge,Les tieffelins mûrissent au même rythme que les humains mais vivent quelques années de plus.
2,tiefling,tiefling,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment.",tieffelin,tieffelin,Alignement,"Les tieffelins n'ont peut-être pas de tendance innée au mal, mais beaucoup d'entre eux finissent par y être. Maléfiques ou non, leur nature indépendante incline de nombreux tieffelins vers un alignement chaotique."
3,tiefling,tiefling,Size,Tieflings are about the same size and build as humans. Your size is Medium.,tieffelin,tieffelin,Taille,Les Tieflings ont à peu près la même taille et la même constitution que les humains. Votre taille est M.
4,tiefling,tiefling,Speed,Your base walking speed is 30 feet.,tieffelin,tieffelin,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,tiefling,tiefling,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",tieffelin,tieffelin,Vision dans le noir,"Grâce à votre héritage infernal, vous avez une vision supérieure dans l'obscurité et dans des conditions de faible luminosité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,tiefling,tiefling,Hellish Resistance,You have resistance to fire damage.,tieffelin,tieffelin,Résistance infernale,Vous avez une résistance aux dégâts de feu.
7,tiefling,tiefling,Languages,"You can speak, read, and write Common and Infernal.",tieffelin,tieffelin,Langues,"Vous pouvez parler, lire et écrire le commun et l'infernal."
8,tiefling,Bloodline of Asmodeus,Ability Score Increase,Your Intelligence score increases by 1.,tieffelin,Lignée d'Asmodée,Augmentation du score de capacité,Votre score d'intelligence augmente de 1.
9,tiefling,Bloodline of Asmodeus,Age,Tieflings mature at the same rate as humans but live a few years longer.,tieffelin,Lignée d'Asmodée,Âge,Les tieffelins mûrissent au même rythme que les humains mais vivent quelques années de plus.
10,tiefling,Bloodline of Asmodeus,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment.",tieffelin,Lignée d'Asmodée,Alignement,"Les tieffelins n'ont peut-être pas de tendance innée au mal, mais beaucoup d'entre eux finissent par y être. Maléfiques ou non, leur nature indépendante incline de nombreux tieffelins vers un alignement chaotique."
11,tiefling,Bloodline of Asmodeus,Size,Tieflings are about the same size and build as humans. Your size is Medium.,tieffelin,Lignée d'Asmodée,Taille,Les Tieflings ont à peu près la même taille et la même constitution que les humains. Votre taille est M.
12,tiefling,Bloodline of Asmodeus,Speed,Your base walking speed is 30 feet.,tieffelin,Lignée d'Asmodée,Vitesse,Votre vitesse de marche de base est de 30 pieds.
13,tiefling,Bloodline of Asmodeus,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",tieffelin,Lignée d'Asmodée,Vision dans le noir,"Grâce à votre héritage infernal, vous avez une vision supérieure dans l'obscurité et dans des conditions de faible luminosité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
14,tiefling,Bloodline of Asmodeus,Hellish Resistance,You have resistance to fire damage.,tieffelin,Lignée d'Asmodée,Résistance infernale,Vous avez une résistance aux dégâts de feu.
15,tiefling,Bloodline of Asmodeus,Languages,"You can speak, read, and write Common and Infernal.",tieffelin,Lignée d'Asmodée,Langues,"Vous pouvez parler, lire et écrire le commun et l'infernal."
16,tiefling,Bloodline of Asmodeus,Infernal Legacy,"You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells.",tieffelin,Lignée d'Asmodée,Héritage infernal,"Vous connaissez le sort de Thaumaturgie. Lorsque vous atteignez le niveau 3, vous pouvez lancer le sort Réprimande infernale comme un sort de niveau 2 une fois avec ce trait et retrouver la capacité de le faire lorsque vous terminez un repos long. Lorsque vous atteignez le niveau 5, vous pouvez lancer le sort Ténèbres une fois avec ce trait et retrouver la capacité de le faire lorsque vous terminez un repos long. Le Charisme est votre capacité de lancer de sorts pour ces sorts."
17,tiefling,Bloodline of Baalzebul,Ability Score Increase,Your Intelligence score increases by 1.,tieffelin,Lignée de Baalzebul,Augmentation du score de capacité,Votre score d'intelligence augmente de 1.
18,tiefling,Bloodline of Baalzebul,Age,Tieflings mature at the same rate as humans but live a few years longer.,tieffelin,Lignée de Baalzebul,Âge,Les tieffelins mûrissent au même rythme que les humains mais vivent quelques années de plus.
19,tiefling,Bloodline of Baalzebul,Alignment,"Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent nature inclines many tieflings toward a chaotic alignment.",tieffelin,Lignée de Baalzebul,Alignement,"Les tieffelins n'ont peut-être pas de tendance innée au mal, mais beaucoup d'entre eux finissent par y être. Maléfiques ou non, leur nature indépendante incline de nombreux tieffelins vers un alignement chaotique."
20,tiefling,Bloodline of Baalzebul,Size,Tieflings are about the same size and build as humans. Your size is Medium.,tieffelin,Lignée de Baalzebul,Taille,Les Tieflings ont à peu près la même taille et la même constitution que les humains. Votre taille est M.
21,tiefling,Bloodline of Baalzebul,Speed,Your base walking speed is 30 feet.,tieffelin,Lignée de Baalzebul,Vitesse,Votre vitesse de marche de base est de 30 pieds.
22,tiefling,Bloodline of Baalzebul,Darkvision,"Thanks to your infernal heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",tieffelin,Lignée de Baalzebul,Vision dans le noir,"Grâce à votre héritage infernal, vous avez une vision supérieure dans l'obscurité et dans des conditions de faible luminosité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
23,tiefling,Bloodline of Baalzebul,Hellish Resistance,You have resistance to fire damage.,tieffelin,Lignée de Baalzebul,Résistance infernale,Vous avez une résistance aux dégâts de feu.
24,tiefling,Bloodline of Baalzebul,Languages,"You can speak, read, and write Common and Infernal.",tieffelin,Lignée de Baalzebul,Langues,"Vous pouvez parler, lire et écrire le commun et l'infernal."
25,tiefling,Bloodline of Baalzebul,Infernal Legacy,"You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells.",tieffelin,Lignée de Baalzebul,Héritage infernal,"Vous connaissez le sort de Thaumaturgie. Lorsque vous atteignez le niveau 3, vous pouvez lancer le sort Réprimande infernale comme un sort de niveau 2 une fois avec ce trait et retrouver la capacité de le faire lorsque vous terminez un repos long. Lorsque vous atteignez le niveau 5, vous pouvez lancer le sort Ténèbres une fois avec ce trait et retrouver la capacité de le faire lorsque vous terminez un repos long. Le Charisme est votre capacité de lancer de sorts pour ces sorts."
