,race,subrace,section,content
0,tortle,tortle,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1."
1,tortle,tortle,Age,Young tortles crawl for a few weeks after birth before learning to walk on two legs. They reach adulthood by the age of 15 and live an average of 50 years.
2,tortle,tortle,Alignment,"Tortles tend to lead orderly, ritualistic lives. They develop customs and routines, becoming more set in their ways as they age. Most are lawful good. A few can be selfish and greedy, tending more toward evil, but it's unusual for a tortle to shuck off order in favor of chaos."
3,tortle,tortle,Size,Tortle adults stand 5 to 6 feet tall and average 450 pounds. Their shells account for roughly one-third of their weight. Your size is Medium.
4,tortle,tortle,Speed,Your base walking speed is 30 feet.
5,tortle,tortle,Claws,"Your claws are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of bludgeoning damage normal for an unarmed strike."
6,tortle,tortle,Hold Breath,"You can hold your breath for up to 1 hour at a time. Tortles aren't natural swimmers, but they can remain underwater for some time before needing to come up for air."
7,tortle,tortle,Natural Armor,"Due to your shell and the shape of your body, you are ill-suited to wearing armor. Your shell provides ample protection, however; it gives you a base AC of 17 (your Dexterity modifier doesn't affect this number). You gain no benefit from wearing armor, but if you are using a shield, you can apply the shield's bonus as normal."
8,tortle,tortle,Shell Defense,"You can withdraw into your shell as an action. until you emerge, you gain a +4 bonus to AC, and you have advantage on Strength and Constitution saving throws. While in your shell, you are prone, your speed is 0 and can't increase, you have disadvantage on Dexterity saving throws, you can't take reactions, and the only action you can take is a bonus action to emerge from your shell."
9,tortle,tortle,Survival Instinct,You gain proficiency in the Survival skill. Tortles have finely honed survival instincts.
10,tortle,tortle,Languages,"You can speak, read, and write Aquan and Common."
11,tortle,Tortle Names,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1."
12,tortle,Tortle Names,Age,Young tortles crawl for a few weeks after birth before learning to walk on two legs. They reach adulthood by the age of 15 and live an average of 50 years.
13,tortle,Tortle Names,Alignment,"Tortles tend to lead orderly, ritualistic lives. They develop customs and routines, becoming more set in their ways as they age. Most are lawful good. A few can be selfish and greedy, tending more toward evil, but it's unusual for a tortle to shuck off order in favor of chaos."
14,tortle,Tortle Names,Size,Tortle adults stand 5 to 6 feet tall and average 450 pounds. Their shells account for roughly one-third of their weight. Your size is Medium.
15,tortle,Tortle Names,Speed,Your base walking speed is 30 feet.
16,tortle,Tortle Names,Claws,"Your claws are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of bludgeoning damage normal for an unarmed strike."
17,tortle,Tortle Names,Hold Breath,"You can hold your breath for up to 1 hour at a time. Tortles aren't natural swimmers, but they can remain underwater for some time before needing to come up for air."
18,tortle,Tortle Names,Natural Armor,"Due to your shell and the shape of your body, you are ill-suited to wearing armor. Your shell provides ample protection, however; it gives you a base AC of 17 (your Dexterity modifier doesn't affect this number). You gain no benefit from wearing armor, but if you are using a shield, you can apply the shield's bonus as normal."
19,tortle,Tortle Names,Shell Defense,"You can withdraw into your shell as an action. until you emerge, you gain a +4 bonus to AC, and you have advantage on Strength and Constitution saving throws. While in your shell, you are prone, your speed is 0 and can't increase, you have disadvantage on Dexterity saving throws, you can't take reactions, and the only action you can take is a bonus action to emerge from your shell."
20,tortle,Tortle Names,Survival Instinct,You gain proficiency in the Survival skill. Tortles have finely honed survival instincts.
21,tortle,Tortle Names,Languages,"You can speak, read, and write Aquan and Common."
22,tortle,Tortle MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
23,tortle,Tortle MPMM,Age,Young tortles crawl for a few weeks after birth before learning to walk on two legs. They reach adulthood by the age of 15 and live an average of 50 years.
24,tortle,Tortle MPMM,Alignment,"Tortles tend to lead orderly, ritualistic lives. They develop customs and routines, becoming more set in their ways as they age. Most are lawful good. A few can be selfish and greedy, tending more toward evil, but it's unusual for a tortle to shuck off order in favor of chaos."
25,tortle,Tortle MPMM,Size,You are Medium or Small. You choose the size when you select this race.
26,tortle,Tortle MPMM,Speed,30 ft.
27,tortle,Tortle MPMM,Claws,"You have claws that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier slashing damage, instead of the bludgeoning damage normal for an unarmed strike."
28,tortle,Tortle MPMM,Hold Breath,You can hold your breath for up to 1 hour.
29,tortle,Tortle MPMM,Natural Armor,"Your shell provides you a base AC of 17 (your Dexterity modifier doesn't affect this number). You can't wear light, medium, or heavy armor, but if you are using a shield, you can apply the shield's bonus as normal."
30,tortle,Tortle MPMM,Shell Defense,"You can withdraw into your shell as an action. Until you emerge, you gain a +4 bonus to your AC, and you have advantage on Strength and Constitution saving throws. While in your shell, you are prone, your speed is 0 and can't increase, you have disadvantage on Dexterity saving throws, you can't take reactions, and the only action you can take is a bonus action to emerge from your shell."
31,tortle,Tortle MPMM,Survival Instinct,You gain proficiency in the Survival skill. Tortles have finely honed survival instincts.
32,tortle,Tortle MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
33,tortle,Tortle MPMM,Nature's Intuition,"Thanks to your mystical connection to nature, you gain proficiency with one of the following skills of your choice: Animal Handling, Medicine, Nature, Perception, Stealth, or Survival."
