,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,tortle,tortle,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1.",tortue,tortue,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Sagesse augmente de 1.
1,tortle,tortle,Age,Young tortles crawl for a few weeks after birth before learning to walk on two legs. They reach adulthood by the age of 15 and live an average of 50 years.,tortue,tortue,Âge,Les jeunes tortues rampent pendant quelques semaines après leur naissance avant d'apprendre à marcher sur deux pattes. Elles atteignent l'âge adulte à 15 ans et vivent en moyenne 50 ans.
2,tortle,tortle,Alignment,"Tortles tend to lead orderly, ritualistic lives. They develop customs and routines, becoming more set in their ways as they age. Most are lawful good. A few can be selfish and greedy, tending more toward evil, but it's unusual for a tortle to shuck off order in favor of chaos.",tortue,tortue,Alignement,"Les tortues ont tendance à mener une vie ordonnée et rituelle. Elles développent des coutumes et des routines, devenant plus ancrées dans leurs habitudes à mesure qu'elles vieillissent. La plupart sont loyales et bonnes. Quelques-unes peuvent être égoïstes et avides, tendant davantage vers le mal, mais il est inhabituel pour une tortue de se débarrasser de l'ordre au profit du chaos."
3,tortle,tortle,Size,Tortle adults stand 5 to 6 feet tall and average 450 pounds. Their shells account for roughly one-third of their weight. Your size is Medium.,tortue,tortue,Taille,"Les tortues adultes mesurent entre 1,5 et 1,80 m de haut et pèsent en moyenne 204 kg. Leur carapace représente environ un tiers de leur poids. Votre taille est M."
4,tortle,tortle,Speed,Your base walking speed is 30 feet.,tortue,tortue,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,tortle,tortle,Claws,"Your claws are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of bludgeoning damage normal for an unarmed strike.",tortue,tortue,Griffes,"Vos griffes sont des armes naturelles que vous pouvez utiliser pour effectuer des attaques à mains nues. Si vous frappez avec elles, vous infligez des dégâts tranchants égaux à 1d4 + votre modificateur de Force, au lieu des dégâts contondants normaux pour une attaque à mains nues."
6,tortle,tortle,Hold Breath,"You can hold your breath for up to 1 hour at a time. Tortles aren't natural swimmers, but they can remain underwater for some time before needing to come up for air.",tortue,tortue,Retenir son souffle,"Vous pouvez retenir votre souffle pendant une heure maximum. Les tortues ne sont pas des nageuses naturelles, mais elles peuvent rester sous l'eau pendant un certain temps avant de devoir remonter à la surface pour respirer."
7,tortle,tortle,Natural Armor,"Due to your shell and the shape of your body, you are ill-suited to wearing armor. Your shell provides ample protection, however; it gives you a base AC of 17 (your Dexterity modifier doesn't affect this number). You gain no benefit from wearing armor, but if you are using a shield, you can apply the shield's bonus as normal.",tortue,tortue,Armure naturelle,"En raison de votre carapace et de la forme de votre corps, vous n'êtes pas adapté au port d'une armure. Votre carapace vous offre cependant une protection suffisante ; elle vous confère une CA de base de 17 (votre modificateur de Dextérité n'affecte pas ce chiffre). Vous ne tirez aucun avantage du port d'une armure, mais si vous utilisez un bouclier, vous pouvez appliquer le bonus du bouclier normalement."
8,tortle,tortle,Shell Defense,"You can withdraw into your shell as an action. until you emerge, you gain a +4 bonus to AC, and you have advantage on Strength and Constitution saving throws. While in your shell, you are prone, your speed is 0 and can't increase, you have disadvantage on Dexterity saving throws, you can't take reactions, and the only action you can take is a bonus action to emerge from your shell.",tortue,tortue,Défense de la coquille,"Vous pouvez vous retirer dans votre carapace par une action. Jusqu'à ce que vous en ressortiez, vous obtenez un bonus de +4 à la CA et vous avez un avantage aux jets de sauvegarde de Force et de Constitution. Tant que vous êtes dans votre carapace, vous êtes à terre, votre vitesse est de 0 et ne peut pas augmenter, vous avez un désavantage aux jets de sauvegarde de Dextérité, vous ne pouvez pas effectuer de réactions et la seule action que vous pouvez entreprendre est une action bonus pour sortir de votre carapace."
9,tortle,tortle,Survival Instinct,You gain proficiency in the Survival skill. Tortles have finely honed survival instincts.,tortue,tortue,Instinct de survie,Vous maîtrisez la compétence Survie. Les tortues ont un instinct de survie très développé.
10,tortle,tortle,Languages,"You can speak, read, and write Aquan and Common.",tortue,tortue,Langues,"Vous pouvez parler, lire et écrire Aquan et Common."
11,tortle,Tortle Names,Ability Score Increase,"Your Strength score increases by 2, and your Wisdom score increases by 1.",tortue,Noms des tortues,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Sagesse augmente de 1.
