,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,triton,triton,Ability Score Increase,"Your Strength score increases by 1, your Constitution score increases by 1, and your Charisma score increases by 1.",triton,triton,Augmentation du score de capacité,"Votre score de Force augmente de 1, votre score de Constitution augmente de 1 et votre score de Charisme augmente de 1."
1,triton,triton,Age,Tritons reach maturity around age 15 and can live up to 200 years.,triton,triton,Âge,Les tritons atteignent la maturité vers l’âge de 15 ans et peuvent vivre jusqu’à 200 ans.
2,triton,triton,Alignment,"Tritons tend toward lawful good. As guardians of the darkest reaches of the sea, their culture pushes them toward order and benevolence.",triton,triton,Alignement,"Les tritons ont tendance à être vertueux et loyaux. Gardiens des zones les plus sombres de la mer, leur culture les pousse à l'ordre et à la bienveillance."
3,triton,triton,Size,"Tritons are slightly shorter than humans, averaging about 5 feet tall. Your size is Medium. Your height is 4'6"" with a modifier of +2d10. Your weight is 90 lbs. with a modifier of +(height roll) x 2d4.",triton,triton,Taille,"Les tritons sont légèrement plus petits que les humains, mesurant en moyenne 1,50 mètre. Votre taille est M. Votre taille est de 1,48 mètre avec un modificateur de +2d10. Votre poids est de 40 kg avec un modificateur de +(test de taille) x 2d4."
4,triton,triton,Speed,"Your base walking speed is 30 feet, and you have a swimming speed of 30 feet.",triton,triton,Vitesse,Votre vitesse de marche de base est de 30 pieds et vous avez une vitesse de nage de 30 pieds.
5,triton,triton,Amphibious,You can breathe air and water.,triton,triton,Amphibie,Vous pouvez respirer de l’air et de l’eau.
6,triton,triton,Control Air and Water,"A child of the sea, you can call on the magic of elemental air and water. You can cast Fog Cloud with this trait. Starting at 3rd level, you can cast Gust of Wind with it, and starting at 5th level, you can also cast Wall of Water with it. Once you cast a spell with this trait, you can't cast that spell with it again until you finish a long rest. Charisma is your spellcasting ability for these spells.",triton,triton,Contrôle de l'air et de l'eau,"Enfant de la mer, vous pouvez invoquer la magie de l'air et de l'eau élémentaires. Vous pouvez lancer Nuage de brouillard avec ce trait. À partir du niveau 3, vous pouvez lancer Rafale de vent avec ce trait, et à partir du niveau 5, vous pouvez également lancer Mur d'eau avec ce trait. Une fois que vous avez lancé un sort avec ce trait, vous ne pouvez plus le lancer à nouveau avant d'avoir terminé un repos long. Le Charisme est votre capacité de lancement de sorts pour ces sorts."
7,triton,triton,Emissary of the Sea,"Aquatic beasts have an extraordinary affinity with your people. You can communicate simple ideas with beasts that can breathe water. They can understand the meaning of your words, though you have no special ability to understand them in return.",triton,triton,Émissaire de la mer,"Les animaux aquatiques ont une affinité extraordinaire avec votre peuple. Vous pouvez communiquer des idées simples avec des animaux qui peuvent respirer sous l'eau. Ils peuvent comprendre le sens de vos mots, bien que vous n'ayez aucune capacité spéciale à les comprendre en retour."
8,triton,triton,Guardians of the Depths,"Adapted to even the most extreme ocean depths, you have resistance to cold damage, and you ignore any of the drawbacks caused by a deep, underwater environment.",triton,triton,Les gardiens des profondeurs,"Adapté aux profondeurs océaniques les plus extrêmes, vous résistez aux dégâts causés par le froid et vous ignorez tous les inconvénients causés par un environnement sous-marin profond."
9,triton,triton,Languages,"You can speak, read, and write Common and Primordial.",triton,triton,Langues,"Vous pouvez parler, lire et écrire le commun et le primordial."
10,triton,Triton Quirks,Ability Score Increase,"Your Strength score increases by 1, your Constitution score increases by 1, and your Charisma score increases by 1.",triton,Les bizarreries de Triton,Augmentation du score de capacité,"Votre score de Force augmente de 1, votre score de Constitution augmente de 1 et votre score de Charisme augmente de 1."
11,triton,Triton Quirks,Age,Tritons reach maturity around age 15 and can live up to 200 years.,triton,Les bizarreries de Triton,Âge,Les tritons atteignent la maturité vers l’âge de 15 ans et peuvent vivre jusqu’à 200 ans.
12,triton,Triton Quirks,Alignment,"Tritons tend toward lawful good. As guardians of the darkest reaches of the sea, their culture pushes them toward order and benevolence.",triton,Les bizarreries de Triton,Alignement,"Les tritons ont tendance à être vertueux et loyaux. Gardiens des zones les plus sombres de la mer, leur culture les pousse à l'ordre et à la bienveillance."
13,triton,Triton Quirks,Size,"Tritons are slightly shorter than humans, averaging about 5 feet tall. Your size is Medium. Your height is 4'6"" with a modifier of +2d10. Your weight is 90 lbs. with a modifier of +(height roll) x 2d4.",triton,Les bizarreries de Triton,Taille,"Les tritons sont légèrement plus petits que les humains, mesurant en moyenne 1,50 mètre. Votre taille est M. Votre taille est de 1,48 mètre avec un modificateur de +2d10. Votre poids est de 40 kg avec un modificateur de +(test de taille) x 2d4."
14,triton,Triton Quirks,Speed,"Your base walking speed is 30 feet, and you have a swimming speed of 30 feet.",triton,Les bizarreries de Triton,Vitesse,Votre vitesse de marche de base est de 30 pieds et vous avez une vitesse de nage de 30 pieds.
15,triton,Triton Quirks,Amphibious,You can breathe air and water.,triton,Les bizarreries de Triton,Amphibie,Vous pouvez respirer de l’air et de l’eau.
16,triton,Triton Quirks,Control Air and Water,"A child of the sea, you can call on the magic of elemental air and water. You can cast Fog Cloud with this trait. Starting at 3rd level, you can cast Gust of Wind with it, and starting at 5th level, you can also cast Wall of Water with it. Once you cast a spell with this trait, you can't cast that spell with it again until you finish a long rest. Charisma is your spellcasting ability for these spells.",triton,Les bizarreries de Triton,Contrôle de l'air et de l'eau,"Enfant de la mer, vous pouvez invoquer la magie de l'air et de l'eau élémentaires. Vous pouvez lancer Nuage de brouillard avec ce trait. À partir du niveau 3, vous pouvez lancer Rafale de vent avec ce trait, et à partir du niveau 5, vous pouvez également lancer Mur d'eau avec ce trait. Une fois que vous avez lancé un sort avec ce trait, vous ne pouvez plus le lancer à nouveau avant d'avoir terminé un repos long. Le Charisme est votre capacité de lancement de sorts pour ces sorts."
17,triton,Triton Quirks,Emissary of the Sea,"Aquatic beasts have an extraordinary affinity with your people. You can communicate simple ideas with beasts that can breathe water. They can understand the meaning of your words, though you have no special ability to understand them in return.",triton,Les bizarreries de Triton,Émissaire de la mer,"Les animaux aquatiques ont une affinité extraordinaire avec votre peuple. Vous pouvez communiquer des idées simples avec des animaux qui peuvent respirer sous l'eau. Ils peuvent comprendre le sens de vos mots, bien que vous n'ayez aucune capacité spéciale à les comprendre en retour."
18,triton,Triton Quirks,Guardians of the Depths,"Adapted to even the most extreme ocean depths, you have resistance to cold damage, and you ignore any of the drawbacks caused by a deep, underwater environment.",triton,Les bizarreries de Triton,Les gardiens des profondeurs,"Adapté aux profondeurs océaniques les plus extrêmes, vous résistez aux dégâts causés par le froid et vous ignorez tous les inconvénients causés par un environnement sous-marin profond."
19,triton,Triton Quirks,Languages,"You can speak, read, and write Common and Primordial.",triton,Les bizarreries de Triton,Langues,"Vous pouvez parler, lire et écrire le commun et le primordial."
20,triton,Triton Quirks,,"
d6
Quirk


1
You phrase requests as orders that you expect to be obeyed.


2
You are quick to boast of the greatness of your civilization.


3
You learned an antiquated version of Common and drop ""thee"" and ""thou"" into your speech.


4
You assume that people are telling you the truth about local customs and expectations.


5
The surface world is a wondrous place, and you catalog all its details in a journal.


6
You mistakenly assume that surface folk know about and are impressed by your people's history.

",triton,Les bizarreries de Triton,,"d6
Quirk

1
Vous formulez vos requêtes sous forme d'ordres que vous espérez voir respectés.

2
Vous n'hésitez pas à vous vanter de la grandeur de votre civilisation.

3
Vous avez appris une version désuète du commun et vous utilisez les mots « toi » et « tu » dans votre discours.

4
Vous supposez que les gens vous disent la vérité sur les coutumes et les attentes locales.

5
Le monde de la surface est un endroit merveilleux et vous répertoriez tous ses détails dans un journal.

6
Vous supposez à tort que les gens de la surface connaissent et sont impressionnés par l'histoire de votre peuple."
21,triton,Triton Quirks,"Most triton names have two or three syllables. Male names typically end with a vowel and the letter s, and female names traditionally end with an n. Tritons use their home protectorate as a surname, with the name formed by adding a vowel followed by a ""th"" to the end of",the protectorate's name.,triton,Les bizarreries de Triton,"La plupart des noms de tritons ont deux ou trois syllabes. Les noms masculins se terminent généralement par une voyelle et la lettre s, et les noms féminins se terminent traditionnellement par un n. Les tritons utilisent leur protectorat d'origine comme nom de famille, le nom étant formé en ajoutant une voyelle suivie d'un « th » à la fin de",le nom du protectorat.
22,triton,Triton MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",triton,Triton MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
23,triton,Triton MPMM,Age,Tritons reach maturity around age 15 and can live up to 200 years.,triton,Triton MPMM,Âge,Les tritons atteignent la maturité vers l’âge de 15 ans et peuvent vivre jusqu’à 200 ans.
24,triton,Triton MPMM,Alignment,"Tritons tend toward lawful good. As guardians of the darkest reaches of the sea, their culture pushes them toward order and benevolence.",triton,Triton MPMM,Alignement,"Les tritons ont tendance à être vertueux et loyaux. Gardiens des zones les plus sombres de la mer, leur culture les pousse à l'ordre et à la bienveillance."
25,triton,Triton MPMM,Size,Medium,triton,Triton MPMM,Taille,Moyen
26,triton,Triton MPMM,Speed,"Your walking speed is 30 feet, and you have a swimming speed equal to your walking speed.",triton,Triton MPMM,Vitesse,Votre vitesse de marche est de 30 pieds et vous avez une vitesse de nage égale à votre vitesse de marche.
27,triton,Triton MPMM,Amphibious,You can breathe air and water.,triton,Triton MPMM,Amphibie,Vous pouvez respirer de l’air et de l’eau.
