,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,vulpin,vulpin,Ability Score Increase,"Your Intelligence score increases by 2, and your Charisma score increases by 1.",vulpin,vulpin,Augmentation du score de capacité,Votre score d'intelligence augmente de 2 et votre score de charisme augmente de 1.
1,vulpin,vulpin,Age,"Vulpins mature at an average pace, and can be comparatively long-lived. They reach adulthood at 15 years, and live well past 90 years.",vulpin,vulpin,Âge,Les vulpins grandissent à un rythme moyen et peuvent vivre relativement longtemps. Ils atteignent l'âge adulte à 15 ans et vivent bien au-delà de 90 ans.
2,vulpin,vulpin,Alignment,"Vulpins aren’t innately evil, but their difficulty empathizing with others means they are only rarely good aligned. Most vulpins find strict authority distasteful, preferring chaotic alignments over lawful ones.",vulpin,vulpin,Alignement,"Les Vulpins ne sont pas intrinsèquement mauvais, mais leur difficulté à sympathiser avec les autres signifie qu'ils sont rarement alignés vers le bien. La plupart des Vulpins trouvent l'autorité stricte déplaisante, préférant les alignements chaotiques aux alignements légaux."
3,vulpin,vulpin,Size,"Vulpins cut dashing figures and are usually lean and muscular. They stand between 4 and a half and 5 and a half feet tall, but are relatively lightweight, weighing between 90 and 140 pounds. Your size is Medium.",vulpin,vulpin,Taille,"Les vulpins ont une silhouette élancée et sont généralement minces et musclés. Ils mesurent entre 1,20 et 1,70 mètre, mais sont relativement légers, pesant entre 40 et 63 kilos. Votre taille est M."
4,vulpin,vulpin,Speed,Your base walking speed is 30 feet.,vulpin,vulpin,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,vulpin,vulpin,Darkvision,"You are adept at hunting at night. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.",vulpin,vulpin,Vision dans le noir,"Vous êtes un expert de la chasse nocturne. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,vulpin,vulpin,Bite,"You have sharp fangs that enable you to make natural bite attacks. You can choose to bite as an unarmed strike that deals 1d6 points of piercing damage, which can be calculated using either your Strength or Dexterity modifier for both the attack roll and damage bonus.",vulpin,vulpin,Mordre,"Vous avez des crocs acérés qui vous permettent de lancer des attaques de morsure naturelles. Vous pouvez choisir de mordre comme une attaque à mains nues qui inflige 1d6 points de dégâts perforants, qui peuvent être calculés en utilisant votre modificateur de Force ou de Dextérité pour le jet d'attaque et le bonus de dégâts."
7,vulpin,vulpin,Evasive,You add your Intelligence modifier as a bonus on all Dexterity saving throws.,vulpin,vulpin,Évasif,Vous ajoutez votre modificateur d'Intelligence en bonus sur tous les jets de sauvegarde de Dextérité.
8,vulpin,vulpin,Bewitching Guile,"You can cast Charm Person as a 1st level spell with this trait, and regain the ability to do so when you finish a long rest. When you reach 3rd level, you can cast Ambush Prey as a 2nd level spell with this trait, and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast fear with this trait, and regain the ability to do so when you finish a long rest. Intelligence is your spellcasting ability for these spells.",vulpin,vulpin,Ruse envoûtante,"Vous pouvez lancer Charme-personne au niveau 1 avec ce trait et retrouver cette capacité à la fin d'un repos long. Lorsque vous atteignez le niveau 3, vous pouvez lancer Embuscade de proie au niveau 2 avec ce trait et retrouver cette capacité à la fin d'un repos long. Lorsque vous atteignez le niveau 5, vous pouvez lancer Peur avec ce trait et retrouver cette capacité à la fin d'un repos long. L'intelligence est votre capacité de lancement de sorts pour ces sorts."
9,vulpin,vulpin,Languages,"You can speak, read, and write Birdfolk and Vulpin.",vulpin,vulpin,Langues,"Vous pouvez parler, lire et écrire Birdfolk et Vulpin."
